,,high,low,adjclose,volume
PKG,2012-01-03,25.920000076293945,25.100000381469727,20.293272018432617,1062700.0
PKG,2012-01-04,25.270000457763672,24.920000076293945,20.140207290649414,1172400.0
PKG,2012-01-05,25.600000381469727,24.81999969482422,20.341611862182617,909100.0
PKG,2012-01-06,25.940000534057617,25.110000610351562,20.760520935058594,951900.0
PKG,2012-01-09,26.149999618530273,25.6299991607666,21.026376724243164,846000.0
PKG,2012-01-10,26.6200008392334,26.299999237060547,21.332508087158203,999900.0
PKG,2012-01-11,26.709999084472656,26.350000381469727,21.413068771362305,443500.0
PKG,2012-01-12,26.549999237060547,26.059999465942383,21.332508087158203,1087300.0
PKG,2012-01-13,26.450000762939453,26.010000228881836,21.066652297973633,674500.0
PKG,2012-01-17,26.600000381469727,26.020000457763672,21.00220489501953,601100.0
PKG,2012-01-18,26.18000030517578,25.850000381469727,20.97804069519043,1193100.0
PKG,2012-01-19,26.700000762939453,26.100000381469727,21.413068771362305,628700.0
PKG,2012-01-20,26.850000381469727,26.329999923706055,21.622526168823242,869500.0
PKG,2012-01-23,27.0,26.190000534057617,21.46139907836914,783700.0
PKG,2012-01-24,28.260000228881836,26.969999313354492,22.726207733154297,1506200.0
PKG,2012-01-25,28.389999389648438,27.709999084472656,22.476470947265625,931800.0
PKG,2012-01-26,28.360000610351562,27.969999313354492,22.69398307800293,769900.0
PKG,2012-01-27,28.520000457763672,27.969999313354492,22.7825984954834,622700.0
PKG,2012-01-30,28.459999084472656,27.68000030517578,22.822877883911133,588600.0
PKG,2012-01-31,28.549999237060547,27.93000030517578,22.669809341430664,550400.0
PKG,2012-02-01,28.920000076293945,28.239999771118164,22.830936431884766,520700.0
PKG,2012-02-02,28.670000076293945,28.299999237060547,22.8148250579834,407600.0
PKG,2012-02-03,29.25,28.649999618530273,23.36263656616211,674700.0
PKG,2012-02-06,29.020000457763672,28.700000762939453,23.346527099609375,438200.0
PKG,2012-02-07,29.299999237060547,28.899999618530273,23.314302444458008,429300.0
PKG,2012-02-08,29.260000228881836,28.8799991607666,23.45931053161621,488900.0
PKG,2012-02-09,29.309999465942383,28.760000228881836,23.604320526123047,449100.0
PKG,2012-02-10,29.190000534057617,28.770000457763672,23.39486312866211,477400.0
PKG,2012-02-13,29.6200008392334,29.260000228881836,23.813777923583984,561500.0
PKG,2012-02-14,29.510000228881836,29.239999771118164,23.73321533203125,391300.0
PKG,2012-02-15,29.84000015258789,29.350000381469727,23.70905303955078,693500.0
PKG,2012-02-16,29.799999237060547,29.010000228881836,23.821836471557617,767800.0
PKG,2012-02-17,29.700000762939453,29.25,23.70099449157715,380500.0
PKG,2012-02-21,29.950000762939453,29.25,23.660715103149414,383200.0
PKG,2012-02-22,29.3700008392334,28.579999923706055,23.274023056030273,1279800.0
PKG,2012-02-23,29.40999984741211,28.790000915527344,23.507644653320312,571600.0
PKG,2012-02-24,29.31999969482422,28.8799991607666,23.30624771118164,520500.0
PKG,2012-02-27,29.139999389648438,28.510000228881836,23.314302444458008,1233200.0
PKG,2012-02-28,29.209999084472656,28.829999923706055,23.53181266784668,554300.0
PKG,2012-02-29,30.059999465942383,29.34000015258789,23.878223419189453,1077700.0
PKG,2012-03-01,29.950000762939453,29.600000381469727,23.974899291992188,541000.0
PKG,2012-03-02,30.020000457763672,29.649999618530273,24.136024475097656,596800.0
PKG,2012-03-05,29.979999542236328,29.540000915527344,23.88627815246582,545900.0
PKG,2012-03-06,29.5,29.139999389648438,23.67682456970215,596800.0
PKG,2012-03-07,29.8700008392334,29.299999237060547,23.982955932617188,485300.0
PKG,2012-03-08,30.5,29.860000610351562,24.46632194519043,810800.0
PKG,2012-03-09,30.6200008392334,30.09000015258789,24.329364776611328,752500.0
PKG,2012-03-12,30.219999313354492,29.729999542236328,24.23269271850586,837200.0
PKG,2012-03-13,30.3700008392334,29.899999618530273,24.557636260986328,1394000.0
PKG,2012-03-14,30.059999465942383,29.59000015258789,24.16770362854004,1183000.0
PKG,2012-03-15,29.90999984741211,29.510000228881836,24.216449737548828,962200.0
PKG,2012-03-16,29.979999542236328,29.6200008392334,24.135210037231445,1315100.0
PKG,2012-03-19,30.09000015258789,29.579999923706055,24.200199127197266,678100.0
PKG,2012-03-20,29.889999389648438,29.420000076293945,24.20832061767578,463600.0
PKG,2012-03-21,29.84000015258789,29.549999237060547,24.102712631225586,485000.0
PKG,2012-03-22,29.540000915527344,29.010000228881836,23.810266494750977,539800.0
PKG,2012-03-23,29.65999984741211,29.0,24.086471557617188,685200.0
PKG,2012-03-26,30.0,29.540000915527344,24.200199127197266,584300.0
PKG,2012-03-27,29.979999542236328,29.729999542236328,24.159582138061523,365800.0
PKG,2012-03-28,29.809999465942383,29.1299991607666,24.086471557617188,668500.0
PKG,2012-03-29,29.709999084472656,29.299999237060547,24.102712631225586,555400.0
PKG,2012-03-30,29.959999084472656,29.420000076293945,24.0377254486084,542900.0
PKG,2012-04-02,29.799999237060547,29.399999618530273,23.97273826599121,812400.0
PKG,2012-04-03,29.790000915527344,29.3700008392334,24.05397605895996,584400.0
PKG,2012-04-04,29.540000915527344,29.06999969482422,23.915876388549805,735200.0
PKG,2012-04-05,29.639999389648438,29.25,23.84276008605957,272900.0
PKG,2012-04-09,29.09000015258789,28.799999237060547,23.566560745239258,430400.0
PKG,2012-04-10,28.989999771118164,28.219999313354492,22.92479705810547,613500.0
PKG,2012-04-11,28.610000610351562,28.3799991607666,23.176626205444336,471100.0
PKG,2012-04-12,29.170000076293945,28.729999542236328,23.631546020507812,879800.0
PKG,2012-04-13,29.170000076293945,28.729999542236328,23.40409278869629,795100.0
PKG,2012-04-16,28.979999542236328,28.59000015258789,23.395959854125977,746000.0
PKG,2012-04-17,29.360000610351562,28.75,23.729032516479492,981100.0
PKG,2012-04-18,29.309999465942383,28.540000915527344,23.469083786010742,656300.0
PKG,2012-04-19,29.299999237060547,28.739999771118164,23.574682235717773,452000.0
PKG,2012-04-20,29.559999465942383,29.079999923706055,23.915876388549805,619300.0
PKG,2012-04-23,29.209999084472656,28.84000015258789,23.688411712646484,726600.0
PKG,2012-04-24,29.59000015258789,29.1200008392334,23.826513290405273,665500.0
PKG,2012-04-25,29.75,29.389999389648438,24.070222854614258,434400.0
PKG,2012-04-26,29.739999771118164,29.31999969482422,24.0377254486084,383700.0
PKG,2012-04-27,29.75,29.40999984741211,24.062101364135742,798900.0
PKG,2012-04-30,29.540000915527344,29.09000015258789,23.71278190612793,656500.0
PKG,2012-05-01,29.459999084472656,28.979999542236328,23.737152099609375,546400.0
PKG,2012-05-02,29.219999313354492,28.860000610351562,23.55030632019043,532700.0
PKG,2012-05-03,29.389999389648438,28.899999618530273,23.542190551757812,595600.0
PKG,2012-05-04,28.889999389648438,28.329999923706055,23.062896728515625,593100.0
PKG,2012-05-07,28.290000915527344,27.979999542236328,22.754201889038086,976000.0
PKG,2012-05-08,28.520000457763672,27.68000030517578,23.062896728515625,1106000.0
PKG,2012-05-09,28.530000686645508,27.93000030517578,23.014158248901367,638200.0
PKG,2012-05-10,28.540000915527344,28.040000915527344,23.006031036376953,478800.0
PKG,2012-05-11,28.329999923706055,27.860000610351562,22.713579177856445,474300.0
PKG,2012-05-14,27.959999084472656,27.530000686645508,22.56735610961914,454800.0
PKG,2012-05-15,28.059999465942383,27.760000228881836,22.681089401245117,517400.0
PKG,2012-05-16,28.040000915527344,27.579999923706055,22.404884338378906,567800.0
PKG,2012-05-17,27.59000015258789,26.770000457763672,21.74687957763672,619700.0
PKG,2012-05-18,27.100000381469727,26.56999969482422,21.641267776489258,664600.0
PKG,2012-05-21,27.299999237060547,26.59000015258789,22.071815490722656,569500.0
PKG,2012-05-22,27.350000381469727,26.950000762939453,22.03931999206543,896000.0
PKG,2012-05-23,27.110000610351562,26.469999313354492,21.998703002929688,673000.0
PKG,2012-05-24,27.190000534057617,26.68000030517578,22.014949798583984,695500.0
PKG,2012-05-25,27.1200008392334,26.81999969482422,21.893098831176758,366500.0
PKG,2012-05-29,27.530000686645508,26.90999984741211,22.193674087524414,719500.0
PKG,2012-05-30,27.1200008392334,26.649999618530273,21.657516479492188,557800.0
PKG,2012-05-31,26.989999771118164,26.420000076293945,21.795612335205078,627200.0
PKG,2012-06-01,26.479999542236328,26.25,21.356945037841797,478600.0
PKG,2012-06-04,26.450000762939453,25.770000457763672,21.316322326660156,722000.0
PKG,2012-06-05,26.440000534057617,26.010000228881836,21.438169479370117,399100.0
PKG,2012-06-06,26.920000076293945,26.520000457763672,21.803741455078125,433700.0
PKG,2012-06-07,27.329999923706055,26.940000534057617,21.990583419799805,338700.0
PKG,2012-06-08,27.6200008392334,26.950000762939453,22.42925453186035,457000.0
PKG,2012-06-11,27.84000015258789,27.3700008392334,22.291152954101562,562400.0
PKG,2012-06-12,27.760000228881836,27.360000610351562,22.42925453186035,585600.0
PKG,2012-06-13,27.420000076293945,26.979999542236328,22.17512321472168,321900.0
PKG,2012-06-14,27.799999237060547,27.049999237060547,22.699777603149414,711400.0
PKG,2012-06-15,27.860000610351562,27.440000534057617,22.699777603149414,589700.0
PKG,2012-06-18,27.889999389648438,27.40999984741211,22.7735595703125,423200.0
PKG,2012-06-19,28.1200008392334,27.719999313354492,22.814550399780273,420000.0
PKG,2012-06-20,28.200000762939453,27.760000228881836,22.986705780029297,627100.0
PKG,2012-06-21,28.1200008392334,27.229999542236328,22.339078903198242,526300.0
PKG,2012-06-22,27.559999465942383,27.170000076293945,22.494834899902344,686800.0
PKG,2012-06-25,27.5,26.979999542236328,22.412860870361328,522400.0
PKG,2012-06-26,27.450000762939453,27.030000686645508,22.248899459838867,356600.0
PKG,2012-06-27,27.600000381469727,27.18000030517578,22.388267517089844,275700.0
PKG,2012-06-28,27.40999984741211,26.889999389648438,22.470243453979492,428400.0
PKG,2012-06-29,28.299999237060547,27.65999984741211,23.15066146850586,714900.0
PKG,2012-07-02,28.440000534057617,27.59000015258789,23.076881408691406,429700.0
PKG,2012-07-03,28.959999084472656,28.0,23.732709884643555,477300.0
PKG,2012-07-05,28.940000534057617,28.469999313354492,23.429393768310547,679300.0
PKG,2012-07-06,28.31999969482422,28.09000015258789,23.15066146850586,426400.0
PKG,2012-07-09,28.18000030517578,27.850000381469727,23.00310516357422,325000.0
PKG,2012-07-10,28.360000610351562,27.780000686645508,22.880136489868164,317800.0
PKG,2012-07-11,28.479999542236328,27.889999389648438,23.232643127441406,897000.0
PKG,2012-07-12,28.799999237060547,27.8799991607666,23.45398712158203,854100.0
PKG,2012-07-13,29.3799991607666,28.559999465942383,23.773698806762695,811300.0
PKG,2012-07-16,29.170000076293945,28.610000610351562,23.8228816986084,633300.0
PKG,2012-07-17,30.90999984741211,29.540000915527344,24.650861740112305,1623000.0
PKG,2012-07-18,31.0,29.989999771118164,25.05255699157715,1280200.0
PKG,2012-07-19,30.959999084472656,30.209999084472656,25.224716186523438,715700.0
