,,high,low,adjclose,volume
PLD,2012-01-03,29.850000381469727,28.729999542236328,22.977672576904297,3104800.0
PLD,2012-01-04,29.139999389648438,28.229999542236328,22.39615821838379,3068000.0
PLD,2012-01-05,29.3799991607666,28.15999984741211,22.977672576904297,4350600.0
PLD,2012-01-06,29.0,28.600000381469727,22.62405014038086,3674100.0
PLD,2012-01-09,28.889999389648438,28.459999084472656,22.419727325439453,1987300.0
PLD,2012-01-10,29.520000457763672,28.889999389648438,23.032676696777344,2964000.0
PLD,2012-01-11,29.68000030517578,29.059999465942383,23.276281356811523,1690600.0
PLD,2012-01-12,30.079999923706055,29.18000030517578,23.354867935180664,2861100.0
PLD,2012-01-13,29.809999465942383,29.09000015258789,23.23699378967285,3701000.0
PLD,2012-01-17,30.93000030517578,29.850000381469727,23.99924659729004,3790900.0
PLD,2012-01-18,31.149999618530273,30.510000228881836,24.148561477661133,4062000.0
PLD,2012-01-19,31.3799991607666,30.520000457763672,24.596477508544922,3724800.0
PLD,2012-01-20,31.780000686645508,31.0,24.973678588867188,3710100.0
PLD,2012-01-23,31.860000610351562,31.399999618530273,24.997251510620117,7750300.0
PLD,2012-01-24,32.18000030517578,31.440000534057617,25.288009643554688,2846600.0
PLD,2012-01-25,32.599998474121094,31.93000030517578,25.437314987182617,3311900.0
PLD,2012-01-26,32.97999954223633,32.33000183105469,25.578767776489258,3918600.0
PLD,2012-01-27,32.599998474121094,32.06999969482422,25.55519676208496,3535100.0
PLD,2012-01-30,32.209999084472656,31.350000381469727,24.832229614257812,4291300.0
PLD,2012-01-31,31.950000762939453,31.479999542236328,24.918668746948242,3991500.0
PLD,2012-02-01,32.54999923706055,31.989999771118164,25.570907592773438,2690300.0
PLD,2012-02-02,32.84000015258789,32.41999816894531,25.7830867767334,2849400.0
PLD,2012-02-03,33.41999816894531,32.93000030517578,26.058122634887695,4793400.0
PLD,2012-02-06,33.25,32.95000076293945,25.91667366027832,2055300.0
PLD,2012-02-07,33.310001373291016,32.779998779296875,26.160282135009766,3184300.0
PLD,2012-02-08,34.72999954223633,33.13999938964844,26.859670639038086,4087200.0
PLD,2012-02-09,34.2400016784668,33.70000076293945,26.812522888183594,3945000.0
PLD,2012-02-10,33.959999084472656,32.90999984741211,25.987398147583008,3419100.0
PLD,2012-02-13,33.84000015258789,33.310001373291016,26.521759033203125,1879900.0
PLD,2012-02-14,33.86000061035156,33.099998474121094,26.23886489868164,3256200.0
PLD,2012-02-15,33.880001068115234,32.970001220703125,26.136709213256836,2731200.0
PLD,2012-02-16,33.880001068115234,33.13999938964844,26.608198165893555,2390400.0
PLD,2012-02-17,34.099998474121094,33.63999938964844,26.718219757080078,1843100.0
PLD,2012-02-21,34.0,33.45000076293945,26.4510440826416,2149200.0
PLD,2012-02-22,33.779998779296875,32.880001068115234,25.861656188964844,3011700.0
PLD,2012-02-23,33.65999984741211,32.849998474121094,26.4510440826416,2632600.0
PLD,2012-02-24,34.04999923706055,33.59000015258789,26.623926162719727,2689100.0
PLD,2012-02-27,33.95000076293945,33.45000076293945,26.63178062438965,2409500.0
PLD,2012-02-28,34.0,33.43000030517578,26.39603042602539,1891000.0
PLD,2012-02-29,33.86000061035156,33.18000030517578,26.4510440826416,3325600.0
PLD,2012-03-01,33.869998931884766,33.40999984741211,26.561058044433594,2465500.0
PLD,2012-03-02,34.220001220703125,33.540000915527344,26.513904571533203,1745300.0
PLD,2012-03-05,34.470001220703125,33.59000015258789,27.08755874633789,2372600.0
PLD,2012-03-06,34.29999923706055,33.630001068115234,26.47461700439453,3132600.0
PLD,2012-03-07,34.22999954223633,33.529998779296875,26.883241653442383,2902700.0
PLD,2012-03-08,34.16999816894531,33.59000015258789,26.621776580810547,4220000.0
PLD,2012-03-09,34.220001220703125,33.52000045776367,27.04962730407715,2605600.0
PLD,2012-03-12,34.220001220703125,33.849998474121094,26.930782318115234,2765300.0
PLD,2012-03-13,34.959999084472656,34.09000015258789,27.667646408081055,2774600.0
PLD,2012-03-14,35.08000183105469,34.65999984741211,27.59632682800293,2520900.0
PLD,2012-03-15,35.25,34.7599983215332,27.731019973754883,2869000.0
PLD,2012-03-16,35.33000183105469,34.849998474121094,27.937023162841797,3202000.0
PLD,2012-03-19,35.540000915527344,34.9900016784668,28.1113338470459,2582500.0
PLD,2012-03-20,35.34000015258789,35.0099983215332,27.952865600585938,3002200.0
PLD,2012-03-21,35.54999923706055,35.150001525878906,28.063793182373047,2356600.0
PLD,2012-03-22,35.119998931884766,34.709999084472656,27.754793167114258,2766300.0
PLD,2012-03-23,35.290000915527344,34.41999816894531,27.889482498168945,2490900.0
PLD,2012-03-26,35.720001220703125,35.369998931884766,28.29356575012207,2326500.0
PLD,2012-03-27,35.7400016784668,35.22999954223633,28.087562561035156,2842600.0
PLD,2012-03-28,35.38999938964844,34.560001373291016,27.770639419555664,4118700.0
PLD,2012-03-29,35.380001068115234,34.599998474121094,27.976640701293945,2753100.0
