,,high,low,adjclose,volume
PS,2012-01-03,11.600000381469727,11.600000381469727,11.600000381469727,0.0
PS,2012-01-04,12.100000381469727,11.800000190734863,12.0,3773400.0
PS,2012-01-05,12.300000190734863,12.0,12.199999809265137,7246200.0
PS,2012-01-06,12.699999809265137,12.0,12.699999809265137,12061000.0
PS,2012-01-09,13.5,12.699999809265137,13.5,21950100.0
PS,2012-01-10,13.800000190734863,13.399999618530273,13.5,10649200.0
PS,2012-01-11,13.5,13.199999809265137,13.5,6701500.0
PS,2012-01-12,13.5,13.0,13.0,8997600.0
PS,2012-01-13,13.300000190734863,13.0,13.199999809265137,6320200.0
PS,2012-01-17,13.5,13.0,13.399999618530273,7322400.0
PS,2012-01-18,13.5,13.300000190734863,13.300000190734863,4131200.0
PS,2012-01-19,14.300000190734863,13.5,14.0,23542200.0
PS,2012-01-20,14.199999809265137,13.800000190734863,14.199999809265137,8583600.0
PS,2012-01-23,14.199999809265137,13.899999618530273,14.0,5362800.0
PS,2012-01-24,14.399999618530273,14.0,14.0,7866700.0
PS,2012-01-25,14.100000381469727,13.800000190734863,13.800000190734863,3547200.0
PS,2012-01-26,14.199999809265137,13.800000190734863,14.0,6838300.0
PS,2012-01-27,14.199999809265137,13.899999618530273,14.100000381469727,3165800.0
PS,2012-01-30,14.199999809265137,13.800000190734863,13.800000190734863,4877200.0
PS,2012-01-31,14.199999809265137,13.800000190734863,14.199999809265137,6102300.0
PS,2012-02-01,14.199999809265137,13.899999618530273,14.0,1794700.0
PS,2012-02-02,14.300000190734863,14.0,14.0,5937000.0
PS,2012-02-03,14.199999809265137,13.899999618530273,14.199999809265137,2670400.0
PS,2012-02-06,14.300000190734863,14.0,14.199999809265137,5179800.0
PS,2012-02-07,14.199999809265137,14.199999809265137,14.199999809265137,0.0
PS,2012-02-08,15.199999809265137,14.699999809265137,15.199999809265137,16746900.0
PS,2012-02-09,15.5,15.0,15.5,4619800.0
PS,2012-02-10,15.5,15.0,15.0,7938600.0
PS,2012-02-13,15.100000381469727,14.699999809265137,15.0,5089100.0
PS,2012-02-14,14.899999618530273,14.399999618530273,14.5,8406900.0
PS,2012-02-15,15.0,14.5,14.699999809265137,13675700.0
PS,2012-02-16,14.899999618530273,14.600000381469727,14.699999809265137,3001900.0
PS,2012-02-17,15.0,14.699999809265137,14.800000190734863,3728500.0
PS,2012-02-21,14.600000381469727,13.699999809265137,13.800000190734863,15074000.0
PS,2012-02-22,13.800000190734863,13.399999618530273,13.5,14445700.0
PS,2012-02-23,13.899999618530273,13.399999618530273,13.899999618530273,3980500.0
PS,2012-02-24,14.0,13.600000381469727,13.600000381469727,4222000.0
PS,2012-02-27,13.800000190734863,13.5,13.699999809265137,2475600.0
PS,2012-02-28,13.800000190734863,13.699999809265137,13.800000190734863,1784100.0
PS,2012-02-29,14.0,13.699999809265137,14.0,12517100.0
PS,2012-03-01,14.199999809265137,13.899999618530273,14.199999809265137,12061700.0
PS,2012-03-02,14.399999618530273,14.0,14.0,4831300.0
PS,2012-03-05,14.100000381469727,13.699999809265137,13.699999809265137,7134800.0
PS,2012-03-06,13.899999618530273,13.699999809265137,13.699999809265137,4078500.0
