,,high,low,adjclose,volume
R,2012-01-03,55.08000183105469,54.29999923706055,45.325706481933594,938500.0
R,2012-01-04,54.5099983215332,53.650001525878906,45.30070495605469,248300.0
R,2012-01-05,55.18000030517578,53.619998931884766,45.775794982910156,438100.0
R,2012-01-06,55.189998626708984,54.52000045776367,45.55075454711914,205600.0
R,2012-01-09,54.959999084472656,54.11000061035156,45.55908966064453,388300.0
R,2012-01-10,56.380001068115234,55.4900016784668,46.80934143066406,424400.0
R,2012-01-11,56.279998779296875,55.61000061035156,46.634300231933594,398200.0
R,2012-01-12,56.9900016784668,55.31999969482422,46.37591552734375,648700.0
R,2012-01-13,55.5,54.04999923706055,45.8841552734375,601000.0
R,2012-01-17,55.7400016784668,55.040000915527344,45.8841552734375,339700.0
R,2012-01-18,56.09000015258789,54.810001373291016,46.734317779541016,302300.0
R,2012-01-19,56.959999084472656,56.02000045776367,47.15941619873047,289800.0
R,2012-01-20,56.54999923706055,55.310001373291016,46.25089645385742,507100.0
R,2012-01-23,55.849998474121094,54.75,45.875816345214844,401000.0
R,2012-01-24,54.91999816894531,54.150001525878906,45.459068298339844,384800.0
R,2012-01-25,56.119998931884766,54.13999938964844,46.68431091308594,525700.0
R,2012-01-26,57.31999969482422,56.15999984741211,47.09272003173828,572000.0
R,2012-01-27,57.34000015258789,55.970001220703125,47.65950012207031,465900.0
R,2012-01-30,57.06999969482422,56.2400016784668,47.44279479980469,432300.0
R,2012-01-31,57.33000183105469,55.79999923706055,46.90935516357422,494700.0
R,2012-02-01,57.630001068115234,56.54999923706055,47.45946502685547,570600.0
R,2012-02-02,54.68000030517578,51.5,44.19215393066406,2931400.0
R,2012-02-03,53.59000015258789,51.849998474121094,43.85874557495117,1598200.0
R,2012-02-06,52.88999938964844,52.0099983215332,43.75872039794922,805200.0
R,2012-02-07,53.529998779296875,52.09000015258789,44.225486755371094,732700.0
R,2012-02-08,53.970001220703125,53.060001373291016,44.65891647338867,575800.0
R,2012-02-09,54.290000915527344,53.529998779296875,45.13400650024414,528000.0
R,2012-02-10,54.29999923706055,52.959999084472656,44.84227752685547,516100.0
R,2012-02-13,55.0,53.68000030517578,45.71745300292969,627700.0
R,2012-02-14,54.810001373291016,53.72999954223633,45.109004974365234,556100.0
R,2012-02-15,54.34000015258789,53.18000030517578,44.59223937988281,351600.0
R,2012-02-16,53.97999954223633,52.70000076293945,45.18724060058594,448600.0
R,2012-02-17,54.650001525878906,53.2599983215332,45.002872467041016,398400.0
R,2012-02-21,53.75,52.63999938964844,44.273765563964844,569200.0
R,2012-02-22,53.08000183105469,51.88999938964844,43.56142807006836,468900.0
R,2012-02-23,53.040000915527344,51.40999984741211,44.39109420776367,471500.0
R,2012-02-24,53.25,52.27000045776367,43.84636688232422,378200.0
R,2012-02-27,52.58000183105469,51.40999984741211,43.502777099609375,565100.0
R,2012-02-28,52.54999923706055,51.880001068115234,43.93016815185547,545100.0
R,2012-02-29,53.650001525878906,52.4900016784668,44.60898971557617,680200.0
R,2012-03-01,54.75,53.20000076293945,45.42188262939453,700300.0
R,2012-03-02,54.290000915527344,53.459999084472656,44.85202407836914,518500.0
R,2012-03-05,53.18000030517578,52.36000061035156,44.206729888916016,576700.0
R,2012-03-06,52.15999984741211,51.52000045776367,43.46086883544922,565000.0
R,2012-03-07,52.34000015258789,51.630001068115234,43.703895568847656,356000.0
R,2012-03-08,53.27000045776367,52.09000015258789,44.36595916748047,409900.0
R,2012-03-09,53.880001068115234,52.77000045776367,44.83525466918945,275600.0
R,2012-03-12,53.7599983215332,52.970001220703125,44.88554382324219,335600.0
R,2012-03-13,54.97999954223633,53.61000061035156,46.01690673828125,428800.0
R,2012-03-14,54.849998474121094,54.0,45.388362884521484,362900.0
R,2012-03-15,55.86000061035156,54.06999969482422,46.519718170166016,841400.0
R,2012-03-16,55.95000076293945,54.97999954223633,46.40239715576172,519700.0
