,,high,low,adjclose,volume
RF,2012-01-03,4.460000038146973,4.320000171661377,3.749451160430908,14255500.0
RF,2012-01-04,4.340000152587891,4.210000038146973,3.740833282470703,16914500.0
RF,2012-01-05,4.599999904632568,4.239999771118164,3.8959832191467285,31886900.0
RF,2012-01-06,4.559999942779541,4.369999885559082,3.801168203353882,18310300.0
RF,2012-01-09,4.690000057220459,4.46999979019165,3.904602527618408,25590700.0
RF,2012-01-10,4.730000019073486,4.550000190734863,4.051131248474121,19395200.0
RF,2012-01-11,4.840000152587891,4.599999904632568,4.137326240539551,18766800.0
RF,2012-01-12,4.78000020980835,4.610000133514404,4.042513370513916,42072700.0
RF,2012-01-13,4.869999885559082,4.53000020980835,4.128706455230713,25850900.0
RF,2012-01-17,4.900000095367432,4.75,4.137326240539551,17048500.0
RF,2012-01-18,4.940000057220459,4.75,4.232140064239502,15687500.0
RF,2012-01-19,4.989999771118164,4.889999866485596,4.257998943328857,18676200.0
RF,2012-01-20,4.929999828338623,4.789999961853027,4.232140064239502,21891000.0
RF,2012-01-23,4.989999771118164,4.849999904632568,4.240760803222656,27691600.0
RF,2012-01-24,5.239999771118164,4.800000190734863,4.507962703704834,43505100.0
RF,2012-01-25,5.460000038146973,5.099999904632568,4.585536956787109,27643900.0
RF,2012-01-26,5.420000076293945,5.079999923706055,4.456245422363281,22767900.0
RF,2012-01-27,5.320000171661377,5.119999885559082,4.5769171714782715,18874500.0
RF,2012-01-30,5.239999771118164,5.119999885559082,4.456245422363281,12166300.0
RF,2012-01-31,5.25,5.119999885559082,4.499343395233154,19252800.0
RF,2012-02-01,5.369999885559082,5.230000019073486,4.585536956787109,16561000.0
RF,2012-02-02,5.460000038146973,5.230000019073486,4.688970565795898,19688400.0
RF,2012-02-03,5.679999828338623,5.510000228881836,4.861359119415283,23756800.0
RF,2012-02-06,5.630000114440918,5.519999980926514,4.818260669708252,13781200.0
RF,2012-02-07,5.619999885559082,5.510000228881836,4.818260669708252,10433400.0
RF,2012-02-08,5.630000114440918,5.5,4.757925987243652,15727000.0
RF,2012-02-09,5.699999809265137,5.539999961853027,4.895837306976318,17024600.0
