,,high,low,adjclose,volume
ROL,2012-01-03,10.146666526794434,9.848889350891113,8.801270484924316,843300.0
ROL,2012-01-04,9.90666675567627,9.74222183227539,8.718390464782715,512100.0
ROL,2012-01-05,9.862222671508789,9.60444450378418,8.706546783447266,389200.0
ROL,2012-01-06,9.831110954284668,9.64888858795166,8.663130760192871,527400.0
ROL,2012-01-09,9.795555114746094,9.657777786254883,8.615772247314453,513400.0
ROL,2012-01-10,9.826666831970215,9.737777709960938,8.682867050170898,484800.0
ROL,2012-01-11,9.80888843536377,9.706666946411133,8.674971580505371,412200.0
ROL,2012-01-12,9.795555114746094,9.671111106872559,8.69076156616211,441900.0
ROL,2012-01-13,9.804444313049316,9.626667022705078,8.67892074584961,404700.0
ROL,2012-01-17,9.968889236450195,9.826666831970215,8.730229377746582,463000.0
ROL,2012-01-18,9.902222633361816,9.782221794128418,8.793377876281738,355000.0
ROL,2012-01-19,10.04444408416748,9.871110916137695,8.840737342834473,393900.0
ROL,2012-01-20,10.124444007873535,9.928889274597168,8.91967487335205,330700.0
ROL,2012-01-23,10.057777404785156,9.777777671813965,8.856526374816895,407400.0
ROL,2012-01-24,10.14222240447998,9.84000015258789,8.974926948547363,408100.0
ROL,2012-01-25,10.239999771118164,10.026666641235352,9.002557754516602,569800.0
ROL,2012-01-26,10.168889045715332,9.568888664245605,8.58025074005127,802500.0
ROL,2012-01-27,9.724444389343262,9.533333778381348,8.588144302368164,624100.0
ROL,2012-01-30,9.608888626098633,9.497777938842773,8.469743728637695,413100.0
ROL,2012-01-31,9.631111145019531,9.4399995803833,8.442117691040039,563500.0
ROL,2012-02-01,9.724444389343262,9.515555381774902,8.592092514038086,970200.0
ROL,2012-02-02,9.720000267028809,9.546667098999023,8.48947811126709,478500.0
ROL,2012-02-03,9.977777481079102,9.69777774810791,8.742070198059082,591400.0
ROL,2012-02-06,9.848889350891113,9.65333366394043,8.603931427001953,338500.0
ROL,2012-02-07,9.711111068725586,9.577777862548828,8.524996757507324,368100.0
ROL,2012-02-08,9.64888858795166,9.431111335754395,8.461621284484863,379300.0
ROL,2012-02-09,9.533333778381348,9.39555549621582,8.437849998474121,370300.0
ROL,2012-02-10,9.41333293914795,9.239999771118164,8.259586334228516,413100.0
ROL,2012-02-13,9.493332862854004,9.324444770812988,8.461621284484863,418000.0
ROL,2012-02-14,9.453332901000977,9.25333309173584,8.334855079650879,262500.0
ROL,2012-02-15,9.426666259765625,9.15999984741211,8.204127311706543,526200.0
ROL,2012-02-16,9.4622220993042,9.226666450500488,8.271468162536621,684000.0
ROL,2012-02-17,9.426666259765625,9.168889045715332,8.200164794921875,581500.0
ROL,2012-02-21,9.288888931274414,8.95111083984375,8.021900177001953,1017900.0
ROL,2012-02-22,9.182222366333008,9.0,8.14470100402832,803800.0
ROL,2012-02-23,9.382222175598145,9.137777328491211,8.36258316040039,531000.0
ROL,2012-02-24,9.404444694519043,9.20888900756836,8.307124137878418,273100.0
ROL,2012-02-27,9.306666374206543,9.128889083862305,8.239775657653809,292600.0
ROL,2012-02-28,9.235555648803711,9.075555801391602,8.132820129394531,388300.0
ROL,2012-02-29,9.222222328186035,9.004444122314453,8.025859832763672,1017000.0
ROL,2012-03-01,9.084444046020508,8.920000076293945,7.9624786376953125,1020100.0
ROL,2012-03-02,8.915555953979492,8.617777824401855,7.70894718170166,1131900.0
ROL,2012-03-05,8.862222671508789,8.577777862548828,7.891172409057617,577500.0
ROL,2012-03-06,9.079999923706055,8.715555191040039,7.982285976409912,1351800.0
ROL,2012-03-07,9.039999961853027,8.880000114440918,8.010017395019531,593500.0
ROL,2012-03-08,9.173333168029785,8.973333358764648,8.14470100402832,733200.0
ROL,2012-03-09,9.399999618530273,9.084444046020508,8.307124137878418,813600.0
ROL,2012-03-12,9.359999656677246,9.222222328186035,8.326931953430176,681000.0
ROL,2012-03-13,9.475555419921875,9.311111450195312,8.445772171020508,595800.0
ROL,2012-03-14,9.4399995803833,9.239999771118164,8.25166130065918,609000.0
ROL,2012-03-15,9.373332977294922,9.222222328186035,8.338817596435547,444100.0
ROL,2012-03-16,9.466666221618652,9.284444808959961,8.28731632232666,880800.0
ROL,2012-03-19,9.417778015136719,9.217778205871582,8.326931953430176,425800.0
ROL,2012-03-20,9.34666633605957,9.244444847106934,8.25166130065918,344700.0
ROL,2012-03-21,9.337778091430664,9.226666450500488,8.26750659942627,467200.0
ROL,2012-03-22,9.275555610656738,9.057777404785156,8.18828010559082,441900.0
ROL,2012-03-23,9.306666374206543,9.084444046020508,8.295242309570312,419100.0
ROL,2012-03-26,9.497777938842773,9.34666633605957,8.465583801269531,564700.0
ROL,2012-03-27,9.51111125946045,9.377778053283691,8.398234367370605,402900.0
ROL,2012-03-28,9.479999542236328,9.311111450195312,8.378429412841797,468600.0
ROL,2012-03-29,9.448888778686523,9.244444847106934,8.398234367370605,414100.0
