,,high,low,adjclose,volume
S,2012-01-03,2.4100000858306885,2.309999942779541,2.3399999141693115,31400900.0
S,2012-01-04,2.3399999141693115,2.2799999713897705,2.309999942779541,21191500.0
S,2012-01-05,2.319999933242798,2.2200000286102295,2.240000009536743,33984100.0
S,2012-01-06,2.2799999713897705,2.1600000858306885,2.190000057220459,50697000.0
S,2012-01-09,2.2300000190734863,2.1700000762939453,2.200000047683716,39810900.0
S,2012-01-10,2.240000009536743,2.190000057220459,2.2300000190734863,30014000.0
S,2012-01-11,2.319999933242798,2.2100000381469727,2.299999952316284,32317800.0
S,2012-01-12,2.369999885559082,2.299999952316284,2.319999933242798,47308000.0
S,2012-01-13,2.3399999141693115,2.2799999713897705,2.309999942779541,18270200.0
S,2012-01-17,2.3499999046325684,2.2100000381469727,2.2100000381469727,39881200.0
S,2012-01-18,2.3299999237060547,2.2200000286102295,2.3299999237060547,24709500.0
S,2012-01-19,2.359999895095825,2.299999952316284,2.3399999141693115,21012500.0
S,2012-01-20,2.3499999046325684,2.25,2.2699999809265137,35923800.0
S,2012-01-23,2.299999952316284,2.25,2.25,27457200.0
S,2012-01-24,2.2699999809265137,2.1600000858306885,2.1700000762939453,54264900.0
S,2012-01-25,2.2200000286102295,2.130000114440918,2.200000047683716,50388800.0
S,2012-01-26,2.259999990463257,2.1700000762939453,2.1700000762939453,53000100.0
S,2012-01-27,2.190000057220459,2.1600000858306885,2.1700000762939453,25655200.0
S,2012-01-30,2.180000066757202,2.130000114440918,2.1600000858306885,34985600.0
S,2012-01-31,2.1700000762939453,2.0999999046325684,2.119999885559082,61842600.0
S,2012-02-01,2.240000009536743,2.119999885559082,2.2300000190734863,68237100.0
S,2012-02-02,2.25,2.190000057220459,2.2100000381469727,32434200.0
S,2012-02-03,2.319999933242798,2.2200000286102295,2.319999933242798,54522000.0
S,2012-02-06,2.4800000190734863,2.299999952316284,2.4600000381469727,66247600.0
S,2012-02-07,2.549999952316284,2.430000066757202,2.450000047683716,73699300.0
S,2012-02-08,2.490000009536743,2.2699999809265137,2.4100000858306885,125487300.0
S,2012-02-09,2.4000000953674316,2.319999933242798,2.390000104904175,45924400.0
S,2012-02-10,2.359999895095825,2.2899999618530273,2.2899999618530273,38179400.0
S,2012-02-13,2.3399999141693115,2.2699999809265137,2.309999942779541,48813700.0
S,2012-02-14,2.309999942779541,2.2699999809265137,2.309999942779541,24829300.0
S,2012-02-15,2.319999933242798,2.259999990463257,2.259999990463257,35141800.0
S,2012-02-16,2.2899999618530273,2.200000047683716,2.259999990463257,63587800.0
S,2012-02-17,2.299999952316284,2.25,2.299999952316284,20408500.0
S,2012-02-21,2.309999942779541,2.2699999809265137,2.2699999809265137,18762200.0
S,2012-02-22,2.2799999713897705,2.200000047683716,2.2300000190734863,34102600.0
S,2012-02-23,2.5399999618530273,2.200000047683716,2.5199999809265137,100600200.0
S,2012-02-24,2.5199999809265137,2.4000000953674316,2.4700000286102295,66981700.0
S,2012-02-27,2.5999999046325684,2.369999885559082,2.549999952316284,63569400.0
S,2012-02-28,2.5799999237060547,2.5,2.549999952316284,36305900.0
S,2012-02-29,2.5899999141693115,2.4600000381469727,2.4700000286102295,33805500.0
S,2012-03-01,2.5399999618530273,2.4700000286102295,2.5,20889100.0
S,2012-03-02,2.5299999713897705,2.4800000190734863,2.5,15962700.0
S,2012-03-05,2.509999990463257,2.4100000858306885,2.430000066757202,32565800.0
S,2012-03-06,2.430000066757202,2.359999895095825,2.390000104904175,33621600.0
S,2012-03-07,2.4700000286102295,2.4100000858306885,2.430000066757202,39626200.0
S,2012-03-08,2.6500000953674316,2.440000057220459,2.5999999046325684,71303000.0
S,2012-03-09,2.8499999046325684,2.569999933242798,2.7799999713897705,138746900.0
S,2012-03-12,2.8299999237060547,2.690000057220459,2.7200000286102295,52013400.0
S,2012-03-13,2.819999933242798,2.7300000190734863,2.7899999618530273,66395700.0
S,2012-03-14,2.8499999046325684,2.7200000286102295,2.7699999809265137,55071600.0
S,2012-03-15,2.8299999237060547,2.759999990463257,2.799999952316284,47027600.0
S,2012-03-16,2.940000057220459,2.7699999809265137,2.890000104904175,61097300.0
S,2012-03-19,2.8299999237060547,2.680000066757202,2.759999990463257,103448300.0
S,2012-03-20,2.759999990463257,2.6600000858306885,2.75,38067000.0
S,2012-03-21,2.799999952316284,2.700000047683716,2.7799999713897705,38952600.0
S,2012-03-22,2.7899999618530273,2.7200000286102295,2.740000009536743,37112900.0
S,2012-03-23,2.759999990463257,2.700000047683716,2.740000009536743,27057100.0
S,2012-03-26,2.869999885559082,2.759999990463257,2.859999895095825,46187000.0
S,2012-03-27,2.890000104904175,2.7899999618530273,2.8299999237060547,36360800.0
S,2012-03-28,2.890000104904175,2.7899999618530273,2.8299999237060547,27908800.0
S,2012-03-29,2.9800000190734863,2.8299999237060547,2.9800000190734863,90876400.0
S,2012-03-30,3.0299999713897705,2.8499999046325684,2.8499999046325684,43078400.0
S,2012-04-02,2.9000000953674316,2.8299999237060547,2.859999895095825,31061900.0
S,2012-04-03,2.9000000953674316,2.8299999237060547,2.880000114440918,37341200.0
S,2012-04-04,2.859999895095825,2.75,2.75,33295700.0
S,2012-04-05,2.809999942779541,2.740000009536743,2.759999990463257,33077800.0
S,2012-04-09,2.7899999618530273,2.630000114440918,2.75,36443400.0
S,2012-04-10,2.7899999618530273,2.6500000953674316,2.6600000858306885,39573600.0
S,2012-04-11,2.799999952316284,2.680000066757202,2.75,35379200.0
S,2012-04-12,2.7899999618530273,2.7200000286102295,2.75,18875800.0
S,2012-04-13,2.759999990463257,2.6600000858306885,2.680000066757202,20397100.0
S,2012-04-16,2.7100000381469727,2.509999990463257,2.509999990463257,56170500.0
S,2012-04-17,2.619999885559082,2.5,2.609999895095825,52231300.0
S,2012-04-18,2.5999999046325684,2.509999990463257,2.5199999809265137,66925900.0
S,2012-04-19,2.5199999809265137,2.3499999046325684,2.4000000953674316,108713900.0
S,2012-04-20,2.430000066757202,2.359999895095825,2.369999885559082,54299900.0
S,2012-04-23,2.380000114440918,2.299999952316284,2.3399999141693115,49111400.0
S,2012-04-24,2.4800000190734863,2.319999933242798,2.4700000286102295,92848200.0
S,2012-04-25,2.6500000953674316,2.4100000858306885,2.430000066757202,145813400.0
S,2012-04-26,2.509999990463257,2.359999895095825,2.369999885559082,77494100.0
S,2012-04-27,2.390000104904175,2.309999942779541,2.359999895095825,67887100.0
S,2012-04-30,2.490000009536743,2.3299999237060547,2.4800000190734863,54116100.0
S,2012-05-01,2.5999999046325684,2.490000009536743,2.549999952316284,52293500.0
S,2012-05-02,2.619999885559082,2.509999990463257,2.569999933242798,43174700.0
S,2012-05-03,2.619999885559082,2.4700000286102295,2.4800000190734863,30899800.0
S,2012-05-04,2.4800000190734863,2.3499999046325684,2.359999895095825,51172500.0
S,2012-05-07,2.450000047683716,2.3299999237060547,2.4100000858306885,36894300.0
S,2012-05-08,2.440000057220459,2.3299999237060547,2.3499999046325684,41249800.0
S,2012-05-09,2.509999990463257,2.319999933242798,2.4000000953674316,69203900.0
S,2012-05-10,2.490000009536743,2.4200000762939453,2.450000047683716,32658000.0
S,2012-05-11,2.5299999713897705,2.4200000762939453,2.490000009536743,40299300.0
S,2012-05-14,2.509999990463257,2.450000047683716,2.5,30950000.0
S,2012-05-15,2.5399999618530273,2.4700000286102295,2.4700000286102295,40606800.0
S,2012-05-16,2.5,2.4000000953674316,2.4000000953674316,43285000.0
S,2012-05-17,2.440000057220459,2.359999895095825,2.359999895095825,41218500.0
S,2012-05-18,2.440000057220459,2.319999933242798,2.3399999141693115,39235800.0
S,2012-05-21,2.390000104904175,2.3299999237060547,2.369999885559082,22741700.0
S,2012-05-22,2.4600000381469727,2.369999885559082,2.4100000858306885,37361000.0
S,2012-05-23,2.490000009536743,2.359999895095825,2.4600000381469727,49763100.0
S,2012-05-24,2.5299999713897705,2.4600000381469727,2.5299999713897705,41634200.0
S,2012-05-25,2.6500000953674316,2.5199999809265137,2.619999885559082,62607500.0
S,2012-05-29,2.6700000762939453,2.609999895095825,2.6700000762939453,70531900.0
S,2012-05-30,2.6600000858306885,2.5199999809265137,2.5799999237060547,35508200.0
S,2012-05-31,2.619999885559082,2.509999990463257,2.569999933242798,31184400.0
S,2012-06-01,2.6500000953674316,2.5,2.509999990463257,48382500.0
S,2012-06-04,2.549999952316284,2.440000057220459,2.5399999618530273,62069700.0
S,2012-06-05,2.5999999046325684,2.490000009536743,2.5299999713897705,39506300.0
S,2012-06-06,2.7300000190734863,2.5399999618530273,2.7200000286102295,64132000.0
S,2012-06-07,2.799999952316284,2.6600000858306885,2.740000009536743,50889000.0
S,2012-06-08,3.0,2.7300000190734863,2.9800000190734863,84121500.0
S,2012-06-11,3.0799999237060547,2.819999933242798,2.8299999237060547,61121600.0
S,2012-06-12,2.950000047683716,2.799999952316284,2.9200000762939453,53224800.0
S,2012-06-13,2.990000009536743,2.859999895095825,2.940000057220459,31194200.0
S,2012-06-14,3.109999895095825,2.9000000953674316,3.0999999046325684,59422000.0
S,2012-06-15,3.140000104904175,3.0199999809265137,3.0899999141693115,71602800.0
S,2012-06-18,3.0899999141693115,3.009999990463257,3.0799999237060547,52937400.0
S,2012-06-19,3.1500000953674316,3.069999933242798,3.1500000953674316,31881900.0
S,2012-06-20,3.180000066757202,3.0899999141693115,3.130000114440918,42261300.0
S,2012-06-21,3.2200000286102295,3.140000104904175,3.180000066757202,51331400.0
S,2012-06-22,3.2899999618530273,3.190000057220459,3.2899999618530273,78981100.0
