,,high,low,adjclose,volume
SCCO,2012-01-03,31.899999618530273,31.06999969482422,24.88088035583496,2518500.0
SCCO,2012-01-04,31.809999465942383,31.219999313354492,24.770788192749023,1872800.0
SCCO,2012-01-05,31.489999771118164,30.809999465942383,24.652828216552734,1953600.0
SCCO,2012-01-06,31.59000015258789,30.799999237060547,24.503419876098633,1568500.0
SCCO,2012-01-09,31.200000762939453,30.0,24.259645462036133,2431100.0
SCCO,2012-01-10,32.34000015258789,31.700000762939453,25.163976669311523,2639500.0
SCCO,2012-01-11,32.540000915527344,31.90999984741211,25.478527069091797,2793700.0
SCCO,2012-01-12,33.4900016784668,32.709999084472656,26.272764205932617,3061900.0
SCCO,2012-01-13,33.25,32.5099983215332,26.123353958129883,2058500.0
SCCO,2012-01-17,34.7599983215332,33.7400016784668,26.886137008666992,4445400.0
SCCO,2012-01-18,35.650001525878906,34.25,27.924148559570312,4886700.0
SCCO,2012-01-19,35.97999954223633,35.380001068115234,28.089292526245117,3432300.0
SCCO,2012-01-20,35.650001525878906,34.88999938964844,27.63318634033203,2562000.0
SCCO,2012-01-23,36.119998931884766,35.380001068115234,28.27801513671875,3146700.0
SCCO,2012-01-24,35.439998626708984,34.290000915527344,27.7825984954834,3699900.0
SCCO,2012-01-25,36.38999938964844,34.91999816894531,28.380247116088867,3768500.0
SCCO,2012-01-26,37.27000045776367,35.75,28.309465408325195,4473500.0
SCCO,2012-01-27,36.349998474121094,35.75,28.40383529663086,2689200.0
SCCO,2012-01-30,35.209999084472656,33.86000061035156,27.334362030029297,5252900.0
SCCO,2012-01-31,35.380001068115234,34.20000076293945,27.27932357788086,3818600.0
SCCO,2012-02-01,35.220001220703125,34.7400016784668,27.35009765625,3220400.0
SCCO,2012-02-02,35.06999969482422,34.36000061035156,27.05128288269043,2304300.0
SCCO,2012-02-03,35.400001525878906,34.650001525878906,27.703960418701172,3278700.0
SCCO,2012-02-06,35.2400016784668,34.7599983215332,27.67250633239746,2327600.0
SCCO,2012-02-07,35.5099983215332,34.619998931884766,27.468059539794922,2185600.0
SCCO,2012-02-08,35.900001525878906,34.90999984741211,27.499513626098633,2194300.0
SCCO,2012-02-09,35.18000030517578,34.470001220703125,27.389423370361328,2604600.0
SCCO,2012-02-10,34.369998931884766,33.34000015258789,26.492942810058594,3228500.0
SCCO,2012-02-13,33.849998474121094,32.779998779296875,26.21459197998047,2308000.0
SCCO,2012-02-14,33.040000915527344,31.709999084472656,25.45543670654297,3753200.0
SCCO,2012-02-15,32.59000015258789,31.760000228881836,25.463342666625977,2670500.0
SCCO,2012-02-16,32.970001220703125,31.799999237060547,25.882457733154297,2462500.0
SCCO,2012-02-17,32.91999816894531,31.969999313354492,25.439620971679688,2261300.0
SCCO,2012-02-21,32.93000030517578,32.25,25.82710075378418,1955900.0
SCCO,2012-02-22,33.38999938964844,32.5,26.293664932250977,3007400.0
SCCO,2012-02-23,33.58000183105469,32.779998779296875,26.356929779052734,2341800.0
SCCO,2012-02-24,33.619998931884766,32.93000030517578,26.24622344970703,2033300.0
SCCO,2012-02-27,32.97999954223633,32.540000915527344,25.89828109741211,2651400.0
SCCO,2012-02-28,33.2400016784668,32.7400016784668,26.064348220825195,2155000.0
SCCO,2012-02-29,33.25,32.040000915527344,25.43171501159668,2861800.0
SCCO,2012-03-01,32.790000915527344,32.2400016784668,25.589876174926758,1244600.0
SCCO,2012-03-02,32.38999938964844,31.43000030517578,25.194475173950195,2416100.0
SCCO,2012-03-05,31.56999969482422,30.860000610351562,24.751636505126953,2166900.0
SCCO,2012-03-06,30.809999465942383,29.700000762939453,24.308788299560547,3173400.0
SCCO,2012-03-07,31.030000686645508,30.40999984741211,24.38787078857422,2253600.0
SCCO,2012-03-08,31.440000534057617,30.790000915527344,24.704191207885742,1340100.0
SCCO,2012-03-09,32.25,31.1200008392334,24.822805404663086,3296800.0
SCCO,2012-03-12,31.959999084472656,31.34000015258789,25.012592315673828,1699800.0
SCCO,2012-03-13,32.34000015258789,31.799999237060547,25.54241943359375,2041000.0
SCCO,2012-03-14,32.2400016784668,31.299999237060547,24.925609588623047,1994600.0
SCCO,2012-03-15,31.920000076293945,31.360000610351562,24.94142723083496,1814800.0
SCCO,2012-03-16,31.920000076293945,31.559999465942383,25.194475173950195,1804500.0
SCCO,2012-03-19,32.36000061035156,31.65999984741211,25.447532653808594,1595000.0
SCCO,2012-03-20,31.59000015258789,30.719999313354492,24.79908561706543,2913100.0
SCCO,2012-03-21,31.700000762939453,31.0,24.973051071166992,1575300.0
SCCO,2012-03-22,31.110000610351562,30.600000381469727,24.403688430786133,1889400.0
SCCO,2012-03-23,31.309999465942383,30.780000686645508,24.48276710510254,1663400.0
SCCO,2012-03-26,31.3700008392334,30.780000686645508,24.664644241333008,1811000.0
SCCO,2012-03-27,32.150001525878906,31.68000030517578,25.067951202392578,3356000.0
SCCO,2012-03-28,31.709999084472656,30.600000381469727,24.814899444580078,3544700.0
SCCO,2012-03-29,31.3700008392334,30.649999618530273,24.791173934936523,2073800.0
SCCO,2012-03-30,32.13999938964844,31.34000015258789,25.075855255126953,2359300.0
SCCO,2012-04-02,32.25,31.760000228881836,25.234012603759766,2422500.0
SCCO,2012-04-03,31.969999313354492,31.450000762939453,25.052135467529297,2050600.0
SCCO,2012-04-04,31.43000030517578,30.8799991607666,24.617197036743164,2007700.0
SCCO,2012-04-05,31.479999542236328,30.670000076293945,24.316701889038086,1418600.0
SCCO,2012-04-09,30.709999084472656,30.190000534057617,24.087373733520508,1954900.0
SCCO,2012-04-10,30.75,29.899999618530273,23.873857498168945,3212300.0
SCCO,2012-04-11,30.729999542236328,30.09000015258789,23.88176918029785,2161500.0
SCCO,2012-04-12,31.90999984741211,30.239999771118164,25.194475173950195,2941300.0
SCCO,2012-04-13,31.700000762939453,30.84000015258789,24.585573196411133,2582200.0
SCCO,2012-04-16,31.540000915527344,30.799999237060547,24.720003128051758,1815700.0
SCCO,2012-04-17,31.940000534057617,31.440000534057617,24.925609588623047,1983400.0
SCCO,2012-04-18,31.6200008392334,31.0,24.83070945739746,2015500.0
SCCO,2012-04-19,31.75,31.100000381469727,24.767452239990234,1705000.0
SCCO,2012-04-20,31.700000762939453,31.239999771118164,24.743730545043945,1707800.0
SCCO,2012-04-23,30.670000076293945,29.979999542236328,24.14273452758789,2250600.0
SCCO,2012-04-24,31.389999389648438,30.610000610351562,24.49858856201172,1818700.0
SCCO,2012-04-25,31.600000381469727,31.06999969482422,24.98887062072754,1489800.0
SCCO,2012-04-26,32.0,31.260000228881836,25.13912582397461,1796800.0
SCCO,2012-04-27,32.4900016784668,31.920000076293945,25.6689453125,2885800.0
SCCO,2012-04-30,32.9900016784668,32.209999084472656,26.001081466674805,2501000.0
SCCO,2012-05-01,33.439998626708984,32.91999816894531,26.190866470336914,1974000.0
SCCO,2012-05-02,33.369998931884766,32.63999938964844,26.31739044189453,1881900.0
