,,high,low,adjclose,volume
SIVB,2012-01-03,50.349998474121094,48.720001220703125,48.84000015258789,276300.0
SIVB,2012-01-04,49.709999084472656,47.540000915527344,49.25,258500.0
SIVB,2012-01-05,52.36000061035156,49.310001373291016,51.59000015258789,653800.0
SIVB,2012-01-06,52.47999954223633,50.599998474121094,51.61000061035156,461500.0
SIVB,2012-01-09,53.38999938964844,51.150001525878906,53.369998931884766,508200.0
SIVB,2012-01-10,55.63999938964844,53.83000183105469,55.31999969482422,893700.0
SIVB,2012-01-11,55.36000061035156,54.43000030517578,55.09000015258789,642100.0
SIVB,2012-01-12,55.68000030517578,54.16999816894531,55.2599983215332,391800.0
SIVB,2012-01-13,54.540000915527344,53.54999923706055,53.900001525878906,390200.0
SIVB,2012-01-17,54.59000015258789,52.86000061035156,54.279998779296875,471700.0
SIVB,2012-01-18,55.290000915527344,54.0,55.099998474121094,307900.0
SIVB,2012-01-19,55.72999954223633,54.59000015258789,54.880001068115234,203500.0
SIVB,2012-01-20,55.099998474121094,53.880001068115234,54.93000030517578,346700.0
SIVB,2012-01-23,55.0,53.77000045776367,53.900001525878906,338900.0
SIVB,2012-01-24,53.790000915527344,52.66999816894531,53.220001220703125,595200.0
SIVB,2012-01-25,55.41999816894531,52.869998931884766,54.970001220703125,849100.0
SIVB,2012-01-26,55.33000183105469,51.959999084472656,53.0,827600.0
SIVB,2012-01-27,57.4900016784668,53.5,56.56999969482422,966400.0
SIVB,2012-01-30,57.29999923706055,55.560001373291016,56.779998779296875,648500.0
SIVB,2012-01-31,58.25,56.90999984741211,58.040000915527344,858600.0
SIVB,2012-02-01,60.150001525878906,58.099998474121094,59.959999084472656,985500.0
SIVB,2012-02-02,59.709999084472656,57.900001525878906,58.130001068115234,686700.0
SIVB,2012-02-03,59.79999923706055,58.54999923706055,58.810001373291016,583900.0
SIVB,2012-02-06,58.77000045776367,57.75,58.310001373291016,312600.0
SIVB,2012-02-07,59.22999954223633,57.97999954223633,58.720001220703125,495600.0
SIVB,2012-02-08,59.599998474121094,58.70000076293945,59.099998474121094,553600.0
SIVB,2012-02-09,59.59000015258789,57.93000030517578,58.0,308200.0
SIVB,2012-02-10,58.0099983215332,56.689998626708984,57.52000045776367,489700.0
SIVB,2012-02-13,58.599998474121094,57.88999938964844,58.56999969482422,271400.0
SIVB,2012-02-14,59.18000030517578,57.40999984741211,59.130001068115234,422100.0
SIVB,2012-02-15,60.0,59.15999984741211,59.43000030517578,433300.0
SIVB,2012-02-16,61.209999084472656,59.369998931884766,61.0099983215332,395000.0
SIVB,2012-02-17,61.34000015258789,60.5099983215332,60.83000183105469,383900.0
SIVB,2012-02-21,60.959999084472656,59.65999984741211,60.150001525878906,253400.0
SIVB,2012-02-22,60.15999984741211,59.119998931884766,59.15999984741211,280300.0
SIVB,2012-02-23,60.619998931884766,59.0,60.54999923706055,241000.0
SIVB,2012-02-24,60.939998626708984,59.970001220703125,60.849998474121094,470000.0
SIVB,2012-02-27,61.060001373291016,59.880001068115234,60.63999938964844,277100.0
SIVB,2012-02-28,61.04999923706055,59.970001220703125,60.650001525878906,299700.0
SIVB,2012-02-29,61.0,59.279998779296875,59.279998779296875,393600.0
SIVB,2012-03-01,61.15999984741211,59.65999984741211,60.27000045776367,632900.0
SIVB,2012-03-02,60.45000076293945,58.900001525878906,59.060001373291016,452000.0
SIVB,2012-03-05,59.630001068115234,58.43000030517578,59.56999969482422,362200.0
SIVB,2012-03-06,59.720001220703125,58.400001525878906,59.119998931884766,488600.0
SIVB,2012-03-07,60.15999984741211,59.119998931884766,59.58000183105469,368400.0
SIVB,2012-03-08,61.599998474121094,59.61000061035156,61.36000061035156,463000.0
SIVB,2012-03-09,62.97999954223633,61.27000045776367,62.439998626708984,282700.0
SIVB,2012-03-12,62.81999969482422,61.619998931884766,62.25,378500.0
SIVB,2012-03-13,65.80999755859375,62.5099983215332,65.69000244140625,508900.0
SIVB,2012-03-14,66.16999816894531,64.33000183105469,64.58999633789062,346000.0
SIVB,2012-03-15,66.81999969482422,64.26000213623047,66.11000061035156,448200.0
SIVB,2012-03-16,67.05999755859375,65.4000015258789,66.16999816894531,913500.0
SIVB,2012-03-19,67.22000122070312,65.44000244140625,66.5,599800.0
SIVB,2012-03-20,66.95999908447266,65.38999938964844,66.29000091552734,298000.0
SIVB,2012-03-21,66.76000213623047,65.62000274658203,65.87000274658203,253500.0
SIVB,2012-03-22,65.68000030517578,64.30999755859375,65.41999816894531,339700.0
SIVB,2012-03-23,66.45999908447266,64.83000183105469,66.31999969482422,387100.0
