,,high,low,adjclose,volume
SLM,2012-01-03,4.9892778396606445,4.84631872177124,4.5833916664123535,13215500.0
SLM,2012-01-04,4.899928569793701,4.685489654541016,4.480131149291992,11959200.0
SLM,2012-01-05,4.939242362976074,4.6997857093811035,4.560075283050537,11733600.0
SLM,2012-01-06,5.032166004180908,4.892780780792236,4.590053558349609,14051200.0
SLM,2012-01-09,5.0,4.914224624633789,4.600046634674072,8441500.0
SLM,2012-01-10,5.003573894500732,4.860614776611328,4.586722373962402,20866900.0
SLM,2012-01-11,4.964260101318359,4.8641886711120605,4.5833916664123535,7088700.0
SLM,2012-01-12,5.0,4.84631872177124,4.563405990600586,9625900.0
SLM,2012-01-13,4.899928569793701,4.792708873748779,4.543420791625977,10489900.0
SLM,2012-01-17,5.0,4.867762565612793,4.543420791625977,9575000.0
SLM,2012-01-18,5.264474391937256,4.82844877243042,4.7599310874938965,20308100.0
SLM,2012-01-19,5.3931379318237305,5.164402961730957,4.846536636352539,17531900.0
SLM,2012-01-20,5.275196552276611,5.117941379547119,4.869853496551514,9751000.0
SLM,2012-01-23,5.264474391937256,5.150107383728027,4.853198528289795,8517100.0
SLM,2012-01-24,5.250178813934326,5.121515274047852,4.853198528289795,7970600.0
SLM,2012-01-25,5.282344341278076,5.18584680557251,4.869853496551514,9916100.0
SLM,2012-01-26,5.403860092163086,5.235882759094238,4.99976110458374,12883900.0
SLM,2012-01-27,5.51107931137085,5.3395280838012695,5.039732933044434,13606300.0
SLM,2012-01-30,5.414581775665283,5.296640396118164,4.98310661315918,10418600.0
SLM,2012-01-31,5.443173885345459,5.285918712615967,4.979774475097656,13811700.0
SLM,2012-02-01,5.578985214233398,5.353824138641357,5.09968900680542,15534400.0
SLM,2012-02-02,5.568263053894043,5.425303936004639,5.159646034240723,8761300.0
SLM,2012-02-03,5.732666015625,5.614724636077881,5.326193809509277,12389800.0
SLM,2012-02-06,5.71479606628418,5.600429058074951,5.289553642272949,6669500.0
SLM,2012-02-07,5.725518226623535,5.6504645347595215,5.269567012786865,10920800.0
SLM,2012-02-08,5.6897783279418945,5.586133003234863,5.249581813812256,10227500.0
SLM,2012-02-09,5.729092121124268,5.6182990074157715,5.299546718597412,17775100.0
SLM,2012-02-10,5.704074382781982,5.5575408935546875,5.289553642272949,9113300.0
SLM,2012-02-13,5.75053596496582,5.68263053894043,5.332855224609375,9786800.0
SLM,2012-02-14,5.757684230804443,5.6897783279418945,5.352841854095459,8608000.0
SLM,2012-02-15,5.793423652648926,5.675482273101807,5.30620813369751,8183300.0
SLM,2012-02-16,5.729092121124268,5.6576128005981445,5.326193809509277,9099600.0
SLM,2012-02-17,5.793423652648926,5.704074382781982,5.376157283782959,7744500.0
SLM,2012-02-21,5.8756256103515625,5.75053596496582,5.419460773468018,7428900.0
SLM,2012-02-22,5.843459606170654,5.764832019805908,5.399474620819092,9060200.0
SLM,2012-02-23,5.85418176651001,5.764832019805908,5.44943904876709,7229700.0
SLM,2012-02-24,5.8756256103515625,5.775554180145264,5.392813205718994,16087900.0
SLM,2012-02-27,5.829163551330566,5.664760589599609,5.406137943267822,9861200.0
SLM,2012-02-28,5.843459606170654,5.768405914306641,5.392813205718994,7601800.0
SLM,2012-02-29,5.800571918487549,5.611150741577148,5.29042387008667,15453900.0
SLM,2012-03-01,5.850607395172119,5.661186695098877,5.451553821563721,8976200.0
SLM,2012-03-02,5.832737445831299,5.739814281463623,5.4079155921936035,8683800.0
SLM,2012-03-05,5.754109859466553,5.668334484100342,5.3642754554748535,7130100.0
SLM,2012-03-06,5.679056644439697,5.561115264892578,5.250141620635986,8727500.0
SLM,2012-03-07,5.739814281463623,5.604002952575684,5.360918045043945,11213200.0
SLM,2012-03-08,5.789849758148193,5.68263053894043,5.424698829650879,7863400.0
SLM,2012-03-09,5.847033500671387,5.725518226623535,5.491836071014404,8696400.0
SLM,2012-03-12,5.843459606170654,5.793423652648926,5.461624622344971,5861200.0
SLM,2012-03-13,5.957827091217041,5.850607395172119,5.562330722808838,10649400.0
SLM,2012-03-14,6.036454677581787,5.7433881759643555,5.404557704925537,15875000.0
SLM,2012-03-15,5.822015762329102,5.729092121124268,5.421341896057129,18451100.0
SLM,2012-03-16,5.843459606170654,5.768405914306641,5.461624622344971,11749300.0
SLM,2012-03-19,5.943531036376953,5.775554180145264,5.538832187652588,9635700.0
SLM,2012-03-20,5.925661087036133,5.796998023986816,5.528762340545654,6545300.0
SLM,2012-03-21,5.925661087036133,5.779128074645996,5.468338489532471,5284300.0
SLM,2012-03-22,5.811293601989746,5.721944332122803,5.381059169769287,7726600.0
SLM,2012-03-23,5.796998023986816,5.725518226623535,5.411270618438721,4948200.0
SLM,2012-03-26,5.911365032196045,5.796998023986816,5.468338489532471,12809800.0
SLM,2012-03-27,5.825589656829834,5.71479606628418,5.377701759338379,11494100.0
SLM,2012-03-28,5.736240386962891,5.52894926071167,5.3239922523498535,22165700.0
SLM,2012-03-29,5.68263053894043,5.607576847076416,5.320636749267578,11165400.0
SLM,2012-03-30,5.711222171783447,5.586133003234863,5.29042387008667,9397300.0
SLM,2012-04-02,5.704074382781982,5.578985214233398,5.30720853805542,12271700.0
SLM,2012-04-03,5.675482273101807,5.578985214233398,5.3172783851623535,18518000.0
SLM,2012-04-04,5.621872901916504,5.521801471710205,5.186361789703369,8417200.0
SLM,2012-04-05,5.54681921005249,5.446747779846191,5.122580528259277,12733400.0
SLM,2012-04-09,5.443173885345459,5.335954189300537,5.07894229888916,7526600.0
SLM,2012-04-10,5.500357627868652,5.3073625564575195,4.984950065612793,16850300.0
SLM,2012-04-11,5.400285720825195,5.314510345458984,5.01180362701416,19162600.0
SLM,2012-04-12,5.443173885345459,5.3395280838012695,5.1125102043151855,7777300.0
SLM,2012-04-13,5.436025619506836,5.296640396118164,4.984950065612793,13902900.0
SLM,2012-04-16,5.414581775665283,5.289492607116699,4.981592178344727,10273900.0
SLM,2012-04-17,5.418155670166016,5.318084239959717,5.05544376373291,6972600.0
SLM,2012-04-18,5.421730041503906,5.3002142906188965,5.01851749420166,10190800.0
SLM,2012-04-19,5.411007881164551,5.232308864593506,5.005090713500977,11825100.0
SLM,2012-04-20,5.407433986663818,5.3002142906188965,5.06215763092041,10860100.0
SLM,2012-04-23,5.360971927642822,5.275196552276611,5.008447170257568,12700400.0
SLM,2012-04-24,5.368120193481445,5.310936450958252,5.025230884552002,12040300.0
SLM,2012-04-25,5.3931379318237305,5.289492607116699,4.984950065612793,13046700.0
SLM,2012-04-26,5.332380294799805,5.250178813934326,4.988306045532227,14141000.0
SLM,2012-04-27,5.353824138641357,5.275196552276611,4.988306045532227,6494400.0
SLM,2012-04-30,5.310936450958252,5.246604919433594,4.978235721588135,13411900.0
SLM,2012-05-01,5.364546298980713,5.264474391937256,4.951380252838135,8706500.0
SLM,2012-05-02,5.271622657775879,5.157255172729492,4.850674629211426,6739200.0
SLM,2012-05-03,5.18584680557251,5.0500359535217285,4.766752243041992,10632400.0
SLM,2012-05-04,5.071479797363281,4.9571123123168945,4.659333229064941,9239200.0
SLM,2012-05-07,5.014296054840088,4.928520202636719,4.672760009765625,6797100.0
SLM,2012-05-08,4.971408367156982,4.8248748779296875,4.608980655670166,15955800.0
SLM,2012-05-09,4.98213005065918,4.8248748779296875,4.6526198387146,10776200.0
SLM,2012-05-10,5.0107221603393555,4.932094573974609,4.659333229064941,7747900.0
SLM,2012-05-11,4.974982261657715,4.860614776611328,4.598909378051758,7083100.0
SLM,2012-05-14,4.914224624633789,4.8248748779296875,4.572054386138916,11468400.0
SLM,2012-05-15,4.932094573974609,4.835597038269043,4.548555850982666,11294400.0
SLM,2012-05-16,4.910650253295898,4.717655658721924,4.431066036224365,10834600.0
SLM,2012-05-17,4.753395080566406,4.631879806518555,4.35050106048584,10657000.0
SLM,2012-05-18,4.6926374435424805,4.592566013336182,4.327003002166748,9627000.0
SLM,2012-05-21,4.756969451904297,4.614009857177734,4.454564571380615,8128100.0
SLM,2012-05-22,4.889206409454346,4.735525608062744,4.488131999969482,11150500.0
SLM,2012-05-23,4.799857139587402,4.67476749420166,4.467991352081299,14404100.0
SLM,2012-05-24,4.849892616271973,4.756969451904297,4.551912784576416,13219900.0
SLM,2012-05-25,4.889206409454346,4.8248748779296875,4.555269241333008,8268600.0
SLM,2012-05-29,4.942816257476807,4.878484725952148,4.632477760314941,9512000.0
SLM,2012-05-30,5.0500359535217285,4.928520202636719,4.756119728088379,18129000.0
SLM,2012-05-31,5.057183742523193,4.939242362976074,4.732405662536621,13385900.0
SLM,2012-06-01,4.9499640464782715,4.882058620452881,4.63755464553833,12176300.0
SLM,2012-06-04,4.9499640464782715,4.882058620452881,4.6714301109313965,10984100.0
SLM,2012-06-05,5.053609848022461,4.896354675292969,4.776444435119629,9277800.0
SLM,2012-06-06,5.20371675491333,5.060757637023926,4.932271480560303,10086200.0
SLM,2012-06-07,5.335954189300537,5.092923641204834,4.8408074378967285,12877700.0
SLM,2012-06-08,5.200142860412598,5.078627586364746,4.9221086502075195,9374100.0
SLM,2012-06-11,5.3073625564575195,5.060757637023926,4.80693244934082,10826800.0
SLM,2012-06-12,5.18584680557251,5.067905426025391,4.915334224700928,9538600.0
SLM,2012-06-13,5.235882759094238,5.089349746704102,4.8374199867248535,8850900.0
SLM,2012-06-14,5.228734970092773,5.107219219207764,4.9221086502075195,11158400.0
SLM,2012-06-15,5.385990142822266,5.1358113288879395,5.084711074829102,24839200.0
SLM,2012-06-18,5.425303936004639,5.32523250579834,5.09148645401001,9924500.0
SLM,2012-06-19,5.503931522369385,5.3931379318237305,5.182950496673584,10195000.0
SLM,2012-06-20,5.446747779846191,5.332380294799805,5.098260879516602,13091500.0
SLM,2012-06-21,5.425303936004639,5.289492607116699,5.016960144042969,9235300.0
SLM,2012-06-22,5.453895568847656,5.318084239959717,5.132136821746826,10127300.0
SLM,2012-06-25,5.400285720825195,5.303788185119629,5.071161270141602,9936500.0
SLM,2012-06-26,5.371694087982178,5.207291126251221,4.983084201812744,19275400.0
SLM,2012-06-27,5.468191623687744,5.2680487632751465,5.149074554443359,13719700.0
SLM,2012-06-28,5.475339412689209,5.364546298980713,5.179562568664551,9181000.0
SLM,2012-06-29,5.646890640258789,5.536097049713135,5.321839332580566,12246800.0
SLM,2012-07-02,5.732666015625,5.629020690917969,5.416690826416016,12222200.0
SLM,2012-07-03,5.746962070465088,5.707648277282715,5.426853179931641,5149400.0
SLM,2012-07-05,5.768405914306641,5.675482273101807,5.426853179931641,7870200.0
SLM,2012-07-06,5.825589656829834,5.6576128005981445,5.51492977142334,11983800.0
SLM,2012-07-09,5.832737445831299,5.729092121124268,5.504767417907715,8522700.0
SLM,2012-07-10,5.872051239013672,5.70050048828125,5.433628082275391,14700600.0
SLM,2012-07-11,5.818441867828369,5.71479606628418,5.487829208374023,15953600.0
SLM,2012-07-12,5.754109859466553,5.68263053894043,5.423466205596924,9232000.0
SLM,2012-07-13,5.847033500671387,5.732666015625,5.528480052947998,8529100.0
SLM,2012-07-16,5.857755661010742,5.786275863647461,5.548806190490723,7174300.0
SLM,2012-07-17,5.8756256103515625,5.704074382781982,5.477666854858398,13481600.0
SLM,2012-07-18,5.807719707489014,5.711222171783447,5.433628082275391,12221600.0
SLM,2012-07-19,5.70050048828125,5.411007881164551,5.149074554443359,58390300.0
SLM,2012-07-20,5.811293601989746,5.385990142822266,5.315064430236816,36609300.0
SLM,2012-07-23,5.578985214233398,5.407433986663818,5.233763694763184,18002300.0
SLM,2012-07-24,5.561115264892578,5.418155670166016,5.182950496673584,14923100.0
SLM,2012-07-25,5.636168479919434,5.428877830505371,5.29473876953125,14253500.0
SLM,2012-07-26,5.71479606628418,5.607576847076416,5.409915447235107,17835500.0
SLM,2012-07-27,5.807719707489014,5.621872901916504,5.45734167098999,15292400.0
SLM,2012-07-30,5.796998023986816,5.71479606628418,5.433628082275391,10543900.0
SLM,2012-07-31,5.757684230804443,5.600429058074951,5.416690826416016,17799400.0
SLM,2012-08-01,5.761258125305176,5.604002952575684,5.328614234924316,11327400.0
SLM,2012-08-02,5.661186695098877,5.503931522369385,5.264250755310059,10696700.0
SLM,2012-08-03,5.796998023986816,5.639742851257324,5.426853179931641,8721900.0
SLM,2012-08-06,5.786275863647461,5.6576128005981445,5.362490177154541,8542200.0
SLM,2012-08-07,5.771979808807373,5.629020690917969,5.426853179931641,5569400.0
SLM,2012-08-08,5.754109859466553,5.68263053894043,5.437016487121582,6700600.0
SLM,2012-08-09,5.746962070465088,5.693352222442627,5.416690826416016,6578000.0
SLM,2012-08-10,5.7827019691467285,5.6576128005981445,5.460729598999023,4188600.0
SLM,2012-08-13,5.764832019805908,5.696926593780518,5.460729598999023,4541400.0
SLM,2012-08-14,5.804145812988281,5.71837043762207,5.440403938293457,3888600.0
SLM,2012-08-15,5.864903450012207,5.732666015625,5.504767417907715,7937000.0
SLM,2012-08-16,5.843459606170654,5.739814281463623,5.447178363800049,8266900.0
SLM,2012-08-17,5.768405914306641,5.70050048828125,5.430241107940674,8151100.0
SLM,2012-08-20,5.729092121124268,5.668334484100342,5.409915447235107,9465300.0
SLM,2012-08-21,5.711222171783447,5.5968546867370605,5.31845235824585,13621500.0
SLM,2012-08-22,5.671908378601074,5.5575408935546875,5.355715274810791,10742900.0
SLM,2012-08-23,5.654038429260254,5.582559108734131,5.321839332580566,4119200.0
SLM,2012-08-24,5.668334484100342,5.571836948394775,5.359102725982666,5007000.0
SLM,2012-08-27,5.6897783279418945,5.607576847076416,5.3252272605896,6131200.0
SLM,2012-08-28,5.6576128005981445,5.578985214233398,5.3252272605896,4185800.0
SLM,2012-08-29,5.646890640258789,5.568263053894043,5.31845235824585,3228800.0
SLM,2012-08-30,5.582559108734131,5.5182271003723145,5.2608642578125,4065400.0
SLM,2012-08-31,5.668334484100342,5.586133003234863,5.335389614105225,7946500.0
SLM,2012-09-04,5.675482273101807,5.561115264892578,5.359102725982666,8003300.0
SLM,2012-09-05,5.600429058074951,5.478913307189941,5.285685062408447,9136500.0
SLM,2012-09-06,5.668334484100342,5.507505416870117,5.388121604919434,7976200.0
SLM,2012-09-07,5.757684230804443,5.636168479919434,5.44275426864624,5265200.0
SLM,2012-09-10,5.757684230804443,5.675482273101807,5.446168899536133,4529400.0
SLM,2012-09-11,5.793423652648926,5.668334484100342,5.517873764038086,5628100.0
SLM,2012-09-12,5.850607395172119,5.779128074645996,5.558847904205322,4879400.0
SLM,2012-09-13,5.972123146057129,5.7827019691467285,5.664698123931885,9594300.0
SLM,2012-09-14,6.054324626922607,5.8684773445129395,5.729573726654053,7365400.0
SLM,2012-09-17,6.018584728240967,5.897069454193115,5.664698123931885,5666500.0
SLM,2012-09-18,5.943531036376953,5.839885711669922,5.6578688621521,5853600.0
SLM,2012-09-19,5.979270935058594,5.889921188354492,5.681770324707031,9118100.0
SLM,2012-09-20,5.929234981536865,5.825589656829834,5.620309352874756,9527700.0
SLM,2012-09-21,5.9220871925354,5.807719707489014,5.562261581420898,14311400.0
SLM,2012-09-24,5.936383247375488,5.779128074645996,5.613480567932129,10714300.0
SLM,2012-09-25,5.911365032196045,5.729092121124268,5.480313777923584,7334100.0
SLM,2012-09-26,5.757684230804443,5.621872901916504,5.374463081359863,6935900.0
SLM,2012-09-27,5.6897783279418945,5.561115264892578,5.40519380569458,9503400.0
SLM,2012-09-28,5.668334484100342,5.586133003234863,5.367634296417236,9025200.0
SLM,2012-10-01,5.739814281463623,5.629020690917969,5.456411838531494,9178800.0
SLM,2012-10-02,5.822015762329102,5.729092121124268,5.528117656707764,7847200.0
SLM,2012-10-03,5.832737445831299,5.7433881759643555,5.562261581420898,7083600.0
SLM,2012-10-04,6.036454677581787,5.850607395172119,5.69542932510376,9665600.0
SLM,2012-10-05,6.029306411743164,5.897069454193115,5.692014217376709,9880800.0
SLM,2012-10-08,6.0007147789001465,5.88634729385376,5.726160049438477,3724600.0
