,,high,low,adjclose,volume
SO,2012-01-03,46.060001373291016,44.810001373291016,31.395484924316406,7006000.0
SO,2012-01-04,45.47999954223633,44.93000030517578,31.37457275390625,3702300.0
SO,2012-01-05,45.099998474121094,44.5,31.332738876342773,4461100.0
SO,2012-01-06,45.0,44.40999984741211,31.01202392578125,4722100.0
SO,2012-01-09,45.0,44.619998931884766,31.339712142944336,3054000.0
SO,2012-01-10,45.09000015258789,44.790000915527344,31.228151321411133,4814300.0
SO,2012-01-11,45.099998474121094,44.779998779296875,31.41640281677246,3108400.0
SO,2012-01-12,45.15999984741211,44.900001525878906,31.451263427734375,3332000.0
SO,2012-01-13,45.310001373291016,44.790000915527344,31.56282615661621,3943000.0
SO,2012-01-17,45.63999938964844,45.029998779296875,31.507034301757812,4214400.0
SO,2012-01-18,45.47999954223633,44.810001373291016,31.688312530517578,3607700.0
SO,2012-01-19,45.45000076293945,44.849998474121094,31.360639572143555,4009400.0
SO,2012-01-20,45.29999923706055,44.970001220703125,31.5837345123291,3378700.0
SO,2012-01-23,45.40999984741211,45.20000076293945,31.632535934448242,4317900.0
SO,2012-01-24,45.16999816894531,44.77000045776367,31.304845809936523,4889700.0
SO,2012-01-25,45.25,44.33000183105469,31.458236694335938,8062200.0
SO,2012-01-26,45.349998474121094,44.810001373291016,31.59768295288086,17165200.0
SO,2012-01-27,45.310001373291016,44.91999816894531,31.388521194458008,16127900.0
SO,2012-01-30,45.119998931884766,44.689998626708984,31.402462005615234,17102000.0
SO,2012-01-31,45.560001373291016,45.04999923706055,31.765018463134766,5049400.0
SO,2012-02-01,45.68000030517578,45.34000015258789,31.639507293701172,4048600.0
SO,2012-02-02,44.93000030517578,44.220001220703125,31.197406768798828,6605200.0
SO,2012-02-03,44.560001373291016,44.040000915527344,31.21149444580078,4643100.0
SO,2012-02-06,44.4900016784668,44.15999984741211,31.14104461669922,4168700.0
SO,2012-02-07,44.66999816894531,44.060001373291016,31.34536361694336,4511000.0
SO,2012-02-08,44.70000076293945,44.45000076293945,31.429903030395508,3767600.0
SO,2012-02-09,44.709999084472656,44.400001525878906,31.479230880737305,3276900.0
SO,2012-02-10,44.77000045776367,44.36000061035156,31.429903030395508,3954900.0
SO,2012-02-13,44.779998779296875,44.38999938964844,31.296045303344727,2404600.0
SO,2012-02-14,44.59000015258789,44.18000030517578,31.380596160888672,2865000.0
SO,2012-02-15,44.529998779296875,44.029998779296875,31.14104461669922,3179400.0
SO,2012-02-16,44.470001220703125,44.13999938964844,31.296045303344727,3413500.0
SO,2012-02-17,44.619998931884766,44.34000015258789,31.267866134643555,4264100.0
SO,2012-02-21,44.400001525878906,43.90999984741211,31.04240608215332,3507400.0
SO,2012-02-22,44.25,43.849998474121094,31.126955032348633,2877600.0
SO,2012-02-23,44.29999923706055,43.880001068115234,31.16922950744629,2978100.0
SO,2012-02-24,44.65999984741211,44.119998931884766,31.380596160888672,3487400.0
SO,2012-02-27,44.65999984741211,44.279998779296875,31.303091049194336,2921800.0
SO,2012-02-28,44.72999954223633,44.279998779296875,31.239683151245117,2810500.0
SO,2012-02-29,44.47999954223633,44.099998474121094,31.133995056152344,4513900.0
SO,2012-03-01,44.529998779296875,44.08000183105469,31.260820388793945,2969900.0
SO,2012-03-02,44.4900016784668,44.119998931884766,31.190370559692383,2294800.0
SO,2012-03-05,44.29999923706055,43.95000076293945,31.14104461669922,4262900.0
SO,2012-03-06,44.7599983215332,44.02000045776367,31.458097457885742,6172300.0
SO,2012-03-07,44.70000076293945,44.380001068115234,31.444005966186523,3253300.0
SO,2012-03-08,44.900001525878906,44.650001525878906,31.542646408081055,3174700.0
SO,2012-03-09,45.15999984741211,44.560001373291016,31.782194137573242,3761600.0
SO,2012-03-12,45.5,45.060001373291016,31.97945785522461,3246800.0
SO,2012-03-13,45.4900016784668,45.130001068115234,31.993558883666992,2688300.0
SO,2012-03-14,45.470001220703125,44.65999984741211,31.598997116088867,3885600.0
SO,2012-03-15,45.029998779296875,44.5,31.61309242248535,3557000.0
SO,2012-03-16,44.86000061035156,44.130001068115234,31.239683151245117,7134800.0
SO,2012-03-19,44.41999816894531,44.0,31.021270751953125,4221100.0
SO,2012-03-20,44.029998779296875,43.709999084472656,31.014225006103516,4518700.0
SO,2012-03-21,44.189998626708984,43.88999938964844,30.971948623657227,2891100.0
