,,high,low,adjclose,volume
SRPT,2012-01-03,4.559999942779541,4.199999809265137,4.440000057220459,110800.0
SRPT,2012-01-04,4.559999942779541,4.380000114440918,4.5,64700.0
SRPT,2012-01-05,4.619999885559082,4.260000228881836,4.559999942779541,72300.0
SRPT,2012-01-06,5.21999979019165,4.5,4.920000076293945,205700.0
SRPT,2012-01-09,5.460000038146973,4.920000076293945,5.21999979019165,158500.0
SRPT,2012-01-10,5.820000171661377,5.21999979019165,5.519999980926514,140500.0
SRPT,2012-01-11,5.579999923706055,5.099999904632568,5.579999923706055,122000.0
SRPT,2012-01-12,5.699999809265137,5.159999847412109,5.460000038146973,67100.0
SRPT,2012-01-13,5.699999809265137,5.099999904632568,5.639999866485596,84200.0
SRPT,2012-01-17,5.940000057220459,5.21999979019165,5.28000020980835,105900.0
SRPT,2012-01-18,5.519999980926514,5.099999904632568,5.340000152587891,71700.0
SRPT,2012-01-19,5.400000095367432,5.099999904632568,5.159999847412109,43800.0
SRPT,2012-01-20,5.21999979019165,4.800000190734863,4.920000076293945,78100.0
SRPT,2012-01-23,5.460000038146973,4.860000133514404,5.159999847412109,72300.0
SRPT,2012-01-24,5.28000020980835,5.099999904632568,5.28000020980835,49500.0
SRPT,2012-01-25,5.519999980926514,5.21999979019165,5.519999980926514,64700.0
SRPT,2012-01-26,5.699999809265137,5.28000020980835,5.460000038146973,79000.0
SRPT,2012-01-27,5.699999809265137,5.28000020980835,5.519999980926514,138800.0
SRPT,2012-01-30,5.940000057220459,5.340000152587891,5.400000095367432,45800.0
SRPT,2012-01-31,5.460000038146973,5.159999847412109,5.400000095367432,47200.0
SRPT,2012-02-01,5.639999866485596,5.099999904632568,5.400000095367432,116800.0
SRPT,2012-02-02,5.699999809265137,5.21999979019165,5.639999866485596,155000.0
SRPT,2012-02-03,6.119999885559082,5.699999809265137,6.0,304900.0
SRPT,2012-02-06,6.659999847412109,6.119999885559082,6.599999904632568,204100.0
SRPT,2012-02-07,7.019999980926514,6.539999961853027,6.659999847412109,242600.0
SRPT,2012-02-08,6.960000038146973,6.360000133514404,6.900000095367432,232900.0
SRPT,2012-02-09,7.380000114440918,6.960000038146973,7.199999809265137,316100.0
SRPT,2012-02-10,7.139999866485596,6.0,6.659999847412109,197100.0
SRPT,2012-02-13,6.840000152587891,6.659999847412109,6.840000152587891,75900.0
SRPT,2012-02-14,6.900000095367432,6.0,6.360000133514404,149100.0
SRPT,2012-02-15,6.78000020980835,6.179999828338623,6.239999771118164,78800.0
SRPT,2012-02-16,6.539999961853027,6.239999771118164,6.539999961853027,87700.0
SRPT,2012-02-17,6.659999847412109,6.300000190734863,6.360000133514404,64900.0
SRPT,2012-02-21,6.360000133514404,6.0,6.0,97600.0
SRPT,2012-02-22,6.420000076293945,5.880000114440918,5.940000057220459,114700.0
SRPT,2012-02-23,6.239999771118164,5.940000057220459,6.239999771118164,73500.0
SRPT,2012-02-24,6.300000190734863,6.0,6.059999942779541,65500.0
SRPT,2012-02-27,6.480000019073486,6.059999942779541,6.480000019073486,78700.0
SRPT,2012-02-28,7.199999809265137,6.539999961853027,6.539999961853027,320900.0
SRPT,2012-02-29,6.78000020980835,6.119999885559082,6.239999771118164,208400.0
SRPT,2012-03-01,6.420000076293945,6.179999828338623,6.179999828338623,78000.0
SRPT,2012-03-02,6.659999847412109,6.119999885559082,6.119999885559082,114200.0
SRPT,2012-03-05,6.360000133514404,6.119999885559082,6.300000190734863,74600.0
SRPT,2012-03-06,6.239999771118164,6.0,6.179999828338623,168800.0
SRPT,2012-03-07,6.239999771118164,6.0,6.119999885559082,133900.0
SRPT,2012-03-08,6.239999771118164,6.0,6.239999771118164,99600.0
SRPT,2012-03-09,6.480000019073486,6.179999828338623,6.420000076293945,113100.0
SRPT,2012-03-12,6.840000152587891,6.480000019073486,6.599999904632568,290600.0
SRPT,2012-03-13,7.079999923706055,6.659999847412109,6.960000038146973,273100.0
SRPT,2012-03-14,8.100000381469727,6.900000095367432,7.920000076293945,720600.0
SRPT,2012-03-15,8.220000267028809,7.800000190734863,8.15999984741211,265400.0
SRPT,2012-03-16,8.640000343322754,8.100000381469727,8.279999732971191,276500.0
SRPT,2012-03-19,9.0,8.34000015258789,8.9399995803833,308500.0
SRPT,2012-03-20,9.239999771118164,8.880000114440918,9.239999771118164,378900.0
SRPT,2012-03-21,9.359999656677246,8.15999984741211,8.640000343322754,427700.0
SRPT,2012-03-22,8.819999694824219,8.15999984741211,8.579999923706055,224100.0
SRPT,2012-03-23,9.359999656677246,8.460000038146973,9.239999771118164,242300.0
