,,high,low,adjclose,volume
STOR,2014-11-18,19.799999237060547,19.25,15.769533157348633,10252800.0
STOR,2014-11-19,19.899999618530273,19.5,15.995966911315918,1367100.0
STOR,2014-11-20,19.950000762939453,19.639999389648438,16.0606632232666,577400.0
STOR,2014-11-21,19.950000762939453,19.75,16.052574157714844,283600.0
STOR,2014-11-24,19.989999771118164,19.700000762939453,16.157703399658203,712200.0
STOR,2014-11-25,20.18000030517578,19.770000457763672,16.17388153076172,481100.0
STOR,2014-11-26,20.690000534057617,20.020000457763672,16.651010513305664,486400.0
STOR,2014-11-28,21.069000244140625,20.469999313354492,16.869356155395508,339100.0
STOR,2014-12-01,21.1299991607666,20.06999969482422,16.456924438476562,376200.0
STOR,2014-12-02,20.8799991607666,20.420000076293945,16.578227996826172,519400.0
STOR,2014-12-03,20.600000381469727,20.030000686645508,16.279010772705078,654800.0
STOR,2014-12-04,20.40999984741211,19.75,16.392227172851562,569300.0
STOR,2014-12-05,20.489999771118164,20.010000228881836,16.416484832763672,306500.0
STOR,2014-12-08,20.341999053955078,19.850000381469727,16.270925521850586,736400.0
STOR,2014-12-09,20.530000686645508,19.979999542236328,16.58631706237793,292600.0
STOR,2014-12-10,21.014999389648438,20.030000686645508,16.36796760559082,297000.0
STOR,2014-12-11,20.530000686645508,20.100000381469727,16.513530731201172,306500.0
STOR,2014-12-12,20.979999542236328,20.229999542236328,16.497350692749023,431500.0
STOR,2014-12-15,20.780000686645508,20.34000015258789,16.63483428955078,535500.0
STOR,2014-12-16,20.860000610351562,20.389999389648438,16.63483428955078,794700.0
STOR,2014-12-17,21.440000534057617,20.31999969482422,17.13622283935547,615000.0
STOR,2014-12-18,22.46299934387207,20.450000762939453,17.297964096069336,646400.0
STOR,2014-12-19,21.5,20.795000076293945,17.031091690063477,3087500.0
STOR,2014-12-22,21.579999923706055,20.829999923706055,17.370742797851562,842500.0
STOR,2014-12-23,21.6299991607666,21.19499969482422,17.40309715270996,179400.0
STOR,2014-12-24,21.875,21.3700008392334,17.451618194580078,54000.0
STOR,2014-12-26,22.170000076293945,21.239999771118164,17.62952995300293,189100.0
STOR,2014-12-29,21.90999984741211,21.1200008392334,17.705944061279297,220000.0
STOR,2014-12-30,22.242000579833984,21.6299991607666,17.917312622070312,186500.0
STOR,2014-12-31,22.290000915527344,21.600000381469727,17.567737579345703,194700.0
STOR,2015-01-02,21.65999984741211,21.18000030517578,17.421411514282227,271300.0
STOR,2015-01-05,21.75,21.229999542236328,17.46205711364746,435200.0
STOR,2015-01-06,21.742000579833984,20.799999237060547,17.23443603515625,1020700.0
STOR,2015-01-07,22.0,21.139999389648438,17.836017608642578,375300.0
STOR,2015-01-08,22.09000015258789,21.760000228881836,17.84414291381836,188600.0
STOR,2015-01-09,22.040000915527344,21.799999237060547,17.77911376953125,290700.0
STOR,2015-01-12,22.93000030517578,21.799999237060547,17.925437927246094,253100.0
STOR,2015-01-13,22.420000076293945,21.549999237060547,17.957958221435547,333600.0
STOR,2015-01-14,22.8700008392334,21.81999969482422,18.50263023376465,231500.0
STOR,2015-01-15,22.889999389648438,22.450000762939453,18.535146713256836,407200.0
STOR,2015-01-16,23.229999542236328,22.399999618530273,18.803421020507812,251200.0
STOR,2015-01-20,23.149999618530273,22.420000076293945,18.445720672607422,204300.0
STOR,2015-01-21,22.90999984741211,22.290000915527344,18.242490768432617,499400.0
STOR,2015-01-22,22.915000915527344,22.448999404907227,18.624570846557617,676600.0
STOR,2015-01-23,23.31399917602539,22.90999984741211,18.67334747314453,198700.0
STOR,2015-01-26,23.329999923706055,22.93000030517578,18.860326766967773,193000.0
STOR,2015-01-27,23.3799991607666,23.049999237060547,18.917236328125,221100.0
STOR,2015-01-28,23.3700008392334,22.920000076293945,18.86845588684082,323100.0
STOR,2015-01-29,23.594999313354492,23.010000228881836,19.1367244720459,372800.0
STOR,2015-01-30,23.670000076293945,22.709999084472656,18.665218353271484,455200.0
STOR,2015-02-02,22.959999084472656,21.97100067138672,18.275007247924805,602400.0
STOR,2015-02-03,23.360000610351562,22.56999969482422,18.982271194458008,809100.0
STOR,2015-02-04,23.229999542236328,22.84000015258789,18.640832901000977,231300.0
STOR,2015-02-05,23.290000915527344,22.79400062561035,18.754638671875,255500.0
STOR,2015-02-06,23.167999267578125,22.15999984741211,18.047382354736328,264600.0
STOR,2015-02-09,22.479999542236328,22.042999267578125,18.006736755371094,268900.0
STOR,2015-02-10,22.34000015258789,21.809999465942383,18.014862060546875,402900.0
STOR,2015-02-11,22.43000030517578,21.8799991607666,18.128677368164062,464300.0
STOR,2015-02-12,22.93000030517578,22.219999313354492,18.429468154907227,548200.0
STOR,2015-02-13,22.81999969482422,22.209999084472656,18.209970474243164,308100.0
STOR,2015-02-17,22.780000686645508,22.290000915527344,18.429468154907227,305800.0
STOR,2015-02-18,22.940000534057617,22.469999313354492,18.56766700744629,482400.0
STOR,2015-02-19,22.940000534057617,22.260000228881836,18.16119384765625,245600.0
STOR,2015-02-20,22.8700008392334,22.16200065612793,18.128677368164062,430600.0
STOR,2015-02-23,22.760000228881836,22.239999771118164,18.380691528320312,430300.0
STOR,2015-02-24,22.68000030517578,21.989999771118164,17.933570861816406,407700.0
STOR,2015-02-25,22.709999084472656,22.04800033569336,18.055509567260742,388500.0
STOR,2015-02-26,23.020000457763672,22.18000030517578,18.088029861450195,706800.0
STOR,2015-02-27,22.760000228881836,22.229999542236328,18.405078887939453,544300.0
STOR,2015-03-02,23.030000686645508,22.520000457763672,18.37255859375,463200.0
STOR,2015-03-03,22.5,21.979999542236328,17.949827194213867,549600.0
STOR,2015-03-04,22.31999969482422,21.829999923706055,17.762853622436523,268000.0
STOR,2015-03-05,22.1200008392334,21.68000030517578,17.917312622070312,182200.0
STOR,2015-03-06,21.850000381469727,21.09000015258789,17.307605743408203,397300.0
STOR,2015-03-09,21.645000457763672,21.25,17.42953872680664,640600.0
STOR,2015-03-10,21.579999923706055,21.260000228881836,17.29947280883789,415100.0
STOR,2015-03-11,21.780000686645508,21.290000915527344,17.47018814086914,337100.0
STOR,2015-03-12,22.06999969482422,21.450000762939453,17.689687728881836,270300.0
STOR,2015-03-13,21.90999984741211,21.5,17.543359756469727,254400.0
STOR,2015-03-16,22.020000457763672,21.459999084472656,17.89292335510254,548900.0
STOR,2015-03-17,22.200000762939453,21.610000610351562,17.746597290039062,346400.0
STOR,2015-03-18,22.510000228881836,21.700000762939453,18.18558120727539,396400.0
STOR,2015-03-19,22.770000457763672,22.149999618530273,18.429468154907227,330400.0
STOR,2015-03-20,23.829999923706055,22.600000381469727,19.144853591918945,2726600.0
STOR,2015-03-23,24.059999465942383,23.239999771118164,19.1367244720459,601800.0
STOR,2015-03-24,23.8799991607666,23.059999465942383,18.82780647277832,517700.0
STOR,2015-03-25,23.469999313354492,22.68000030517578,18.535146713256836,335200.0
STOR,2015-03-26,23.059999465942383,22.57200050354004,18.632701873779297,846200.0
STOR,2015-03-27,23.350000381469727,22.6560001373291,19.051877975463867,727800.0
STOR,2015-03-30,23.520000457763672,23.110000610351562,19.249135971069336,539100.0
STOR,2015-03-31,23.700000762939453,23.239999771118164,19.19160270690918,611500.0
STOR,2015-04-01,23.440000534057617,23.110000610351562,19.183382034301758,278700.0
STOR,2015-04-02,23.559999465942383,23.200000762939453,19.31488800048828,254900.0
STOR,2015-04-06,23.895000457763672,23.34000015258789,19.536806106567383,541900.0
STOR,2015-04-07,23.81999969482422,23.469999313354492,19.35598373413086,337800.0
STOR,2015-04-08,23.780000686645508,23.459999084472656,19.454612731933594,341100.0
STOR,2015-04-09,23.68000030517578,23.139999389648438,19.092971801757812,439600.0
STOR,2015-04-10,23.760000228881836,23.219999313354492,19.1998233795166,671000.0
STOR,2015-04-13,23.690000534057617,23.290000915527344,19.21626091003418,195800.0
STOR,2015-04-14,23.969999313354492,23.299999237060547,19.257356643676758,456000.0
STOR,2015-04-15,23.59000015258789,23.31999969482422,19.1998233795166,516200.0
STOR,2015-04-16,23.489999771118164,23.049999237060547,19.14228630065918,541700.0
STOR,2015-04-17,23.309999465942383,22.75,18.731332778930664,548600.0
STOR,2015-04-20,22.989999771118164,22.700000762939453,18.665578842163086,288600.0
STOR,2015-04-21,22.969999313354492,22.709999084472656,18.731332778930664,379800.0
STOR,2015-04-22,22.874000549316406,22.389999389648438,18.410785675048828,403700.0
STOR,2015-04-23,22.5,21.790000915527344,17.9833927154541,708800.0
STOR,2015-04-24,22.124000549316406,21.649999618530273,18.049144744873047,862500.0
STOR,2015-04-27,22.094999313354492,21.639999389648438,17.909423828125,386000.0
STOR,2015-04-28,21.850000381469727,21.600000381469727,17.827232360839844,507700.0
STOR,2015-04-29,21.56999969482422,21.214000701904297,17.531341552734375,464600.0
STOR,2015-04-30,21.350000381469727,20.84000015258789,17.260114669799805,392500.0
STOR,2015-05-01,21.200000762939453,20.790000915527344,17.260114669799805,587700.0
STOR,2015-05-04,21.3700008392334,20.969999313354492,17.342304229736328,1028700.0
STOR,2015-05-05,21.100000381469727,20.760000228881836,17.087512969970703,469100.0
STOR,2015-05-06,20.90399932861328,20.479999542236328,17.029979705810547,202300.0
STOR,2015-05-07,21.079999923706055,20.56999969482422,17.276552200317383,211300.0
STOR,2015-05-08,21.639999389648438,21.209999084472656,17.728599548339844,469800.0
STOR,2015-05-11,21.739999771118164,21.299999237060547,17.646408081054688,827100.0
STOR,2015-05-12,21.579999923706055,20.8799991607666,17.662845611572266,454700.0
STOR,2015-05-13,21.959999084472656,21.329999923706055,17.61353302001953,708000.0
STOR,2015-05-14,21.940000534057617,21.229999542236328,17.87654685974121,791500.0
STOR,2015-05-15,22.049999237060547,21.690000534057617,18.098464965820312,1077500.0
STOR,2015-05-18,22.170000076293945,21.829999923706055,18.20530891418457,485600.0
STOR,2015-05-19,21.969999313354492,21.670000076293945,17.942298889160156,363800.0
STOR,2015-05-20,21.899999618530273,21.579999923706055,17.769699096679688,263000.0
STOR,2015-05-21,21.719999313354492,21.3700008392334,17.662845611572266,229200.0
STOR,2015-05-22,21.68000030517578,21.325000762939453,17.761476516723633,242400.0
