,,high,low,adjclose,volume
SWI,2018-10-19,15.5,14.649999618530273,15.029999732971191,10790800.0
SWI,2018-10-22,15.449999809265137,15.050000190734863,15.4399995803833,1275100.0
SWI,2018-10-23,15.229999542236328,14.899999618530273,15.0,1319000.0
SWI,2018-10-24,14.989999771118164,14.369999885559082,14.5,1370900.0
SWI,2018-10-25,14.829999923706055,14.449999809265137,14.539999961853027,687000.0
SWI,2018-10-26,14.510000228881836,13.899999618530273,14.210000038146973,1066700.0
SWI,2018-10-29,15.050000190734863,14.199999809265137,14.25,503800.0
SWI,2018-10-30,14.770000457763672,14.199999809265137,14.449999809265137,558200.0
SWI,2018-10-31,14.859999656677246,14.399999618530273,14.59000015258789,757900.0
SWI,2018-11-01,14.75,14.5,14.720000267028809,329700.0
SWI,2018-11-02,14.949999809265137,14.699999809265137,14.949999809265137,357100.0
SWI,2018-11-05,14.90999984741211,14.75,14.800000190734863,295900.0
SWI,2018-11-06,15.050000190734863,14.75,14.970000267028809,218000.0
SWI,2018-11-07,15.210000038146973,14.9399995803833,15.09000015258789,400000.0
SWI,2018-11-08,15.140000343322754,14.949999809265137,14.960000038146973,203600.0
SWI,2018-11-09,15.100000381469727,14.949999809265137,15.069999694824219,403500.0
SWI,2018-11-12,15.09000015258789,14.699999809265137,14.699999809265137,753400.0
SWI,2018-11-13,15.199999809265137,14.779999732971191,15.0600004196167,1304400.0
SWI,2018-11-14,15.25,14.850000381469727,14.949999809265137,939500.0
SWI,2018-11-15,15.100000381469727,14.770000457763672,15.0,872700.0
SWI,2018-11-16,15.199999809265137,14.850000381469727,15.109999656677246,483500.0
SWI,2018-11-19,15.069999694824219,14.75,14.75,395100.0
SWI,2018-11-20,14.609999656677246,13.850000381469727,13.899999618530273,786300.0
SWI,2018-11-21,14.760000228881836,14.0,14.0600004196167,383900.0
SWI,2018-11-23,14.100000381469727,13.770000457763672,13.979999542236328,128100.0
SWI,2018-11-26,14.670000076293945,14.09000015258789,14.449999809265137,339900.0
SWI,2018-11-27,14.800000190734863,14.350000381469727,14.460000038146973,253900.0
SWI,2018-11-28,15.300000190734863,14.569999694824219,15.229999542236328,408500.0
SWI,2018-11-29,15.460000038146973,14.930000305175781,15.289999961853027,784600.0
SWI,2018-11-30,16.15999984741211,14.899999618530273,15.90999984741211,757700.0
SWI,2018-12-03,16.280000686645508,15.279999732971191,16.239999771118164,870900.0
SWI,2018-12-04,16.450000762939453,15.5,15.920000076293945,791100.0
SWI,2018-12-06,16.40999984741211,15.529999732971191,16.100000381469727,1165900.0
SWI,2018-12-07,16.56999969482422,15.90999984741211,16.15999984741211,630300.0
SWI,2018-12-10,17.899999618530273,16.15999984741211,17.0,2095900.0
SWI,2018-12-11,18.510000228881836,17.270000457763672,17.729999542236328,1850000.0
SWI,2018-12-12,19.0,17.829999923706055,18.65999984741211,1512700.0
SWI,2018-12-13,19.040000915527344,16.010000228881836,16.260000228881836,1194500.0
SWI,2018-12-14,16.600000381469727,15.609999656677246,15.739999771118164,860900.0
SWI,2018-12-17,15.680000305175781,14.260000228881836,14.329999923706055,1517000.0
SWI,2018-12-18,14.970000267028809,13.9399995803833,14.050000190734863,1468600.0
SWI,2018-12-19,14.699999809265137,13.899999618530273,14.0,1009700.0
SWI,2018-12-20,14.119999885559082,13.029999732971191,13.399999618530273,519400.0
SWI,2018-12-21,13.479999542236328,13.079999923706055,13.130000114440918,2522300.0
SWI,2018-12-24,13.100000381469727,12.350000381469727,12.350000381469727,262000.0
SWI,2018-12-26,13.050000190734863,12.25,13.020000457763672,634100.0
SWI,2018-12-27,13.5,12.779999732971191,13.5,351200.0
SWI,2018-12-28,13.850000381469727,13.359999656677246,13.470000267028809,533100.0
SWI,2018-12-31,14.0,13.460000038146973,13.829999923706055,580800.0
SWI,2019-01-02,14.050000190734863,13.300000190734863,13.710000038146973,457900.0
SWI,2019-01-03,13.640000343322754,12.65999984741211,13.079999923706055,870800.0
