,,high,low,adjclose,volume
THO,2012-01-03,28.639999389648438,27.56999969482422,22.850147247314453,660900.0
THO,2012-01-04,28.100000381469727,27.559999465942383,22.74317741394043,471500.0
THO,2012-01-05,28.0,27.309999465942383,22.93242835998535,442700.0
THO,2012-01-06,28.450000762939453,27.639999389648438,23.21218490600586,308600.0
THO,2012-01-09,28.290000915527344,27.729999542236328,22.915969848632812,392600.0
THO,2012-01-10,28.610000610351562,28.110000610351562,23.2862491607666,272500.0
THO,2012-01-11,28.639999389648438,28.18000030517578,23.2286434173584,402600.0
THO,2012-01-12,28.510000228881836,27.829999923706055,23.343847274780273,290500.0
THO,2012-01-13,28.350000381469727,27.760000228881836,23.096994400024414,267900.0
THO,2012-01-17,28.68000030517578,28.25,23.352075576782227,430500.0
THO,2012-01-18,29.579999923706055,28.15999984741211,24.141996383666992,356300.0
THO,2012-01-19,30.100000381469727,29.139999389648438,24.388851165771484,748000.0
THO,2012-01-20,29.84000015258789,29.270000457763672,24.39707374572754,473700.0
THO,2012-01-23,30.049999237060547,29.530000686645508,24.57809829711914,714400.0
THO,2012-01-24,30.6299991607666,29.68000030517578,25.022430419921875,571700.0
THO,2012-01-25,31.139999389648438,30.200000762939453,25.516136169433594,314000.0
THO,2012-01-26,31.81999969482422,30.360000610351562,25.219907760620117,325800.0
THO,2012-01-27,31.059999465942383,30.329999923706055,25.170543670654297,183100.0
THO,2012-01-30,31.040000915527344,30.0,25.26105308532715,262500.0
THO,2012-01-31,31.0,30.260000228881836,25.2281436920166,221600.0
THO,2012-02-01,31.110000610351562,30.739999771118164,25.507909774780273,415600.0
THO,2012-02-02,31.100000381469727,30.700000762939453,25.491443634033203,259900.0
THO,2012-02-03,32.88999938964844,31.65999984741211,26.50353240966797,1362900.0
THO,2012-02-06,33.400001525878906,32.09000015258789,27.3346004486084,667800.0
THO,2012-02-07,33.81999969482422,33.20000076293945,27.41688346862793,546200.0
THO,2012-02-08,33.470001220703125,32.869998931884766,27.202943801879883,435900.0
THO,2012-02-09,33.75,32.86000061035156,27.26054573059082,500900.0
THO,2012-02-10,32.90999984741211,32.189998626708984,26.923181533813477,287800.0
THO,2012-02-13,33.22999954223633,32.52000045776367,26.98077392578125,467000.0
THO,2012-02-14,32.7400016784668,32.31999969482422,26.775070190429688,284800.0
THO,2012-02-15,32.93000030517578,32.08000183105469,26.421253204345703,339200.0
THO,2012-02-16,33.72999954223633,32.20000076293945,27.696640014648438,509900.0
THO,2012-02-17,34.06999969482422,33.560001373291016,27.737791061401367,372100.0
