,,high,low,adjclose,volume
TKR,2012-01-03,29.07659339904785,28.48246192932129,23.960464477539062,1183500.0
TKR,2012-01-04,28.94058609008789,28.34645652770996,24.05047607421875,986900.0
TKR,2012-01-05,29.026485443115234,27.859699249267578,24.32050323486328,1075600.0
TKR,2012-01-06,29.248390197753906,28.4681453704834,24.35050392150879,913400.0
TKR,2012-01-09,30.1002140045166,29.29849624633789,25.058578491210938,1622100.0
TKR,2012-01-10,31.467430114746094,30.35791015625,26.330705642700195,1987200.0
TKR,2012-01-11,32.211883544921875,31.360057830810547,26.660741806030273,1933400.0
TKR,2012-01-12,32.45526123046875,31.345741271972656,27.164793014526367,1216700.0
TKR,2012-01-13,32.211883544921875,31.381532669067383,26.91876983642578,883100.0
TKR,2012-01-17,32.97780990600586,32.25483322143555,27.068784713745117,1262800.0
TKR,2012-01-18,32.95633316040039,32.24767303466797,27.554832458496094,717700.0
TKR,2012-01-19,33.86542510986328,32.94917678833008,27.986881256103516,1190500.0
TKR,2012-01-20,33.32140350341797,32.7415885925293,27.85486602783203,1190800.0
TKR,2012-01-23,34.07301330566406,33.28561019897461,28.520931243896484,1601500.0
TKR,2012-01-24,34.20901870727539,33.40730285644531,28.634944915771484,1111000.0
TKR,2012-01-25,34.652828216552734,33.90837478637695,29.01898193359375,1814500.0
TKR,2012-01-26,35.11811065673828,33.8153190612793,28.604942321777344,1973600.0
TKR,2012-01-27,36.09162521362305,33.50751495361328,29.427024841308594,3097900.0
TKR,2012-01-30,34.96778869628906,33.95848083496094,29.217002868652344,1815500.0
TKR,2012-01-31,35.37580490112305,34.41660690307617,29.3010196685791,1232400.0
TKR,2012-02-01,35.96277618408203,35.14674377441406,29.93108367919922,1222200.0
TKR,2012-02-02,36.256263732910156,35.6478157043457,29.92508316040039,1010400.0
TKR,2012-02-03,37.53758239746094,36.27058029174805,31.22120475769043,1458700.0
TKR,2012-02-06,37.21546173095703,36.764495849609375,31.125200271606445,1015700.0
TKR,2012-02-07,37.16535568237305,36.48532485961914,30.693157196044922,1373600.0
TKR,2012-02-08,37.1152458190918,36.3994255065918,30.903175354003906,1001900.0
TKR,2012-02-09,37.100929260253906,36.04151916503906,30.87317657470703,1005400.0
TKR,2012-02-10,37.279884338378906,35.86256408691406,31.137210845947266,1784600.0
TKR,2012-02-13,38.26055908203125,37.19398880004883,32.001285552978516,1467400.0
TKR,2012-02-14,38.296348571777344,37.30851745605469,32.001285552978516,1319800.0
TKR,2012-02-15,38.5468864440918,37.108089447021484,31.20921516418457,1820700.0
TKR,2012-02-16,38.02433776855469,36.929134368896484,31.932477951049805,1364800.0
TKR,2012-02-17,38.41803741455078,37.988548278808594,32.18562698364258,1032800.0
TKR,2012-02-21,38.79026412963867,37.6163215637207,32.43274688720703,1172200.0
TKR,2012-02-22,38.63994216918945,37.773799896240234,32.059051513671875,874600.0
TKR,2012-02-23,38.296348571777344,37.50178909301758,32.01686096191406,754700.0
TKR,2012-02-24,38.22476577758789,37.73801040649414,31.962623596191406,863700.0
TKR,2012-02-27,37.938438415527344,36.88618469238281,31.763717651367188,1161300.0
TKR,2012-02-28,37.87401580810547,37.4373664855957,31.84206771850586,990400.0
TKR,2012-02-29,38.21044921875,37.36578369140625,31.582904815673828,1099900.0
TKR,2012-03-01,38.99785232543945,37.6521110534668,32.318233489990234,1613200.0
TKR,2012-03-02,38.3321418762207,37.222618103027344,31.643178939819336,889000.0
TKR,2012-03-05,37.76664352416992,36.99355697631836,31.3237247467041,997500.0
TKR,2012-03-06,36.51395797729492,35.29706573486328,30.19662857055664,1818300.0
TKR,2012-03-07,36.54975128173828,35.79813766479492,30.425661087036133,904600.0
TKR,2012-03-08,37.02219009399414,36.227630615234375,30.944007873535156,1377100.0
TKR,2012-03-09,37.838226318359375,36.66427993774414,31.522645950317383,887200.0
TKR,2012-03-12,37.637794494628906,36.7215461730957,31.08867073059082,1005400.0
TKR,2012-03-13,37.90980529785156,36.95060729980469,31.920425415039062,1302100.0
TKR,2012-03-14,38.296348571777344,37.480316162109375,32.04097366333008,1144900.0
TKR,2012-03-15,39.09806823730469,37.823909759521484,32.89081573486328,1231800.0
TKR,2012-03-16,39.27702331542969,38.296348571777344,32.62561798095703,1474500.0
TKR,2012-03-19,38.99069595336914,38.40372085571289,32.64973449707031,676100.0
TKR,2012-03-20,38.44667053222656,37.594844818115234,32.01686096191406,1032300.0
TKR,2012-03-21,38.26771545410156,37.4731559753418,31.61304473876953,1390900.0
TKR,2012-03-22,37.02219009399414,36.0057258605957,30.690868377685547,1357800.0
TKR,2012-03-23,36.914817810058594,35.93414306640625,30.853599548339844,1201800.0
TKR,2012-03-26,37.981388092041016,37.19398880004883,31.90234375,1489000.0
TKR,2012-03-27,38.05297088623047,37.2942008972168,31.510576248168945,1006600.0
TKR,2012-03-28,37.51610565185547,35.99856948852539,30.913877487182617,964600.0
TKR,2012-03-29,36.63564682006836,35.93414306640625,30.79935646057129,989000.0
TKR,2012-03-30,37.02219009399414,36.27773666381836,30.582372665405273,682200.0
TKR,2012-04-02,37.1152458190918,35.94130325317383,30.96209144592285,1496600.0
TKR,2012-04-03,37.287044525146484,36.420902252197266,31.269485473632812,1854300.0
TKR,2012-04-04,36.69291305541992,36.04151916503906,30.86565399169922,944600.0
TKR,2012-04-05,37.20830535888672,36.30636978149414,30.636625289916992,1212500.0
TKR,2012-04-09,35.95561981201172,35.218326568603516,29.84101676940918,1483100.0
TKR,2012-04-10,35.46170425415039,34.101646423339844,28.92487335205078,1660600.0
TKR,2012-04-11,35.16106033325195,34.5311393737793,29.322673797607422,1154400.0
TKR,2012-04-12,36.37079620361328,34.9319953918457,30.256900787353516,1236200.0
TKR,2012-04-13,35.95561981201172,35.361488342285156,29.895267486572266,881500.0
TKR,2012-04-16,36.213314056396484,35.547603607177734,30.045942306518555,891700.0
TKR,2012-04-17,36.80028533935547,35.95561981201172,30.528135299682617,765200.0
TKR,2012-04-18,36.47100830078125,35.79813766479492,30.299095153808594,726700.0
TKR,2012-04-19,36.793128967285156,35.68360900878906,30.232784271240234,1549100.0
TKR,2012-04-20,36.59269714355469,36.048675537109375,30.44375228881836,707000.0
TKR,2012-04-23,35.511810302734375,34.80315017700195,29.87718963623047,2307100.0
TKR,2012-04-24,36.67859649658203,35.44022750854492,30.811412811279297,2020300.0
TKR,2012-04-25,40.243377685546875,38.59699249267578,33.065608978271484,4656600.0
TKR,2012-04-26,40.17179489135742,39.055118560791016,33.71052932739258,3003500.0
TKR,2012-04-27,41.47459030151367,40.10737228393555,34.78940963745117,2773300.0
TKR,2012-04-30,41.23120880126953,39.549034118652344,34.06010437011719,2306100.0
TKR,2012-05-01,40.987831115722656,39.92841720581055,33.849151611328125,1291100.0
TKR,2012-05-02,40.765926361083984,39.513240814208984,34.24092483520508,1172000.0
TKR,2012-05-03,41.01646423339844,39.9785270690918,33.788883209228516,2089400.0
TKR,2012-05-04,39.87831115722656,37.19398880004883,32.215763092041016,3734700.0
TKR,2012-05-07,38.654258728027344,37.89548873901367,32.420692443847656,1583000.0
TKR,2012-05-08,38.03865432739258,36.49964141845703,31.739608764648438,2243000.0
TKR,2012-05-09,38.489620208740234,36.728702545166016,31.920425415039062,1978200.0
TKR,2012-05-10,38.97637939453125,38.07444381713867,32.3845329284668,1897800.0
TKR,2012-05-11,39.07659149169922,37.90980529785156,32.48699188232422,1308800.0
TKR,2012-05-14,38.69004821777344,37.594844818115234,32.257965087890625,1775000.0
TKR,2012-05-15,38.42519760131836,37.630638122558594,31.84810447692871,1284800.0
TKR,2012-05-16,38.30350875854492,37.122406005859375,31.448566436767578,1053600.0
TKR,2012-05-17,37.22977828979492,34.49534606933594,29.275314331054688,3605000.0
TKR,2012-05-18,35.42591094970703,34.294918060302734,29.269268035888672,2108400.0
TKR,2012-05-21,36.82891845703125,34.60987854003906,31.08533477783203,2409400.0
TKR,2012-05-22,37.35862731933594,36.420902252197266,31.030864715576172,1258800.0
TKR,2012-05-23,37.15819549560547,35.705081939697266,31.327495574951172,861900.0
TKR,2012-05-24,37.580528259277344,36.213314056396484,31.1761474609375,1111000.0
TKR,2012-05-25,36.85755157470703,35.0680046081543,29.753549575805664,2760000.0
TKR,2012-05-29,36.84323501586914,35.47602081298828,31.073240280151367,1721200.0
TKR,2012-05-30,36.14889144897461,35.2899055480957,30.328638076782227,1850800.0
TKR,2012-05-31,35.83393096923828,33.88690185546875,28.875783920288086,2588900.0
TKR,2012-06-01,33.32855987548828,32.698638916015625,27.816390991210938,1824300.0
TKR,2012-06-04,33.13528823852539,31.603435516357422,27.307886123657227,1803600.0
TKR,2012-06-05,33.042232513427734,32.05440139770508,27.83455467224121,1150800.0
TKR,2012-06-06,34.03722381591797,33.37150955200195,28.676008224487305,1558400.0
TKR,2012-06-07,35.69792556762695,34.23765182495117,28.984739303588867,2209900.0
TKR,2012-06-08,34.25912857055664,33.443092346191406,28.924213409423828,1187800.0
TKR,2012-06-11,34.824623107910156,32.9205436706543,27.895092010498047,1467200.0
TKR,2012-06-12,33.95848083496094,32.913387298583984,28.61546516418457,1295200.0
TKR,2012-06-13,33.235504150390625,31.87544822692871,27.096010208129883,3548900.0
TKR,2012-06-14,32.78453826904297,31.610593795776367,27.017311096191406,1653900.0
TKR,2012-06-15,32.80601119995117,32.06871795654297,27.69532012939453,1387300.0
TKR,2012-06-18,33.1209716796875,32.376522064208984,27.816390991210938,1337600.0
TKR,2012-06-19,33.249820709228516,32.45526123046875,27.677146911621094,2331000.0
