,,high,low,adjclose,volume
TPR,2012-01-03,61.91999816894531,59.95000076293945,46.97356033325195,2666000.0
TPR,2012-01-04,61.97999954223633,59.79999923706055,48.18623352050781,2773100.0
TPR,2012-01-05,62.0099983215332,60.459999084472656,48.39746856689453,2593700.0
TPR,2012-01-06,62.939998626708984,61.220001220703125,49.0077018737793,2667200.0
TPR,2012-01-09,63.63999938964844,62.09000015258789,49.17982482910156,2879100.0
TPR,2012-01-10,62.75,61.56999969482422,48.757362365722656,4042000.0
TPR,2012-01-11,62.0099983215332,60.689998626708984,47.7246208190918,4301400.0
TPR,2012-01-12,61.38999938964844,59.7400016784668,47.99845504760742,4650600.0
TPR,2012-01-13,62.099998474121094,60.959999084472656,48.522647857666016,3577000.0
TPR,2012-01-17,62.91999816894531,61.959999084472656,49.03118896484375,3072800.0
TPR,2012-01-18,64.5999984741211,62.4900016784668,50.50204086303711,2931200.0
TPR,2012-01-19,65.48999786376953,64.58999633789062,50.85410690307617,3301700.0
TPR,2012-01-20,65.44999694824219,64.36000061035156,50.72892761230469,2816500.0
TPR,2012-01-23,64.91999816894531,63.59000015258789,50.25950241088867,3753600.0
TPR,2012-01-24,69.2300033569336,65.80000305175781,53.17774963378906,7441400.0
TPR,2012-01-25,69.47000122070312,67.12999725341797,54.218299865722656,4322900.0
TPR,2012-01-26,70.0,68.41999816894531,53.89754104614258,3303500.0
TPR,2012-01-27,69.22000122070312,68.25,53.56893539428711,1968800.0
TPR,2012-01-30,68.8499984741211,67.3499984741211,53.6002311706543,2349100.0
TPR,2012-01-31,70.16000366210938,68.69000244140625,54.805091857910156,4255300.0
TPR,2012-02-01,71.5,70.06999969482422,55.235389709472656,4678500.0
TPR,2012-02-02,71.47000122070312,70.43000030517578,55.360565185546875,2495600.0
TPR,2012-02-03,72.69000244140625,71.02999877929688,56.79229736328125,3171500.0
TPR,2012-02-06,72.70999908447266,71.86000061035156,56.776668548583984,1807700.0
TPR,2012-02-07,73.0,72.01000213623047,56.62801742553711,2400400.0
