,,high,low,adjclose,volume
TTC,2012-01-03,15.555000305175781,15.255000114440918,13.008338928222656,1008800.0
TTC,2012-01-04,15.667499542236328,15.295000076293945,13.204761505126953,778000.0
TTC,2012-01-05,15.859999656677246,15.385000228881836,13.350493431091309,533200.0
TTC,2012-01-06,15.897500038146973,15.680000305175781,13.333597183227539,373200.0
TTC,2012-01-09,15.875,15.742500305175781,13.38428783416748,393600.0
TTC,2012-01-10,16.217500686645508,15.859999656677246,13.603944778442383,490000.0
TTC,2012-01-11,16.177499771118164,15.97249984741211,13.589158058166504,514000.0
TTC,2012-01-12,16.172500610351562,15.914999961853027,13.627177238464355,460800.0
TTC,2012-01-13,16.204999923706055,15.912500381469727,13.629292488098145,382000.0
TTC,2012-01-17,16.5674991607666,15.757499694824219,13.316699028015137,966800.0
TTC,2012-01-18,16.104999542236328,15.537500381469727,13.593384742736816,660800.0
TTC,2012-01-19,16.157499313354492,16.042499542236328,13.553253173828125,677200.0
TTC,2012-01-20,16.0625,15.9399995803833,13.54269790649414,663600.0
TTC,2012-01-23,16.09749984741211,15.819999694824219,13.47722053527832,491200.0
TTC,2012-01-24,15.920000076293945,15.762499809265137,13.437089920043945,432000.0
TTC,2012-01-25,16.2450008392334,15.859999656677246,13.709549903869629,514800.0
TTC,2012-01-26,16.309999465942383,16.092500686645508,13.629292488098145,535600.0
TTC,2012-01-27,16.295000076293945,16.040000915527344,13.703214645385742,400000.0
TTC,2012-01-30,16.094999313354492,15.817500114440918,13.568038940429688,290000.0
TTC,2012-01-31,16.177499771118164,15.6225004196167,13.388514518737793,1011200.0
TTC,2012-02-01,16.162500381469727,15.932499885559082,13.6314058303833,505200.0
TTC,2012-02-02,16.260000228881836,16.047500610351562,13.587051391601562,266800.0
TTC,2012-02-03,16.4424991607666,16.21500015258789,13.791921615600586,605600.0
TTC,2012-02-06,16.350000381469727,16.212499618530273,13.734891891479492,353600.0
TTC,2012-02-07,16.19499969482422,16.012500762939453,13.59127426147461,454000.0
TTC,2012-02-08,16.1825008392334,15.914999961853027,13.574376106262207,487600.0
TTC,2012-02-09,16.110000610351562,15.904999732971191,13.580714225769043,493600.0
TTC,2012-02-10,16.024999618530273,15.819999694824219,13.432866096496582,583600.0
TTC,2012-02-13,16.040000915527344,15.854999542236328,13.483555793762207,442800.0
TTC,2012-02-14,15.975000381469727,15.725000381469727,13.38428783416748,793200.0
TTC,2012-02-15,15.8774995803833,15.300000190734863,13.088597297668457,1375200.0
TTC,2012-02-16,15.675000190734863,15.4399995803833,13.11182975769043,1533600.0
TTC,2012-02-17,15.47249984741211,15.0,12.788680076599121,1461600.0
TTC,2012-02-21,15.892499923706055,15.164999961853027,13.41385555267334,1864400.0
TTC,2012-02-22,16.212499618530273,15.737500190734863,13.475106239318848,1719200.0
TTC,2012-02-23,16.842500686645508,15.979999542236328,13.756014823913574,2500400.0
TTC,2012-02-24,16.3075008392334,15.892499923706055,13.610281944274902,1330000.0
TTC,2012-02-27,16.594999313354492,15.975000381469727,13.933433532714844,924400.0
TTC,2012-02-28,16.84749984741211,16.412500381469727,14.091836929321289,1706800.0
TTC,2012-02-29,17.014999389648438,16.667499542236328,14.307268142700195,4073200.0
TTC,2012-03-01,17.155000686645508,16.897499084472656,14.34106159210205,1228800.0
TTC,2012-03-02,17.042499542236328,16.747499465942383,14.182656288146973,828400.0
TTC,2012-03-05,16.905000686645508,16.739999771118164,14.260802268981934,611600.0
TTC,2012-03-06,16.912500381469727,16.642499923706055,14.16575813293457,998000.0
TTC,2012-03-07,16.9424991607666,16.747499465942383,14.201665878295898,588400.0
TTC,2012-03-08,17.1924991607666,16.860000610351562,14.476240158081055,491200.0
TTC,2012-03-09,17.290000915527344,17.047500610351562,14.52903938293457,814800.0
TTC,2012-03-12,17.299999237060547,17.1200008392334,14.592398643493652,635600.0
TTC,2012-03-13,17.6825008392334,17.25,14.938783645629883,943200.0
TTC,2012-03-14,17.927499771118164,17.607500076293945,15.135210037231445,957200.0
TTC,2012-03-15,18.0,17.8125,15.198570251464844,717200.0
TTC,2012-03-16,17.975000381469727,17.68000030517578,14.976801872253418,868800.0
TTC,2012-03-19,17.875,17.579999923706055,14.983135223388672,414400.0
TTC,2012-03-20,17.77750015258789,17.522499084472656,15.019042015075684,682800.0
TTC,2012-03-21,17.850000381469727,17.637500762939453,15.042275428771973,453600.0
TTC,2012-03-22,17.80500030517578,17.532499313354492,15.004261016845703,496000.0
TTC,2012-03-23,17.75,17.375,14.839516639709473,709600.0
TTC,2012-03-26,17.952499389648438,17.655000686645508,15.099297523498535,367200.0
TTC,2012-03-27,17.924999237060547,17.8174991607666,15.067623138427734,655200.0
