,,high,low,adjclose,volume
TWOU,2014-03-28,14.350000381469727,11.770000457763672,13.979999542236328,9465500.0
TWOU,2014-03-31,14.819999694824219,13.609999656677246,13.649999618530273,561000.0
TWOU,2014-04-01,14.149999618530273,13.649999618530273,14.0600004196167,467300.0
TWOU,2014-04-02,15.609999656677246,13.930000305175781,15.609999656677246,592100.0
TWOU,2014-04-03,15.890000343322754,13.270000457763672,14.149999618530273,485200.0
TWOU,2014-04-04,14.1899995803833,13.0,13.0600004196167,415300.0
TWOU,2014-04-07,13.387999534606934,12.829999923706055,12.989999771118164,213600.0
TWOU,2014-04-08,13.279999732971191,12.859999656677246,13.010000228881836,119000.0
TWOU,2014-04-09,13.3100004196167,12.670000076293945,12.970000267028809,140500.0
TWOU,2014-04-10,13.1899995803833,12.520000457763672,13.079999923706055,165100.0
TWOU,2014-04-11,13.270000457763672,12.569999694824219,12.9399995803833,214000.0
TWOU,2014-04-14,13.300000190734863,12.819999694824219,12.850000381469727,221500.0
TWOU,2014-04-15,13.399999618530273,12.0,12.600000381469727,401600.0
TWOU,2014-04-16,12.741999626159668,12.020000457763672,12.520000457763672,163800.0
TWOU,2014-04-17,13.194999694824219,12.279999732971191,13.0600004196167,82200.0
TWOU,2014-04-21,13.300000190734863,12.949999809265137,13.100000381469727,71800.0
TWOU,2014-04-22,14.649999618530273,13.335000038146973,14.170000076293945,633700.0
TWOU,2014-04-23,14.859000205993652,14.170000076293945,14.395000457763672,137000.0
TWOU,2014-04-24,14.770000457763672,14.199999809265137,14.699999809265137,95300.0
TWOU,2014-04-25,14.949999809265137,14.300000190734863,14.859999656677246,100100.0
TWOU,2014-04-28,15.510000228881836,14.380000114440918,15.020000457763672,258600.0
TWOU,2014-04-29,15.34000015258789,14.51099967956543,14.979999542236328,214800.0
TWOU,2014-04-30,15.25,14.531000137329102,14.920000076293945,96900.0
TWOU,2014-05-01,15.390000343322754,14.789999961853027,15.34000015258789,107300.0
TWOU,2014-05-02,15.75,15.069999694824219,15.180000305175781,169100.0
TWOU,2014-05-05,15.329000473022461,14.960000038146973,15.149999618530273,113300.0
TWOU,2014-05-06,15.489999771118164,14.5,14.850000381469727,185300.0
TWOU,2014-05-07,15.739999771118164,12.329999923706055,12.5,423900.0
TWOU,2014-05-08,13.357000350952148,12.020000457763672,12.09000015258789,214900.0
TWOU,2014-05-09,12.847999572753906,10.520000457763672,10.930000305175781,257200.0
TWOU,2014-05-12,11.210000038146973,10.600000381469727,10.770000457763672,388200.0
TWOU,2014-05-13,13.729999542236328,10.75,13.350000381469727,603600.0
TWOU,2014-05-14,14.289999961853027,13.0,13.670000076293945,286100.0
TWOU,2014-05-15,13.680000305175781,13.149999618530273,13.460000038146973,120800.0
TWOU,2014-05-16,13.720000267028809,13.15999984741211,13.5,78700.0
TWOU,2014-05-19,13.75,13.46500015258789,13.550000190734863,109900.0
TWOU,2014-05-20,13.640000343322754,13.149999618530273,13.399999618530273,96700.0
TWOU,2014-05-21,13.739999771118164,13.383000373840332,13.579999923706055,67800.0
TWOU,2014-05-22,13.699999809265137,13.300000190734863,13.34000015258789,135200.0
TWOU,2014-05-23,13.510000228881836,13.170000076293945,13.279999732971191,109700.0
TWOU,2014-05-27,13.789999961853027,13.270000457763672,13.630000114440918,84100.0
TWOU,2014-05-28,14.260000228881836,13.550000190734863,13.59000015258789,95500.0
TWOU,2014-05-29,14.449999809265137,13.539999961853027,14.239999771118164,68800.0
TWOU,2014-05-30,14.539999961853027,13.979999542236328,14.4399995803833,91600.0
TWOU,2014-06-02,14.699999809265137,14.300000190734863,14.630000114440918,73800.0
TWOU,2014-06-03,14.40999984741211,13.670000076293945,13.850000381469727,91600.0
TWOU,2014-06-04,13.890000343322754,13.140000343322754,13.199999809265137,160900.0
TWOU,2014-06-05,14.0,13.050000190734863,13.720000267028809,85500.0
TWOU,2014-06-06,14.039999961853027,13.649999618530273,14.039999961853027,92300.0
TWOU,2014-06-09,14.270000457763672,13.640000343322754,13.710000038146973,84600.0
TWOU,2014-06-10,13.829999923706055,13.029999732971191,13.194999694824219,163600.0
TWOU,2014-06-11,14.140000343322754,13.199999809265137,14.09000015258789,122500.0
TWOU,2014-06-12,14.239999771118164,13.625,13.960000038146973,158700.0
TWOU,2014-06-13,14.229999542236328,13.75,14.010000228881836,64900.0
TWOU,2014-06-16,14.399999618530273,13.859999656677246,13.949999809265137,103800.0
TWOU,2014-06-17,14.6899995803833,13.90999984741211,14.609999656677246,140600.0
TWOU,2014-06-18,14.600000381469727,14.119999885559082,14.5600004196167,169500.0
TWOU,2014-06-19,14.789999961853027,14.25,14.789999961853027,81800.0
TWOU,2014-06-20,15.890000343322754,14.640000343322754,15.350000381469727,546500.0
TWOU,2014-06-23,16.75,15.3100004196167,16.6200008392334,207500.0
TWOU,2014-06-24,17.579999923706055,16.399999618530273,16.610000610351562,565700.0
TWOU,2014-06-25,16.81999969482422,16.290000915527344,16.639999389648438,191800.0
TWOU,2014-06-26,16.84000015258789,16.31999969482422,16.459999084472656,219500.0
TWOU,2014-06-27,16.770000457763672,15.442999839782715,15.470000267028809,1493200.0
TWOU,2014-06-30,16.90999984741211,15.25,16.809999465942383,230600.0
TWOU,2014-07-01,16.950000762939453,15.8100004196167,16.079999923706055,128600.0
TWOU,2014-07-02,17.329999923706055,16.020000457763672,16.649999618530273,207600.0
TWOU,2014-07-03,17.010000228881836,16.329999923706055,16.600000381469727,59400.0
TWOU,2014-07-07,16.65999984741211,15.600000381469727,15.640000343322754,107600.0
TWOU,2014-07-08,15.859999656677246,14.390000343322754,14.770000457763672,367100.0
TWOU,2014-07-09,14.760000228881836,13.779999732971191,14.130000114440918,252500.0
TWOU,2014-07-10,14.359999656677246,13.399999618530273,14.3100004196167,237100.0
TWOU,2014-07-11,14.6899995803833,14.100000381469727,14.449999809265137,155500.0
TWOU,2014-07-14,14.779999732971191,14.300000190734863,14.5,109600.0
TWOU,2014-07-15,14.5,14.029999732971191,14.130000114440918,145300.0
TWOU,2014-07-16,14.25,13.850000381469727,13.960000038146973,134500.0
TWOU,2014-07-17,13.890000343322754,13.25,13.5,185400.0
TWOU,2014-07-18,13.59000015258789,13.359999656677246,13.5,130400.0
TWOU,2014-07-21,13.520000457763672,13.069999694824219,13.319999694824219,180600.0
TWOU,2014-07-22,13.729999542236328,13.317999839782715,13.649999618530273,80900.0
TWOU,2014-07-23,13.899999618530273,13.640000343322754,13.720000267028809,68100.0
TWOU,2014-07-24,13.729999542236328,13.5,13.5600004196167,86900.0
TWOU,2014-07-25,14.430000305175781,13.529999732971191,14.369999885559082,154500.0
TWOU,2014-07-28,14.550000190734863,14.029999732971191,14.279999732971191,114800.0
TWOU,2014-07-29,14.579999923706055,14.085000038146973,14.369999885559082,91100.0
TWOU,2014-07-30,14.550000190734863,14.239999771118164,14.40999984741211,71300.0
TWOU,2014-07-31,14.255999565124512,13.960000038146973,14.0600004196167,104700.0
TWOU,2014-08-01,14.100000381469727,13.510000228881836,13.710000038146973,92000.0
TWOU,2014-08-04,14.050000190734863,13.710000038146973,13.819999694824219,87300.0
TWOU,2014-08-05,13.979999542236328,13.100000381469727,13.640000343322754,296200.0
TWOU,2014-08-06,14.300000190734863,13.270000457763672,14.210000038146973,229700.0
TWOU,2014-08-07,16.700000762939453,14.09000015258789,16.540000915527344,703400.0
TWOU,2014-08-08,17.174999237060547,16.059999465942383,17.079999923706055,156000.0
TWOU,2014-08-11,16.8700008392334,15.920000076293945,16.81999969482422,227700.0
TWOU,2014-08-12,16.799999237060547,16.100000381469727,16.34000015258789,223100.0
TWOU,2014-08-13,16.996000289916992,16.030000686645508,16.809999465942383,113000.0
TWOU,2014-08-14,18.459999084472656,16.40999984741211,18.040000915527344,358100.0
TWOU,2014-08-15,18.290000915527344,17.01099967956543,17.8700008392334,82700.0
TWOU,2014-08-18,18.299999237060547,17.899999618530273,18.280000686645508,96300.0
TWOU,2014-08-19,18.809999465942383,17.90999984741211,18.56999969482422,117200.0
TWOU,2014-08-20,19.360000610351562,17.950000762939453,19.209999084472656,131200.0
TWOU,2014-08-21,19.469999313354492,18.799999237060547,19.399999618530273,99600.0
TWOU,2014-08-22,19.719999313354492,19.363000869750977,19.479999542236328,101400.0
TWOU,2014-08-25,20.200000762939453,19.086999893188477,19.940000534057617,152200.0
TWOU,2014-08-26,20.139999389648438,19.15999984741211,19.5,245500.0
TWOU,2014-08-27,19.469999313354492,18.739999771118164,18.75,73600.0
TWOU,2014-08-28,19.0,18.43000030517578,18.559999465942383,63900.0
TWOU,2014-08-29,19.0,18.31999969482422,18.899999618530273,74500.0
TWOU,2014-09-02,18.979999542236328,18.350000381469727,18.549999237060547,112000.0
TWOU,2014-09-03,18.75,17.93000030517578,18.030000686645508,81400.0
TWOU,2014-09-04,18.239999771118164,17.1299991607666,17.299999237060547,98200.0
TWOU,2014-09-05,17.3799991607666,16.399999618530273,16.469999313354492,151500.0
TWOU,2014-09-08,16.899999618530273,16.170000076293945,16.549999237060547,225900.0
TWOU,2014-09-09,16.770000457763672,16.06999969482422,16.100000381469727,49100.0
TWOU,2014-09-10,16.59000015258789,15.760000228881836,15.789999961853027,107400.0
TWOU,2014-09-11,15.90999984741211,15.420000076293945,15.520000457763672,80000.0
TWOU,2014-09-12,15.899999618530273,15.520000457763672,15.609999656677246,129600.0
TWOU,2014-09-15,16.0,15.539999961853027,15.789999961853027,131800.0
TWOU,2014-09-16,15.720000267028809,15.1899995803833,15.369999885559082,96300.0
TWOU,2014-09-17,16.31999969482422,15.25,15.9399995803833,126800.0
TWOU,2014-09-18,16.51099967956543,15.329999923706055,15.399999618530273,58800.0
TWOU,2014-09-19,15.90999984741211,15.34000015258789,15.369999885559082,107900.0
TWOU,2014-09-22,15.380000114440918,15.0,15.1899995803833,62200.0
TWOU,2014-09-23,15.520000457763672,14.720000267028809,14.930000305175781,130500.0
TWOU,2014-09-24,14.960000038146973,14.670000076293945,14.800000190734863,138800.0
TWOU,2014-09-25,15.40999984741211,14.699999809265137,15.210000038146973,119000.0
TWOU,2014-09-26,15.609999656677246,14.829999923706055,14.920000076293945,313100.0
TWOU,2014-09-29,15.890000343322754,15.0,15.619999885559082,281100.0
TWOU,2014-09-30,16.219999313354492,15.210000038146973,15.59000015258789,299000.0
TWOU,2014-10-01,16.200000762939453,15.0600004196167,15.15999984741211,202500.0
TWOU,2014-10-02,15.300000190734863,14.90999984741211,15.039999961853027,93000.0
TWOU,2014-10-03,15.630000114440918,14.970000267028809,15.539999961853027,140700.0
TWOU,2014-10-06,15.619999885559082,15.359999656677246,15.369999885559082,38700.0
TWOU,2014-10-07,15.569999694824219,15.220000267028809,15.5,71100.0
TWOU,2014-10-08,16.200000762939453,15.39799976348877,16.15999984741211,184300.0
TWOU,2014-10-09,16.100000381469727,15.600000381469727,16.059999465942383,220700.0
TWOU,2014-10-10,16.510000228881836,15.324000358581543,15.8100004196167,157900.0
TWOU,2014-10-13,16.010000228881836,15.319999694824219,15.640000343322754,109300.0
TWOU,2014-10-14,16.618000030517578,15.390000343322754,16.170000076293945,99700.0
TWOU,2014-10-15,17.280000686645508,15.5,17.1200008392334,109000.0
TWOU,2014-10-16,18.0,16.5,17.8700008392334,178500.0
TWOU,2014-10-17,18.329999923706055,17.799999237060547,17.899999618530273,122900.0
TWOU,2014-10-20,18.139999389648438,17.479999542236328,17.84000015258789,139200.0
TWOU,2014-10-21,18.0,17.799999237060547,17.899999618530273,72800.0
TWOU,2014-10-22,18.190000534057617,17.670000076293945,17.93000030517578,169600.0
TWOU,2014-10-23,18.209999084472656,17.799999237060547,17.969999313354492,120100.0
TWOU,2014-10-24,18.0,17.709999084472656,17.93000030517578,74300.0
TWOU,2014-10-27,18.0,17.520000457763672,17.829999923706055,91300.0
TWOU,2014-10-28,18.350000381469727,17.670000076293945,17.8700008392334,303500.0
TWOU,2014-10-29,18.079999923706055,17.75,17.93000030517578,107000.0
TWOU,2014-10-30,18.0,17.790000915527344,17.8799991607666,158400.0
TWOU,2014-10-31,18.510000228881836,17.820999145507812,18.200000762939453,374600.0
TWOU,2014-11-03,18.389999389648438,17.600000381469727,17.690000534057617,133400.0
TWOU,2014-11-04,17.579999923706055,16.770000457763672,17.3700008392334,157000.0
TWOU,2014-11-05,18.399999618530273,17.420000076293945,17.940000534057617,243600.0
TWOU,2014-11-06,18.049999237060547,17.75,17.8700008392334,165900.0
TWOU,2014-11-07,18.079999923706055,17.809999465942383,17.889999389648438,430100.0
TWOU,2014-11-10,18.18000030517578,17.649999618530273,17.829999923706055,192800.0
TWOU,2014-11-11,18.059999465942383,17.579999923706055,17.700000762939453,87700.0
TWOU,2014-11-12,17.850000381469727,17.059999465942383,17.75,157100.0
TWOU,2014-11-13,18.0,17.6299991607666,17.770000457763672,81700.0
TWOU,2014-11-14,18.0,17.209999084472656,17.270000457763672,143200.0
TWOU,2014-11-17,17.375,16.209999084472656,16.260000228881836,131900.0
TWOU,2014-11-18,17.610000610351562,16.299999237060547,17.360000610351562,136900.0
TWOU,2014-11-19,17.639999389648438,16.937000274658203,17.309999465942383,64500.0
TWOU,2014-11-20,17.770000457763672,17.1200008392334,17.68000030517578,178100.0
TWOU,2014-11-21,17.860000610351562,17.309999465942383,17.65999984741211,72700.0
TWOU,2014-11-24,18.190000534057617,17.299999237060547,18.09000015258789,535800.0
TWOU,2014-11-25,18.31999969482422,17.8700008392334,18.09000015258789,716000.0
TWOU,2014-11-26,18.25,17.84000015258789,18.1200008392334,231600.0
TWOU,2014-11-28,18.15999984741211,18.010000228881836,18.079999923706055,106600.0
TWOU,2014-12-01,18.2450008392334,17.854999542236328,18.1200008392334,212700.0
TWOU,2014-12-02,18.559999465942383,18.079999923706055,18.479999542236328,336000.0
TWOU,2014-12-03,18.760000228881836,18.309999465942383,18.549999237060547,135200.0
TWOU,2014-12-04,18.700000762939453,18.219999313354492,18.6200008392334,106000.0
TWOU,2014-12-05,18.719999313354492,18.489999771118164,18.709999084472656,129900.0
TWOU,2014-12-08,18.739999771118164,18.290000915527344,18.530000686645508,176600.0
TWOU,2014-12-09,18.540000915527344,18.0,18.540000915527344,1119700.0
TWOU,2014-12-10,19.200000762939453,18.260000228881836,18.43000030517578,250500.0
TWOU,2014-12-11,18.760000228881836,18.1299991607666,18.3799991607666,170700.0
TWOU,2014-12-12,18.239999771118164,17.84000015258789,17.940000534057617,104500.0
TWOU,2014-12-15,18.209999084472656,17.65999984741211,17.889999389648438,255600.0
TWOU,2014-12-16,18.149999618530273,17.770000457763672,17.860000610351562,105600.0
TWOU,2014-12-17,18.209999084472656,17.799999237060547,18.209999084472656,283500.0
TWOU,2014-12-18,19.420000076293945,18.110000610351562,19.100000381469727,351800.0
TWOU,2014-12-19,19.5,19.049999237060547,19.350000381469727,350100.0
TWOU,2014-12-22,19.8700008392334,19.079999923706055,19.700000762939453,232500.0
TWOU,2014-12-23,19.989999771118164,19.5,19.6200008392334,201600.0
TWOU,2014-12-24,19.8799991607666,19.049999237060547,19.440000534057617,143900.0
