,,high,low,adjclose,volume
UNIT,2015-04-20,30.030000686645508,27.0,18.958959579467773,30100.0
UNIT,2015-04-21,30.899999618530273,29.049999237060547,18.97158432006836,49400.0
UNIT,2015-04-22,34.630001068115234,29.549999237060547,19.11048126220703,218300.0
UNIT,2015-04-23,30.549999237060547,29.950000762939453,19.034717559814453,307900.0
UNIT,2015-04-24,30.309999465942383,28.600000381469727,18.05615234375,1920500.0
UNIT,2015-04-27,29.5,27.5,17.367998123168945,3688300.0
UNIT,2015-04-28,29.889999389648438,27.09000015258789,18.611724853515625,6802300.0
UNIT,2015-04-29,30.719999313354492,29.610000610351562,19.142045974731445,2839800.0
UNIT,2015-04-30,30.31999969482422,29.700000762939453,18.99052619934082,2204900.0
UNIT,2015-05-01,30.31999969482422,29.549999237060547,18.92107582092285,1281900.0
UNIT,2015-05-04,30.389999389648438,29.260000228881836,19.041032791137695,1716800.0
UNIT,2015-05-05,30.649999618530273,29.75,19.09153938293457,1280400.0
UNIT,2015-05-06,30.299999237060547,28.43000030517578,18.030900955200195,1775600.0
UNIT,2015-05-07,28.700000762939453,27.5,17.437448501586914,2251900.0
UNIT,2015-05-08,27.989999771118164,27.065000534057617,17.456384658813477,1405600.0
UNIT,2015-05-11,27.600000381469727,26.850000381469727,17.304866790771484,1376600.0
UNIT,2015-05-12,28.219999313354492,26.799999237060547,17.74679946899414,1140600.0
UNIT,2015-05-13,28.100000381469727,27.579999923706055,17.55108642578125,1052900.0
UNIT,2015-05-14,27.959999084472656,27.510000228881836,17.55739974975586,1047000.0
UNIT,2015-05-15,27.850000381469727,27.5,17.380626678466797,553300.0
UNIT,2015-05-18,27.5,26.790000915527344,16.957630157470703,866100.0
UNIT,2015-05-19,26.860000610351562,26.170000076293945,16.553579330444336,1405300.0
UNIT,2015-05-20,26.417999267578125,25.649999618530273,16.218969345092773,834500.0
UNIT,2015-05-21,26.549999237060547,25.34000015258789,16.730350494384766,1425900.0
UNIT,2015-05-22,26.920000076293945,26.09000015258789,16.907121658325195,923500.0
UNIT,2015-05-26,27.0,26.229999542236328,16.724037170410156,685300.0
UNIT,2015-05-27,26.40999984741211,25.90999984741211,16.49675941467285,872900.0
UNIT,2015-05-28,26.239999771118164,25.8799991607666,16.402055740356445,627500.0
UNIT,2015-05-29,26.1200008392334,25.75,16.446252822875977,941300.0
UNIT,2015-06-01,26.200000762939453,25.649999618530273,16.32630157470703,634100.0
