,,high,low,adjclose,volume
UNVR,2015-06-17,22.0,22.0,22.0,0.0
UNVR,2015-06-18,25.760000228881836,24.049999237060547,25.399999618530273,18002100.0
UNVR,2015-06-19,27.75,24.670000076293945,27.25,1802600.0
UNVR,2015-06-22,27.350000381469727,26.170000076293945,26.75,672600.0
UNVR,2015-06-23,27.399999618530273,26.15999984741211,27.0,865500.0
UNVR,2015-06-24,27.0,26.149999618530273,26.149999618530273,529800.0
UNVR,2015-06-25,26.479999542236328,25.59000015258789,26.329999923706055,312000.0
UNVR,2015-06-26,26.75,25.020000457763672,26.489999771118164,193200.0
UNVR,2015-06-29,26.5,25.670000076293945,25.989999771118164,452300.0
UNVR,2015-06-30,26.100000381469727,25.690000534057617,26.030000686645508,175800.0
UNVR,2015-07-01,26.75,25.84000015258789,25.959999084472656,275900.0
UNVR,2015-07-02,26.549999237060547,25.34000015258789,25.940000534057617,609000.0
UNVR,2015-07-06,26.049999237060547,25.049999237060547,25.309999465942383,214600.0
UNVR,2015-07-07,25.5,24.290000915527344,25.40999984741211,245900.0
UNVR,2015-07-08,25.280000686645508,24.56999969482422,24.860000610351562,125300.0
UNVR,2015-07-09,25.260000228881836,24.59000015258789,24.90999984741211,111300.0
UNVR,2015-07-10,25.219999313354492,24.6299991607666,24.899999618530273,91300.0
UNVR,2015-07-13,25.149999618530273,24.610000610351562,25.059999465942383,363300.0
UNVR,2015-07-14,25.520000457763672,24.690000534057617,24.90999984741211,164800.0
UNVR,2015-07-15,25.299999237060547,24.809999465942383,24.989999771118164,304700.0
UNVR,2015-07-16,25.450000762939453,24.68000030517578,24.90999984741211,550100.0
UNVR,2015-07-17,26.0,24.90999984741211,25.010000228881836,433400.0
UNVR,2015-07-20,24.889999389648438,24.270000457763672,24.540000915527344,244000.0
UNVR,2015-07-21,24.8700008392334,24.280000686645508,24.479999542236328,118000.0
UNVR,2015-07-22,24.524999618530273,24.260000228881836,24.5,46200.0
UNVR,2015-07-23,24.579999923706055,24.309999465942383,24.5,142000.0
UNVR,2015-07-24,24.5,24.25,24.360000610351562,99400.0
UNVR,2015-07-27,24.275999069213867,23.565000534057617,23.649999618530273,398600.0
UNVR,2015-07-28,23.719999313354492,22.690000534057617,22.84000015258789,707100.0
UNVR,2015-07-29,22.8799991607666,21.40999984741211,22.1299991607666,2440000.0
UNVR,2015-07-30,24.1200008392334,21.8700008392334,23.940000534057617,751300.0
UNVR,2015-07-31,24.229999542236328,23.770000457763672,23.899999618530273,296200.0
UNVR,2015-08-03,23.690000534057617,22.3799991607666,22.709999084472656,924500.0
UNVR,2015-08-04,23.459999084472656,22.780000686645508,22.90999984741211,519700.0
UNVR,2015-08-05,23.739999771118164,22.81999969482422,23.469999313354492,225500.0
UNVR,2015-08-06,23.799999237060547,22.760000228881836,23.420000076293945,167900.0
UNVR,2015-08-07,24.0,23.309999465942383,23.43000030517578,203500.0
UNVR,2015-08-10,23.649999618530273,23.030000686645508,23.209999084472656,306700.0
UNVR,2015-08-11,23.549999237060547,22.520000457763672,22.649999618530273,208100.0
UNVR,2015-08-12,22.719999313354492,22.0049991607666,22.209999084472656,751100.0
UNVR,2015-08-13,23.15999984741211,22.25,22.81999969482422,408900.0
UNVR,2015-08-14,23.0,21.940000534057617,22.040000915527344,470400.0
UNVR,2015-08-17,22.469999313354492,21.889999389648438,22.200000762939453,306900.0
UNVR,2015-08-18,22.510000228881836,22.014999389648438,22.3700008392334,404000.0
UNVR,2015-08-19,23.225000381469727,22.219999313354492,22.520000457763672,633300.0
UNVR,2015-08-20,22.780000686645508,22.040000915527344,22.459999084472656,279000.0
