,,high,low,adjclose,volume
VOYA,2017-11-02,42.630001068115234,41.16999816894531,42.459476470947266,1715600.0
VOYA,2017-11-03,42.68000030517578,41.83000183105469,41.80025863647461,1389000.0
VOYA,2017-11-06,42.209999084472656,41.45000076293945,42.010009765625,1089300.0
VOYA,2017-11-07,,,,
VOYA,2017-11-08,,,,
VOYA,2017-11-09,,,,
VOYA,2017-11-10,,,,
VOYA,2017-11-13,,,,
VOYA,2017-11-14,,,,
VOYA,2017-11-15,,,,
VOYA,2017-11-16,,,,
VOYA,2017-11-17,,,,
VOYA,2017-11-20,,,,
VOYA,2017-11-21,,,,
VOYA,2017-11-22,,,,
VOYA,2017-11-24,,,,
VOYA,2017-11-27,,,,
VOYA,2017-11-28,,,,
VOYA,2017-11-29,,,,
VOYA,2017-11-30,,,,
VOYA,2017-12-01,,,,
VOYA,2017-12-04,,,,
VOYA,2017-12-05,,,,
VOYA,2017-12-06,,,,
VOYA,2017-12-07,,,,
VOYA,2017-12-08,,,,
VOYA,2017-12-11,,,,
VOYA,2017-12-12,,,,
VOYA,2017-12-13,,,,
VOYA,2017-12-14,,,,
VOYA,2017-12-15,,,,
VOYA,2017-12-18,,,,
VOYA,2017-12-19,,,,
VOYA,2017-12-20,,,,
VOYA,2017-12-21,,,,
VOYA,2017-12-22,,,,
VOYA,2017-12-26,,,,
VOYA,2017-12-27,,,,
VOYA,2017-12-28,,,,
VOYA,2017-12-29,,,,
VOYA,2018-01-02,50.130001068115234,49.220001220703125,49.68088150024414,1899900.0
VOYA,2018-01-03,50.31999969482422,49.5,49.62095260620117,2168000.0
VOYA,2018-01-04,50.810001373291016,49.599998474121094,50.28017044067383,2193900.0
VOYA,2018-01-05,50.810001373291016,50.279998779296875,50.66969680786133,1331400.0
VOYA,2018-01-08,50.9900016784668,50.18000030517578,50.45995330810547,1199700.0
VOYA,2018-01-09,53.47999954223633,50.599998474121094,52.92701721191406,4389500.0
VOYA,2018-01-10,54.630001068115234,52.83000183105469,53.50632858276367,3547300.0
VOYA,2018-01-11,54.56999969482422,53.15999984741211,53.436405181884766,2232700.0
VOYA,2018-01-12,54.29999923706055,53.41999816894531,54.09562301635742,3137100.0
VOYA,2018-01-16,54.41999816894531,52.91999816894531,52.917030334472656,2511700.0
VOYA,2018-01-17,53.77000045776367,52.70000076293945,53.396453857421875,1655400.0
VOYA,2018-01-18,53.90999984741211,53.029998779296875,53.6161994934082,2198200.0
VOYA,2018-01-19,54.65999984741211,53.45000076293945,54.36530685424805,1915000.0
VOYA,2018-01-22,54.34000015258789,53.36000061035156,54.10561752319336,3058300.0
VOYA,2018-01-23,54.650001525878906,53.77000045776367,54.1755256652832,1940600.0
VOYA,2018-01-24,54.869998931884766,53.58000183105469,53.91584396362305,1406100.0
VOYA,2018-01-25,54.31999969482422,53.4900016784668,53.80596923828125,1268400.0
VOYA,2018-01-26,54.400001525878906,53.689998626708984,54.25543212890625,1433600.0
VOYA,2018-01-29,54.630001068115234,53.36000061035156,53.626182556152344,2155800.0
VOYA,2018-01-30,53.560001373291016,52.20000076293945,52.30775833129883,2294300.0
VOYA,2018-01-31,53.16999816894531,51.77000045776367,51.84830093383789,2613800.0
VOYA,2018-02-01,53.060001373291016,51.70000076293945,52.50751495361328,2170100.0
VOYA,2018-02-02,52.88999938964844,50.900001525878906,51.27897644042969,2059900.0
VOYA,2018-02-05,51.279998779296875,48.18000030517578,48.851863861083984,3492700.0
VOYA,2018-02-06,49.779998779296875,47.290000915527344,49.25139236450195,4129800.0
VOYA,2018-02-07,50.09000015258789,48.650001525878906,48.612152099609375,2854900.0
VOYA,2018-02-08,49.029998779296875,46.75,46.694435119628906,2272100.0
VOYA,2018-02-09,47.90999984741211,45.61000061035156,46.85424041748047,3234700.0
VOYA,2018-02-12,48.88999938964844,47.09000015258789,48.01286315917969,2875000.0
VOYA,2018-02-13,48.09000015258789,47.31999969482422,47.96292495727539,1979200.0
VOYA,2018-02-14,51.5099983215332,47.5099983215332,51.129154205322266,4080600.0
VOYA,2018-02-15,52.09000015258789,49.7400016784668,50.48991394042969,3012500.0
VOYA,2018-02-16,50.810001373291016,50.0,50.56981658935547,1867400.0
VOYA,2018-02-20,51.119998931884766,50.290000915527344,50.38004684448242,2105500.0
