,,high,low,adjclose,volume
WAT,2012-01-03,76.81999969482422,75.37000274658203,75.94000244140625,736700.0
WAT,2012-01-04,75.86000061035156,73.94000244140625,74.44999694824219,643900.0
WAT,2012-01-05,74.3499984741211,73.19000244140625,73.70999908447266,750100.0
WAT,2012-01-06,74.55999755859375,73.41999816894531,74.1500015258789,2158900.0
WAT,2012-01-09,74.61000061035156,73.4000015258789,74.2699966430664,953800.0
WAT,2012-01-10,75.48999786376953,73.52999877929688,74.13999938964844,2167900.0
WAT,2012-01-11,75.44000244140625,72.9800033569336,75.38999938964844,1493300.0
WAT,2012-01-12,76.87000274658203,75.19999694824219,76.70999908447266,818100.0
WAT,2012-01-13,76.80000305175781,75.37000274658203,76.05999755859375,558200.0
WAT,2012-01-17,78.44999694824219,76.91000366210938,77.77999877929688,819400.0
WAT,2012-01-18,77.80000305175781,75.47000122070312,76.29000091552734,1378200.0
WAT,2012-01-19,79.70999908447266,75.91999816894531,79.37999725341797,1389100.0
WAT,2012-01-20,79.19000244140625,76.80999755859375,77.98999786376953,1023500.0
WAT,2012-01-23,80.79000091552734,78.05999755859375,78.76000213623047,1362200.0
WAT,2012-01-24,86.98999786376953,77.98999786376953,85.04000091552734,3632800.0
WAT,2012-01-25,88.54000091552734,85.75,87.91000366210938,2226000.0
WAT,2012-01-26,88.0,86.4000015258789,86.94999694824219,1216700.0
WAT,2012-01-27,87.72000122070312,86.0,86.81999969482422,910900.0
WAT,2012-01-30,86.5,85.41999816894531,86.2699966430664,638900.0
WAT,2012-01-31,87.5,86.12999725341797,86.56999969482422,733200.0
WAT,2012-02-01,88.62999725341797,87.0999984741211,88.33000183105469,681600.0
WAT,2012-02-02,89.05000305175781,88.16999816894531,88.77999877929688,557500.0
WAT,2012-02-03,90.0999984741211,89.16000366210938,89.48999786376953,439600.0
WAT,2012-02-06,89.58000183105469,88.6500015258789,89.26000213623047,357100.0
WAT,2012-02-07,89.30000305175781,88.58000183105469,88.83000183105469,488800.0
WAT,2012-02-08,89.2300033569336,87.6500015258789,88.55999755859375,701500.0
WAT,2012-02-09,88.75,86.94000244140625,88.33999633789062,455900.0
WAT,2012-02-10,87.83999633789062,86.7300033569336,87.80000305175781,393000.0
WAT,2012-02-13,88.56999969482422,87.88999938964844,88.13999938964844,364400.0
WAT,2012-02-14,88.87999725341797,87.63999938964844,88.51000213623047,545500.0
WAT,2012-02-15,89.16999816894531,87.62000274658203,87.91999816894531,495200.0
WAT,2012-02-16,89.54000091552734,87.12000274658203,89.0999984741211,998700.0
WAT,2012-02-17,89.70999908447266,88.52999877929688,88.62999725341797,552300.0
WAT,2012-02-21,89.1500015258789,87.26000213623047,87.44000244140625,426400.0
WAT,2012-02-22,88.56999969482422,86.91000366210938,88.12000274658203,593800.0
WAT,2012-02-23,88.43000030517578,87.16999816894531,88.11000061035156,451200.0
WAT,2012-02-24,89.25,88.0199966430664,88.55999755859375,492800.0
WAT,2012-02-27,89.61000061035156,87.20999908447266,88.9800033569336,498800.0
WAT,2012-02-28,91.08999633789062,88.5,89.9000015258789,1058800.0
WAT,2012-02-29,90.58999633789062,88.58999633789062,89.5999984741211,3246800.0
WAT,2012-03-01,90.58000183105469,89.30000305175781,90.30000305175781,1534800.0
WAT,2012-03-02,90.55999755859375,89.22000122070312,89.33999633789062,572600.0
WAT,2012-03-05,89.54000091552734,88.33999633789062,88.91999816894531,523000.0
WAT,2012-03-06,88.58000183105469,87.02999877929688,87.31999969482422,964400.0
WAT,2012-03-07,88.13999938964844,87.02999877929688,87.87999725341797,888700.0
WAT,2012-03-08,90.0,87.72000122070312,89.86000061035156,824400.0
WAT,2012-03-09,91.70999908447266,89.56999969482422,90.9800033569336,748800.0
WAT,2012-03-12,91.12000274658203,90.13999938964844,90.51000213623047,397600.0
WAT,2012-03-13,92.47000122070312,91.1500015258789,92.2699966430664,450400.0
WAT,2012-03-14,92.86000061035156,91.95999908447266,92.18000030517578,547900.0
WAT,2012-03-15,93.18000030517578,91.9000015258789,93.12999725341797,389400.0
WAT,2012-03-16,93.41999816894531,92.5,92.95999908447266,552700.0
WAT,2012-03-19,93.01000213623047,92.23999786376953,92.58000183105469,466600.0
WAT,2012-03-20,93.16999816894531,91.7699966430664,92.87999725341797,578200.0
WAT,2012-03-21,92.87999725341797,92.2699966430664,92.37999725341797,378800.0
WAT,2012-03-22,91.98999786376953,90.2300033569336,91.20999908447266,547600.0
WAT,2012-03-23,91.55000305175781,90.18000030517578,90.88999938964844,585000.0
WAT,2012-03-26,94.0999984741211,91.69999694824219,94.02999877929688,939300.0
WAT,2012-03-27,94.41999816894531,92.95999908447266,93.11000061035156,510700.0
WAT,2012-03-28,93.7300033569336,92.11000061035156,92.86000061035156,368700.0
WAT,2012-03-29,92.5199966430664,91.33999633789062,91.80999755859375,470800.0
WAT,2012-03-30,92.95999908447266,91.91000366210938,92.66000366210938,519300.0
WAT,2012-04-02,94.47000122070312,92.44000244140625,93.98999786376953,585400.0
WAT,2012-04-03,94.37999725341797,93.31999969482422,93.88999938964844,505400.0
WAT,2012-04-04,93.2699966430664,91.55999755859375,91.76000213623047,444400.0
WAT,2012-04-05,92.02999877929688,91.31999969482422,91.93000030517578,376200.0
WAT,2012-04-09,90.47000122070312,89.5999984741211,90.08000183105469,582200.0
WAT,2012-04-10,90.36000061035156,87.02999877929688,87.44000244140625,759500.0
WAT,2012-04-11,89.62999725341797,87.94999694824219,88.1500015258789,366700.0
WAT,2012-04-12,89.72000122070312,88.05000305175781,89.27999877929688,428400.0
WAT,2012-04-13,89.27999877929688,87.44999694824219,87.55999755859375,356200.0
WAT,2012-04-16,88.27999877929688,86.62000274658203,86.94999694824219,519700.0
WAT,2012-04-17,88.97000122070312,87.44000244140625,88.55999755859375,595400.0
WAT,2012-04-18,89.18000030517578,87.8499984741211,88.19000244140625,549600.0
WAT,2012-04-19,89.19000244140625,87.4000015258789,88.04000091552734,777000.0
WAT,2012-04-20,89.47000122070312,88.16999816894531,88.75,701700.0
WAT,2012-04-23,88.52999877929688,86.33999633789062,88.33999633789062,1006000.0
WAT,2012-04-24,82.7300033569336,78.0,81.80000305175781,4300400.0
WAT,2012-04-25,83.47000122070312,82.2300033569336,83.2699966430664,1335000.0
WAT,2012-04-26,84.5999984741211,82.94999694824219,84.30000305175781,1094800.0
WAT,2012-04-27,84.91000366210938,83.36000061035156,83.81999969482422,1238400.0
