,,high,low,adjclose,volume
WLL,2012-01-03,198.27999877929688,191.9199981689453,196.8000030517578,472000.0
WLL,2012-01-04,201.36000061035156,194.67999267578125,201.0,494600.0
WLL,2012-01-05,207.32000732421875,197.63999938964844,207.32000732421875,810600.0
WLL,2012-01-06,212.0399932861328,206.55999755859375,207.36000061035156,574700.0
WLL,2012-01-09,209.24000549316406,205.9199981689453,208.39999389648438,472900.0
WLL,2012-01-10,210.47999572753906,203.0,206.0,772500.0
WLL,2012-01-11,206.24000549316406,199.9199981689453,204.36000061035156,548000.0
WLL,2012-01-12,206.0,200.63999938964844,201.24000549316406,488500.0
WLL,2012-01-13,200.0800018310547,195.55999755859375,199.24000549316406,435200.0
WLL,2012-01-17,208.0,202.32000732421875,204.0,474900.0
WLL,2012-01-18,206.0399932861328,200.47999572753906,204.8800048828125,551900.0
WLL,2012-01-19,207.9600067138672,202.27999877929688,202.8800048828125,390900.0
WLL,2012-01-20,193.9199981689453,186.1999969482422,193.32000732421875,1629800.0
WLL,2012-01-23,201.60000610351562,194.36000061035156,201.0800018310547,494300.0
WLL,2012-01-24,202.1199951171875,196.9199981689453,202.1199951171875,353800.0
WLL,2012-01-25,208.24000549316406,199.52000427246094,207.52000427246094,746700.0
WLL,2012-01-26,210.8000030517578,199.67999267578125,201.52000427246094,540700.0
WLL,2012-01-27,205.44000244140625,201.27999877929688,202.9600067138672,436200.0
WLL,2012-01-30,201.9199981689453,198.60000610351562,201.24000549316406,253500.0
WLL,2012-01-31,204.72000122070312,198.39999389648438,200.36000061035156,427600.0
WLL,2012-02-01,203.24000549316406,198.1999969482422,200.47999572753906,430900.0
WLL,2012-02-02,201.75999450683594,195.0399932861328,195.47999572753906,630500.0
WLL,2012-02-03,198.8800048828125,194.63999938964844,198.0,600400.0
WLL,2012-02-06,202.39999389648438,195.32000732421875,202.0399932861328,462400.0
WLL,2012-02-07,206.27999877929688,195.67999267578125,205.39999389648438,981700.0
WLL,2012-02-08,215.44000244140625,206.27999877929688,211.52000427246094,1119400.0
WLL,2012-02-09,215.9199981689453,208.24000549316406,212.36000061035156,775600.0
WLL,2012-02-10,210.0800018310547,201.0399932861328,203.55999755859375,853600.0
WLL,2012-02-13,208.63999938964844,203.60000610351562,207.72000122070312,472300.0
WLL,2012-02-14,215.55999755859375,207.16000366210938,211.60000610351562,488100.0
WLL,2012-02-15,216.52000427246094,211.0,212.24000549316406,395700.0
WLL,2012-02-16,220.52000427246094,209.16000366210938,219.52000427246094,528200.0
WLL,2012-02-17,223.27999877929688,216.24000549316406,220.63999938964844,379600.0
WLL,2012-02-21,231.0,222.24000549316406,226.9199981689453,632800.0
WLL,2012-02-22,228.16000366210938,223.32000732421875,226.24000549316406,573900.0
WLL,2012-02-23,240.67999267578125,230.0399932861328,239.72000122070312,1169100.0
WLL,2012-02-24,255.8800048828125,240.60000610351562,249.8800048828125,1312600.0
WLL,2012-02-27,251.36000061035156,241.39999389648438,246.63999938964844,873400.0
WLL,2012-02-28,245.9600067138672,238.8000030517578,239.75999450683594,571500.0
WLL,2012-02-29,240.8000030517578,233.1999969482422,234.55999755859375,732800.0
WLL,2012-03-01,242.60000610351562,233.72000122070312,238.67999267578125,592800.0
WLL,2012-03-02,239.39999389648438,229.63999938964844,231.8000030517578,491600.0
WLL,2012-03-05,231.24000549316406,224.9600067138672,229.32000732421875,341300.0
WLL,2012-03-06,225.39999389648438,218.0399932861328,222.39999389648438,601900.0
WLL,2012-03-07,228.32000732421875,221.72000122070312,226.8800048828125,432800.0
WLL,2012-03-08,232.0800018310547,225.16000366210938,230.8800048828125,310600.0
WLL,2012-03-09,233.83999633789062,228.0800018310547,229.1999969482422,350700.0
WLL,2012-03-12,227.83999633789062,222.8800048828125,225.1199951171875,372600.0
WLL,2012-03-13,228.39999389648438,221.75999450683594,228.1199951171875,583400.0
WLL,2012-03-14,232.47999572753906,226.0399932861328,228.63999938964844,469300.0
WLL,2012-03-15,232.27999877929688,226.47999572753906,230.1199951171875,308000.0
WLL,2012-03-16,238.27999877929688,230.16000366210938,237.39999389648438,459800.0
WLL,2012-03-19,238.8800048828125,235.0,236.9600067138672,393600.0
WLL,2012-03-20,233.8000030517578,226.60000610351562,228.55999755859375,314500.0
WLL,2012-03-21,229.0800018310547,223.52000427246094,226.44000244140625,432700.0
WLL,2012-03-22,223.67999267578125,216.36000061035156,218.47999572753906,564000.0
WLL,2012-03-23,225.9600067138672,216.60000610351562,224.8800048828125,506200.0
WLL,2012-03-26,229.60000610351562,224.9600067138672,226.47999572753906,356100.0
WLL,2012-03-27,228.63999938964844,220.0,220.0399932861328,400500.0
WLL,2012-03-28,220.36000061035156,212.0,214.32000732421875,453100.0
WLL,2012-03-29,217.27999877929688,211.44000244140625,217.0,445200.0
WLL,2012-03-30,219.63999938964844,213.8800048828125,217.1999969482422,369300.0
WLL,2012-04-02,222.67999267578125,214.60000610351562,220.47999572753906,514900.0
WLL,2012-04-03,220.8800048828125,216.83999633789062,219.47999572753906,245000.0
WLL,2012-04-04,217.67999267578125,210.8000030517578,212.52000427246094,431400.0
WLL,2012-04-05,216.1999969482422,210.39999389648438,211.67999267578125,233700.0
WLL,2012-04-09,211.44000244140625,204.0,209.8000030517578,290900.0
WLL,2012-04-10,212.67999267578125,203.83999633789062,204.67999267578125,406700.0
WLL,2012-04-11,208.8000030517578,201.60000610351562,202.0,409700.0
WLL,2012-04-12,210.27999877929688,203.1999969482422,209.16000366210938,451300.0
WLL,2012-04-13,210.32000732421875,205.1199951171875,208.67999267578125,375400.0
WLL,2012-04-16,212.0,203.8000030517578,206.0800018310547,376600.0
WLL,2012-04-17,215.83999633789062,208.27999877929688,213.36000061035156,477800.0
WLL,2012-04-18,215.75999450683594,210.72000122070312,214.1999969482422,452900.0
WLL,2012-04-19,220.83999633789062,214.60000610351562,216.9199981689453,396700.0
WLL,2012-04-20,221.44000244140625,214.83999633789062,214.8800048828125,310200.0
WLL,2012-04-23,215.1199951171875,206.55999755859375,214.0,378700.0
WLL,2012-04-24,217.0,211.24000549316406,215.63999938964844,313800.0
WLL,2012-04-25,224.47999572753906,216.44000244140625,223.63999938964844,687900.0
WLL,2012-04-26,228.44000244140625,218.0,224.44000244140625,566200.0
WLL,2012-04-27,228.63999938964844,223.47999572753906,227.16000366210938,415100.0
WLL,2012-04-30,229.72000122070312,224.72000122070312,228.8000030517578,378800.0
