,,high,low,adjclose,volume
WLTW,2012-01-03,104.10595703125,102.54304504394531,93.320556640625,275300.0
WLTW,2012-01-04,102.96688842773438,101.88079833984375,92.79141998291016,268500.0
WLTW,2012-01-05,104.052978515625,101.08609008789062,94.40290069580078,307100.0
WLTW,2012-01-06,104.10595703125,102.83443450927734,93.60917663574219,305400.0
WLTW,2012-01-09,103.49668884277344,101.66887664794922,92.81548309326172,458600.0
WLTW,2012-01-10,103.52317810058594,102.27814483642578,93.77754974365234,330100.0
WLTW,2012-01-11,103.47019958496094,101.74834442138672,93.320556640625,222400.0
WLTW,2012-01-12,103.2317886352539,102.22516632080078,92.98385620117188,179300.0
WLTW,2012-01-13,102.51655578613281,101.37748718261719,93.03194427490234,269700.0
WLTW,2012-01-17,102.94039916992188,101.66887664794922,92.59900665283203,237200.0
WLTW,2012-01-18,102.96688842773438,101.29801177978516,93.48892211914062,206200.0
WLTW,2012-01-19,105.16556549072266,101.93377685546875,92.74333953857422,236600.0
WLTW,2012-01-20,102.33112335205078,101.58940124511719,92.31039428710938,344000.0
WLTW,2012-01-23,101.88079833984375,100.29138946533203,92.04581451416016,381700.0
WLTW,2012-01-24,103.1788101196289,101.13907623291016,93.36866760253906,266400.0
WLTW,2012-01-25,103.41722106933594,102.11920166015625,93.80158996582031,528700.0
WLTW,2012-01-26,104.26490020751953,102.59602355957031,93.56106567382812,278600.0
WLTW,2012-01-27,103.2317886352539,101.96026611328125,93.1521987915039,263000.0
WLTW,2012-01-30,102.91390991210938,101.69536590576172,93.03194427490234,430900.0
WLTW,2012-01-31,104.052978515625,102.38410949707031,93.48892211914062,345100.0
WLTW,2012-02-01,105.40397644042969,103.3112564086914,95.0282211303711,532800.0
WLTW,2012-02-02,105.56291198730469,104.0,95.00418090820312,236100.0
WLTW,2012-02-03,105.40397644042969,103.2052993774414,94.42693328857422,329100.0
WLTW,2012-02-06,105.00662231445312,102.96688842773438,94.40290069580078,179000.0
WLTW,2012-02-07,103.76158905029297,103.07284545898438,93.92185974121094,477900.0
WLTW,2012-02-08,104.52980041503906,103.2052993774414,94.7155532836914,411400.0
WLTW,2012-02-09,104.7152328491211,103.60264587402344,95.00418090820312,139300.0
WLTW,2012-02-10,104.26490020751953,101.53642272949219,93.89778900146484,136300.0
WLTW,2012-02-13,104.6357650756836,103.3377456665039,94.23452758789062,252600.0
WLTW,2012-02-14,103.3642349243164,101.96026611328125,93.00788879394531,268300.0
