,,high,low,adjclose,volume
WSO,2012-01-03,70.43000030517578,66.12000274658203,53.465023040771484,304400.0
WSO,2012-01-04,67.20999908447266,65.94000244140625,53.9010124206543,211100.0
WSO,2012-01-05,68.08000183105469,65.7699966430664,54.89407730102539,168900.0
WSO,2012-01-06,68.16000366210938,67.01000213623047,54.58729934692383,129800.0
WSO,2012-01-09,67.75,66.62000274658203,54.2966423034668,416300.0
WSO,2012-01-10,68.25,67.18000030517578,54.93447494506836,171000.0
WSO,2012-01-11,68.75,67.18000030517578,55.814456939697266,261100.0
WSO,2012-01-12,68.9000015258789,67.9000015258789,55.43965530395508,144400.0
WSO,2012-01-13,68.0,67.30000305175781,55.2603874206543,150500.0
WSO,2012-01-17,68.88999938964844,67.62999725341797,55.4233512878418,187800.0
WSO,2012-01-18,67.47000122070312,66.38999938964844,54.600372314453125,324400.0
WSO,2012-01-19,68.8499984741211,66.81999969482422,55.781856536865234,276400.0
WSO,2012-01-20,68.41000366210938,66.83999633789062,54.83668899536133,212300.0
WSO,2012-01-23,68.31999969482422,66.93000030517578,55.02410125732422,171500.0
WSO,2012-01-24,68.88999938964844,67.0,55.87149429321289,229000.0
WSO,2012-01-25,69.8499984741211,68.25,56.75149154663086,210500.0
WSO,2012-01-26,70.70999908447266,69.45999908447266,56.77591323852539,308300.0
WSO,2012-01-27,70.08999633789062,69.30999755859375,56.79222106933594,195600.0
WSO,2012-01-30,69.7699966430664,68.58000183105469,56.57221984863281,207000.0
WSO,2012-01-31,69.97000122070312,68.61000061035156,56.19742965698242,395400.0
WSO,2012-02-01,70.41000366210938,69.18000030517578,57.281105041503906,247700.0
WSO,2012-02-02,71.16000366210938,69.87999725341797,56.97148513793945,205200.0
WSO,2012-02-03,72.58999633789062,70.52999877929688,58.45441818237305,195400.0
WSO,2012-02-06,72.23999786376953,71.05000305175781,58.299625396728516,123200.0
WSO,2012-02-07,71.58999633789062,70.5999984741211,57.77815628051758,164100.0
WSO,2012-02-08,71.2300033569336,69.87999725341797,57.77815628051758,266500.0
WSO,2012-02-09,71.63999938964844,70.66999816894531,58.161109924316406,145600.0
WSO,2012-02-10,71.25,70.25,57.460357666015625,111800.0
WSO,2012-02-13,72.19999694824219,70.98999786376953,58.61738967895508,231500.0
WSO,2012-02-14,72.27999877929688,71.27999877929688,58.82923126220703,302100.0
WSO,2012-02-15,74.12999725341797,71.05000305175781,59.562583923339844,563400.0
WSO,2012-02-16,73.58000183105469,70.48999786376953,59.43220138549805,368500.0
WSO,2012-02-17,73.52999877929688,72.68000030517578,59.26924133300781,235700.0
WSO,2012-02-21,73.58999633789062,72.18000030517578,59.11444091796875,129400.0
WSO,2012-02-22,72.83000183105469,71.2300033569336,58.37294387817383,196600.0
WSO,2012-02-23,73.06999969482422,71.72000122070312,59.43220138549805,244400.0
WSO,2012-02-24,73.19999694824219,72.4800033569336,59.171478271484375,306000.0
WSO,2012-02-27,73.33000183105469,71.45999908447266,59.08185577392578,155600.0
WSO,2012-02-28,72.68000030517578,71.16000366210938,58.54408264160156,132000.0
WSO,2012-02-29,72.9800033569336,71.38999938964844,58.16926193237305,236800.0
WSO,2012-03-01,72.66000366210938,71.30999755859375,58.56035232543945,241000.0
WSO,2012-03-02,73.04000091552734,71.44000244140625,58.438148498535156,258700.0
WSO,2012-03-05,72.16999816894531,71.19999694824219,58.698875427246094,159500.0
WSO,2012-03-06,71.41000366210938,69.55999755859375,56.81667709350586,181500.0
WSO,2012-03-07,70.72000122070312,69.44000244140625,57.45220947265625,152800.0
WSO,2012-03-08,71.13999938964844,69.97000122070312,57.232234954833984,315900.0
WSO,2012-03-09,71.2699966430664,69.97000122070312,57.859642028808594,224400.0
WSO,2012-03-12,72.12999725341797,71.01000213623047,58.54408264160156,187600.0
WSO,2012-03-13,72.8499984741211,71.54000091552734,59.350704193115234,309200.0
WSO,2012-03-14,75.63999938964844,73.05999755859375,60.74406433105469,599300.0
WSO,2012-03-15,74.79000091552734,73.29000091552734,60.38553237915039,279000.0
WSO,2012-03-16,75.47000122070312,74.0199966430664,61.086265563964844,313000.0
WSO,2012-03-19,75.47000122070312,74.18000030517578,60.55665588378906,270700.0
WSO,2012-03-20,73.93000030517578,72.36000061035156,59.43220138549805,204500.0
WSO,2012-03-21,73.44999694824219,72.48999786376953,59.6440544128418,182000.0
WSO,2012-03-22,72.6500015258789,71.20999908447266,58.72332000732422,122500.0
WSO,2012-03-23,72.94000244140625,71.36000061035156,59.36703872680664,116400.0
WSO,2012-03-26,73.77999877929688,73.30000305175781,59.96184158325195,188900.0
WSO,2012-03-27,74.11000061035156,73.36000061035156,59.83961868286133,151500.0
WSO,2012-03-28,73.62000274658203,72.55999755859375,59.96184158325195,133800.0
WSO,2012-03-29,73.97000122070312,72.80999755859375,59.945533752441406,164700.0
WSO,2012-03-30,74.56999969482422,73.56999969482422,60.3284912109375,357700.0
WSO,2012-04-02,74.20999908447266,73.2699966430664,60.369239807128906,248800.0
WSO,2012-04-03,74.61000061035156,73.5,60.68701934814453,293600.0
WSO,2012-04-04,74.4800033569336,73.62999725341797,60.39369583129883,220000.0
WSO,2012-04-05,74.48999786376953,73.97000122070312,60.37737274169922,288000.0
WSO,2012-04-09,73.91000366210938,72.69000244140625,59.953704833984375,202900.0
WSO,2012-04-10,73.91000366210938,71.47000122070312,58.804813385009766,336500.0
WSO,2012-04-11,73.31999969482422,71.9000015258789,58.91072463989258,272600.0
