,,high,low,adjclose,volume
WYND,2012-01-03,17.562076568603516,16.51015853881836,14.033275604248047,10890900.0
WYND,2012-01-04,16.830699920654297,16.370203018188477,13.827009201049805,6873300.0
WYND,2012-01-05,16.898420333862305,16.44243812561035,14.003268241882324,5538300.0
WYND,2012-01-06,17.065462112426758,16.758464813232422,14.115777015686035,3106300.0
WYND,2012-01-09,17.358917236328125,17.006771087646484,14.314537048339844,4284600.0
WYND,2012-01-10,17.616252899169922,17.331829071044922,14.445795059204102,5299100.0
WYND,2012-01-11,17.611738204956055,17.313770294189453,14.610803604125977,2667900.0
WYND,2012-01-12,17.87358856201172,17.435665130615234,14.813315391540527,3108900.0
WYND,2012-01-13,17.864559173583984,17.55304718017578,14.655804634094238,3596200.0
WYND,2012-01-17,17.91873550415039,17.562076568603516,14.62955379486084,3662500.0
WYND,2012-01-18,17.83747100830078,17.548532485961914,14.787062644958496,2749400.0
WYND,2012-01-19,18.054176330566406,17.923250198364258,14.955821990966797,3868900.0
WYND,2012-01-20,18.040632247924805,17.93679428100586,14.9633207321167,5292700.0
WYND,2012-01-23,18.09480857849121,17.914220809936523,14.959576606750488,5652900.0
WYND,2012-01-24,18.30248260498047,17.87358856201172,15.139580726623535,5830100.0
WYND,2012-01-25,18.388261795043945,18.045146942138672,15.222089767456055,3142400.0
WYND,2012-01-26,18.604965209960938,18.139955520629883,15.090832710266113,4867600.0
WYND,2012-01-27,18.171558380126953,17.923250198364258,14.97082805633545,4531800.0
WYND,2012-01-30,18.15801429748535,17.756208419799805,14.989575386047363,3108500.0
WYND,2012-01-31,18.19413185119629,17.91873550415039,14.910818099975586,3331300.0
WYND,2012-02-01,18.41083526611328,18.099323272705078,15.210833549499512,4058500.0
WYND,2012-02-02,18.392776489257812,18.06320571899414,15.139580726623535,2909100.0
WYND,2012-02-03,18.785552978515625,18.338600158691406,15.555856704711914,3193800.0
WYND,2012-02-06,18.753950119018555,18.528217315673828,15.450850486755371,2679000.0
WYND,2012-02-07,18.722347259521484,18.388261795043945,15.349594116210938,4734700.0
WYND,2012-02-08,19.611738204956055,18.677200317382812,16.283397674560547,10042800.0
WYND,2012-02-09,20.16252899169922,19.68397331237793,16.602163314819336,8379700.0
WYND,2012-02-10,20.027088165283203,19.73363494873047,16.557159423828125,4277600.0
WYND,2012-02-13,20.076749801635742,19.846500396728516,16.602163314819336,4723400.0
WYND,2012-02-14,19.95033836364746,19.611738204956055,16.38089942932129,4356400.0
WYND,2012-02-15,19.851015090942383,19.345373153686523,16.122135162353516,5201000.0
WYND,2012-02-16,19.647855758666992,19.30022621154785,16.3059024810791,4400300.0
WYND,2012-02-17,19.88713264465332,19.724605560302734,16.49715232849121,3610200.0
WYND,2012-02-21,20.045146942138672,19.792325973510742,16.48965835571289,4298200.0
WYND,2012-02-22,19.909706115722656,19.670429229736328,16.384653091430664,3847800.0
WYND,2012-02-23,19.769752502441406,19.60270881652832,16.38089942932129,2735300.0
WYND,2012-02-24,19.98194122314453,19.751693725585938,16.508413314819336,2244200.0
WYND,2012-02-27,19.90519142150879,19.534988403320312,16.395898818969727,2853100.0
WYND,2012-02-28,20.103837966918945,19.760723114013672,16.61341667175293,3759900.0
WYND,2012-02-29,20.103837966918945,19.792325973510742,16.49715232849121,6767200.0
WYND,2012-03-01,20.225732803344727,19.972911834716797,16.714672088623047,3600700.0
WYND,2012-03-02,20.279909133911133,19.864559173583984,16.572162628173828,3030300.0
WYND,2012-03-05,20.117382049560547,19.86907386779785,16.654666900634766,3410800.0
WYND,2012-03-06,19.828441619873047,19.395034790039062,16.193389892578125,4472700.0
WYND,2012-03-07,19.715576171875,19.45823860168457,16.339649200439453,2399900.0
WYND,2012-03-08,19.93679428100586,19.688488006591797,16.407154083251953,2707800.0
WYND,2012-03-09,19.972911834716797,19.711061477661133,16.557159423828125,3674900.0
WYND,2012-03-12,20.392776489257812,19.995485305786133,16.819677352905273,3951300.0
WYND,2012-03-13,20.862302780151367,20.311511993408203,17.400182723999023,5488100.0
WYND,2012-03-14,20.880361557006836,20.627538681030273,17.290870666503906,3001300.0
WYND,2012-03-15,20.835214614868164,20.514673233032227,17.166475296020508,3775000.0
WYND,2012-03-16,20.645597457885742,20.41534996032715,17.053390502929688,5086500.0
WYND,2012-03-19,20.595937728881836,20.325056076049805,17.109935760498047,4509700.0
WYND,2012-03-20,20.437923431396484,20.17607307434082,16.974233627319336,3192000.0
WYND,2012-03-21,20.47855567932129,20.288938522338867,16.99684715270996,3562800.0
WYND,2012-03-22,20.41083526611328,20.085779190063477,16.84229850769043,2692100.0
WYND,2012-03-23,20.288938522338867,19.9864559173584,16.82721710205078,2867000.0
WYND,2012-03-26,20.550790786743164,20.370203018188477,17.09485626220703,3467500.0
WYND,2012-03-27,20.8577880859375,20.5598201751709,17.17401695251465,3408200.0
WYND,2012-03-28,20.5598201751709,20.225732803344727,17.155170440673828,3065100.0
WYND,2012-03-29,20.44243812561035,20.13092613220215,17.00815773010254,2744100.0
WYND,2012-03-30,21.214447021484375,20.821670532226562,17.532121658325195,4623800.0
WYND,2012-04-02,21.404062271118164,20.893905639648438,17.750749588012695,5163100.0
WYND,2012-04-03,21.4130916595459,21.09255027770996,17.701749801635742,3239800.0
WYND,2012-04-04,21.069976806640625,20.753950119018555,17.483118057250977,2914400.0
WYND,2012-04-05,21.227991104125977,20.853273391723633,17.701749801635742,2873200.0
WYND,2012-04-09,20.90744972229004,20.704288482666016,17.373798370361328,2855700.0
