,,high,low,adjclose,volume
WYNN,2012-01-03,115.80000305175781,112.30000305175781,94.16462707519531,2032400.0
WYNN,2012-01-04,114.0,111.91999816894531,92.54521942138672,1724100.0
WYNN,2012-01-05,111.44999694824219,109.31999969482422,91.57854461669922,2247000.0
WYNN,2012-01-06,111.19000244140625,106.72000122070312,88.35626983642578,3059100.0
WYNN,2012-01-09,108.0,105.87999725341797,88.10840606689453,1567700.0
WYNN,2012-01-10,109.30000305175781,106.83999633789062,88.84375762939453,1698500.0
WYNN,2012-01-11,112.16000366210938,106.93000030517578,92.44607543945312,2586300.0
WYNN,2012-01-12,110.94000244140625,104.62000274658203,90.71927642822266,6974000.0
WYNN,2012-01-13,110.33000183105469,107.29000091552734,89.10814666748047,2641400.0
WYNN,2012-01-17,113.68000030517578,110.36000061035156,92.45433807373047,3459400.0
WYNN,2012-01-18,117.19999694824219,112.0,96.51109313964844,2978200.0
WYNN,2012-01-19,119.08000183105469,116.0,96.957275390625,2153600.0
WYNN,2012-01-20,117.76000213623047,115.18000030517578,95.40396118164062,1518800.0
WYNN,2012-01-23,119.56999969482422,115.63999938964844,96.89116668701172,2491300.0
WYNN,2012-01-24,119.30999755859375,115.76000213623047,97.88262939453125,2498200.0
WYNN,2012-01-25,121.16999816894531,117.47000122070312,99.49376678466797,2404200.0
WYNN,2012-01-26,123.2699966430664,118.3499984741211,98.4444580078125,2380200.0
WYNN,2012-01-27,120.0,118.12999725341797,98.37835693359375,1412000.0
WYNN,2012-01-30,116.56999969482422,112.16000366210938,95.3543930053711,2890700.0
WYNN,2012-01-31,117.6500015258789,114.87000274658203,95.2056655883789,1639200.0
WYNN,2012-02-01,118.83999633789062,115.81999969482422,97.28775787353516,3266400.0
WYNN,2012-02-02,120.80999755859375,117.0999984741211,99.79119873046875,4245900.0
WYNN,2012-02-03,117.2300033569336,114.38999938964844,94.99910736083984,7266100.0
WYNN,2012-02-06,114.87000274658203,112.05000305175781,93.22271728515625,3306100.0
WYNN,2012-02-07,114.44999694824219,112.5,93.09053039550781,2191200.0
WYNN,2012-02-08,114.66000366210938,112.70999908447266,94.71819305419922,2330200.0
WYNN,2012-02-09,115.30000305175781,113.20999908447266,93.85065460205078,2144400.0
WYNN,2012-02-10,114.20999908447266,112.0199966430664,93.52841186523438,1608600.0
WYNN,2012-02-13,113.25,110.0,91.34720611572266,3733800.0
WYNN,2012-02-14,111.8499984741211,109.18000030517578,92.26016998291016,2115800.0
WYNN,2012-02-15,112.73999786376953,111.05999755859375,92.4676742553711,2250300.0
WYNN,2012-02-16,112.9000015258789,110.62999725341797,93.513427734375,1680100.0
WYNN,2012-02-17,114.83999633789062,112.44999694824219,93.53004455566406,2115100.0
WYNN,2012-02-21,121.58000183105469,117.98999786376953,99.09920501708984,8347500.0
WYNN,2012-02-22,120.1500015258789,117.19000244140625,97.72142791748047,2340900.0
WYNN,2012-02-23,118.12999725341797,115.79000091552734,96.5594482421875,1894300.0
WYNN,2012-02-24,119.48999786376953,116.80000305175781,98.02021026611328,2087200.0
WYNN,2012-02-27,117.5999984741211,116.33000183105469,96.70884704589844,1933600.0
WYNN,2012-02-28,117.16000366210938,115.08999633789062,95.52198791503906,3111800.0
WYNN,2012-02-29,119.83999633789062,116.05000305175781,98.38541412353516,4508300.0
WYNN,2012-03-01,123.37999725341797,119.62000274658203,101.30692291259766,4312800.0
WYNN,2012-03-02,132.58999633789062,123.20999908447266,105.63111114501953,14143200.0
WYNN,2012-03-05,127.95999908447266,122.31999969482422,101.87960815429688,3160200.0
WYNN,2012-03-06,120.73999786376953,118.5999984741211,99.08261108398438,2390700.0
WYNN,2012-03-07,123.3499984741211,121.20999908447266,101.4812240600586,2290800.0
WYNN,2012-03-08,124.26000213623047,122.5,102.41080474853516,2101400.0
WYNN,2012-03-09,123.97000122070312,120.26000213623047,100.25286102294922,2055900.0
WYNN,2012-03-12,122.56999969482422,120.08999633789062,100.4852523803711,1851200.0
WYNN,2012-03-13,126.2300033569336,124.0199966430664,104.02094268798828,2989600.0
WYNN,2012-03-14,126.54000091552734,125.18000030517578,104.64342498779297,1716300.0
WYNN,2012-03-15,128.8300018310547,125.36000061035156,106.23699188232422,1977300.0
WYNN,2012-03-16,129.0,126.33000183105469,105.3738021850586,1859600.0
WYNN,2012-03-19,130.7100067138672,126.58000183105469,107.3076400756836,1986800.0
WYNN,2012-03-20,128.67999267578125,126.04000091552734,106.24527740478516,1818000.0
WYNN,2012-03-21,129.9499969482422,127.69999694824219,106.95905303955078,1660100.0
WYNN,2012-03-22,129.85000610351562,125.97000122070312,105.24929809570312,1356000.0
WYNN,2012-03-23,127.41000366210938,125.8499984741211,105.05011749267578,1092600.0
WYNN,2012-03-26,131.1999969482422,127.5199966430664,107.89692687988281,2763100.0
WYNN,2012-03-27,130.4600067138672,128.66000366210938,106.90926361083984,1551400.0
WYNN,2012-03-28,129.00999450683594,124.38999938964844,104.78451538085938,2171000.0
WYNN,2012-03-29,125.41999816894531,122.86000061035156,103.68896484375,1521500.0
WYNN,2012-03-30,126.56999969482422,123.7699966430664,103.64746856689453,1290000.0
WYNN,2012-04-02,127.69000244140625,124.26000213623047,104.14543914794922,1447400.0
WYNN,2012-04-03,127.0999984741211,125.02999877929688,104.31143188476562,1019100.0
WYNN,2012-04-04,125.16000366210938,123.41000366210938,102.71788787841797,1193600.0
WYNN,2012-04-05,126.37999725341797,123.44999694824219,104.52722930908203,1049700.0
WYNN,2012-04-09,125.0,122.81999969482422,103.09967041015625,1590600.0
WYNN,2012-04-10,125.94999694824219,120.75,101.3401107788086,2226400.0
WYNN,2012-04-11,126.33000183105469,123.5999984741211,103.14947509765625,1954900.0
WYNN,2012-04-12,127.86000061035156,124.66000366210938,104.8094253540039,2347400.0
WYNN,2012-04-13,126.75,124.18000030517578,104.14543914794922,1047400.0
WYNN,2012-04-16,125.6500015258789,123.18000030517578,102.39417266845703,1370700.0
WYNN,2012-04-17,125.55000305175781,123.4000015258789,103.5561752319336,1746300.0
WYNN,2012-04-18,132.47000122070312,128.47999572753906,108.12933349609375,3983100.0
WYNN,2012-04-19,131.85000610351562,129.0500030517578,107.5234375,1800100.0
WYNN,2012-04-20,130.82000732421875,128.8699951171875,107.05866241455078,1565200.0
WYNN,2012-04-23,127.37999725341797,124.72000122070312,103.95452880859375,1842800.0
WYNN,2012-04-24,125.93000030517578,124.18000030517578,103.50635528564453,1122800.0
WYNN,2012-04-25,129.17999267578125,125.83999633789062,106.98396301269531,2836900.0
WYNN,2012-04-26,134.3000030517578,127.9000015258789,111.32475280761719,3566100.0
