,,high,low,adjclose,volume
XEL,2012-01-03,27.93000030517578,27.219999313354492,20.767141342163086,3734100.0
XEL,2012-01-04,27.479999542236328,27.15999984741211,20.630413055419922,1919000.0
XEL,2012-01-05,27.350000381469727,26.969999313354492,20.7215633392334,2125100.0
XEL,2012-01-06,27.280000686645508,27.100000381469727,20.660797119140625,1454500.0
XEL,2012-01-09,27.260000228881836,27.040000915527344,20.675989151000977,1396800.0
XEL,2012-01-10,27.59000015258789,27.350000381469727,20.843097686767578,2602500.0
XEL,2012-01-11,27.479999542236328,27.079999923706055,20.577247619628906,2688300.0
XEL,2012-01-12,27.18000030517578,26.649999618530273,20.27341079711914,3898800.0
XEL,2012-01-13,26.760000228881836,26.15999984741211,20.31898307800293,3162300.0
XEL,2012-01-17,27.079999923706055,26.56999969482422,20.281002044677734,3646100.0
XEL,2012-01-18,26.850000381469727,26.600000381469727,20.372154235839844,2197000.0
XEL,2012-01-19,26.799999237060547,26.549999237060547,20.19745445251465,2522800.0
XEL,2012-01-20,26.709999084472656,26.530000686645508,20.205047607421875,4325700.0
XEL,2012-01-23,26.770000457763672,26.530000686645508,20.205047607421875,2988300.0
XEL,2012-01-24,26.520000457763672,26.399999618530273,20.144277572631836,1621100.0
XEL,2012-01-25,27.1200008392334,26.290000915527344,20.56964874267578,4110700.0
XEL,2012-01-26,27.600000381469727,27.219999313354492,20.820316314697266,4789000.0
XEL,2012-01-27,27.350000381469727,26.969999313354492,20.49368667602539,2856100.0
XEL,2012-01-30,26.920000076293945,26.450000762939453,20.167064666748047,4174700.0
XEL,2012-01-31,26.809999465942383,26.459999084472656,20.205047607421875,3797300.0
XEL,2012-02-01,26.809999465942383,26.549999237060547,20.205047607421875,3840000.0
XEL,2012-02-02,26.780000686645508,26.170000076293945,20.015151977539062,6171100.0
XEL,2012-02-03,26.6299991607666,26.329999923706055,20.144277572631836,2500600.0
XEL,2012-02-06,26.530000686645508,26.329999923706055,20.060726165771484,1817100.0
XEL,2012-02-07,26.639999389648438,26.1299991607666,20.174659729003906,1996900.0
XEL,2012-02-08,26.639999389648438,26.420000076293945,20.189849853515625,2564400.0
XEL,2012-02-09,26.639999389648438,26.3799991607666,20.18225860595703,1712100.0
XEL,2012-02-10,26.530000686645508,26.309999465942383,20.129085540771484,1649700.0
XEL,2012-02-13,26.639999389648438,26.440000534057617,20.08350944519043,1713300.0
XEL,2012-02-14,26.469999313354492,26.1299991607666,20.05312728881836,1848300.0
XEL,2012-02-15,26.43000030517578,26.139999389648438,19.91640281677246,2053000.0
XEL,2012-02-16,26.600000381469727,26.25,20.015151977539062,2018200.0
XEL,2012-02-17,26.5,26.280000686645508,20.022748947143555,2408500.0
XEL,2012-02-21,26.530000686645508,26.329999923706055,20.075916290283203,1785200.0
XEL,2012-02-22,26.6299991607666,26.3700008392334,20.113895416259766,2093900.0
XEL,2012-02-23,26.6200008392334,26.309999465942383,20.113895416259766,1477300.0
XEL,2012-02-24,26.610000610351562,26.360000610351562,20.113895416259766,1801300.0
XEL,2012-02-27,26.610000610351562,26.3799991607666,20.15187644958496,4392300.0
XEL,2012-02-28,26.649999618530273,26.25,20.060726165771484,2049800.0
XEL,2012-02-29,26.579999923706055,26.280000686645508,20.12149429321289,2523700.0
XEL,2012-03-01,26.579999923706055,26.270000457763672,20.045528411865234,1565700.0
XEL,2012-03-02,26.440000534057617,26.18000030517578,19.992366790771484,1755800.0
XEL,2012-03-05,26.510000228881836,26.09000015258789,20.08350944519043,1934300.0
XEL,2012-03-06,26.360000610351562,26.100000381469727,19.93919563293457,2137000.0
XEL,2012-03-07,26.360000610351562,26.09000015258789,20.015151977539062,1578700.0
XEL,2012-03-08,26.559999465942383,26.3700008392334,20.136682510375977,6043500.0
XEL,2012-03-09,26.739999771118164,26.420000076293945,20.27341079711914,7218600.0
XEL,2012-03-12,27.18000030517578,26.68000030517578,20.539264678955078,8133000.0
XEL,2012-03-13,27.190000534057617,26.950000762939453,20.607624053955078,1919900.0
XEL,2012-03-14,27.25,26.6200008392334,20.22023582458496,2773900.0
XEL,2012-03-15,26.709999084472656,26.360000610351562,20.045528411865234,4243900.0
XEL,2012-03-16,26.530000686645508,26.110000610351562,20.05312728881836,5717100.0
XEL,2012-03-19,26.489999771118164,26.209999084472656,19.923994064331055,3290900.0
XEL,2012-03-20,26.309999465942383,25.920000076293945,20.184843063354492,2559200.0
XEL,2012-03-21,26.450000762939453,26.200000762939453,20.154155731201172,1733100.0
XEL,2012-03-22,26.280000686645508,26.010000228881836,20.146482467651367,1685700.0
XEL,2012-03-23,26.260000228881836,26.139999389648438,20.085111618041992,1479400.0
XEL,2012-03-26,26.479999542236328,26.15999984741211,20.230876922607422,2121500.0
XEL,2012-03-27,26.530000686645508,26.350000381469727,20.30759620666504,1603700.0
XEL,2012-03-28,26.56999969482422,26.139999389648438,20.169498443603516,1833600.0
XEL,2012-03-29,26.389999389648438,25.979999542236328,20.238550186157227,2177200.0
XEL,2012-03-30,26.540000915527344,26.34000015258789,20.30759620666504,2318600.0
XEL,2012-04-02,26.719999313354492,26.260000228881836,20.391986846923828,2183500.0
XEL,2012-04-03,26.760000228881836,26.510000228881836,20.53008460998535,3830000.0
XEL,2012-04-04,26.719999313354492,26.469999313354492,20.43034553527832,2057800.0
XEL,2012-04-05,26.559999465942383,26.219999313354492,20.315269470214844,2333100.0
XEL,2012-04-09,26.450000762939453,26.149999618530273,20.246217727661133,2596700.0
XEL,2012-04-10,26.290000915527344,26.010000228881836,19.993045806884766,2920300.0
XEL,2012-04-11,26.280000686645508,25.950000762939453,19.947006225585938,4057700.0
XEL,2012-04-12,26.18000030517578,25.889999389648438,20.062091827392578,2021900.0
XEL,2012-04-13,26.309999465942383,26.020000457763672,19.962356567382812,4265200.0
XEL,2012-04-16,26.450000762939453,26.059999465942383,20.246217727661133,2086200.0
XEL,2012-04-17,26.56999969482422,26.260000228881836,20.33827781677246,1945900.0
XEL,2012-04-18,26.610000610351562,26.360000610351562,20.230876922607422,1849300.0
XEL,2012-04-19,26.479999542236328,26.190000534057617,20.184843063354492,2490700.0
XEL,2012-04-20,26.760000228881836,26.3799991607666,20.53008460998535,3076100.0
XEL,2012-04-23,26.68000030517578,26.469999313354492,20.330612182617188,2473100.0
XEL,2012-04-24,26.739999771118164,26.5,20.491718292236328,1953400.0
XEL,2012-04-25,26.950000762939453,26.6299991607666,20.660499572753906,2387700.0
XEL,2012-04-26,27.020000457763672,26.709999084472656,20.675846099853516,2059800.0
XEL,2012-04-27,27.1200008392334,26.8700008392334,20.767913818359375,2352300.0
XEL,2012-04-30,27.1299991607666,26.809999465942383,20.760238647460938,2387000.0
XEL,2012-05-01,27.239999771118164,26.950000762939453,20.760238647460938,2252100.0
XEL,2012-05-02,27.040000915527344,26.75,20.64515495300293,2462800.0
XEL,2012-05-03,27.190000534057617,26.8799991607666,20.64515495300293,2302300.0
XEL,2012-05-04,27.149999618530273,26.850000381469727,20.698863983154297,2195500.0
XEL,2012-05-07,27.020000457763672,26.850000381469727,20.660499572753906,1532100.0
XEL,2012-05-08,27.34000015258789,26.770000457763672,20.936697006225586,4902300.0
XEL,2012-05-09,27.31999969482422,27.06999969482422,20.8523006439209,2706300.0
XEL,2012-05-10,27.6200008392334,27.219999313354492,21.097803115844727,2373800.0
XEL,2012-05-11,27.709999084472656,27.350000381469727,21.097803115844727,1500300.0
XEL,2012-05-14,27.739999771118164,27.329999923706055,21.090137481689453,2244900.0
XEL,2012-05-15,27.40999984741211,27.040000915527344,20.844627380371094,2126100.0
XEL,2012-05-16,27.540000915527344,27.079999923706055,21.059450149536133,3251500.0
XEL,2012-05-17,27.5,27.209999084472656,20.906003952026367,2596500.0
XEL,2012-05-18,27.540000915527344,27.209999084472656,20.913677215576172,2575000.0
XEL,2012-05-21,27.360000610351562,27.020000457763672,20.959705352783203,1979400.0
XEL,2012-05-22,27.829999923706055,27.31999969482422,21.32796287536621,3803800.0
XEL,2012-05-23,27.889999389648438,27.549999237060547,21.251243591308594,3133200.0
XEL,2012-05-24,27.989999771118164,27.600000381469727,21.3126163482666,1824400.0
XEL,2012-05-25,27.940000534057617,27.700000762939453,21.32796287536621,1569300.0
XEL,2012-05-29,27.889999389648438,27.690000534057617,21.38166618347168,2318700.0
XEL,2012-05-30,27.940000534057617,27.510000228881836,21.17452049255371,2545200.0
XEL,2012-05-31,28.1200008392334,27.6299991607666,21.496746063232422,3627500.0
XEL,2012-06-01,28.09000015258789,27.690000534057617,21.450712203979492,4944900.0
XEL,2012-06-04,28.1299991607666,27.899999618530273,21.57346534729004,3364700.0
XEL,2012-06-05,28.399999618530273,27.940000534057617,21.696210861206055,3348600.0
XEL,2012-06-06,28.559999465942383,28.18000030517578,21.89568519592285,2088500.0
XEL,2012-06-07,28.75,28.360000610351562,21.795949935913086,9658800.0
XEL,2012-06-08,28.469999313354492,28.15999984741211,21.811288833618164,9511500.0
XEL,2012-06-11,28.799999237060547,28.40999984741211,21.9186954498291,9478600.0
XEL,2012-06-12,28.649999618530273,28.270000457763672,21.811288833618164,3333500.0
XEL,2012-06-13,28.59000015258789,28.25,21.834306716918945,2429600.0
XEL,2012-06-14,28.780000686645508,28.479999542236328,22.056793212890625,2029200.0
XEL,2012-06-15,28.950000762939453,28.739999771118164,22.148860931396484,3033500.0
XEL,2012-06-18,29.1200008392334,28.760000228881836,22.26393699645996,4065900.0
XEL,2012-06-19,28.920000076293945,28.56999969482422,22.186494827270508,3276800.0
XEL,2012-06-20,28.68000030517578,28.100000381469727,21.799293518066406,3113000.0
XEL,2012-06-21,28.40999984741211,27.829999923706055,21.566980361938477,4052900.0
XEL,2012-06-22,27.989999771118164,27.760000228881836,21.58246612548828,3045300.0
XEL,2012-06-25,27.899999618530273,27.6200008392334,21.566980361938477,3136400.0
XEL,2012-06-26,27.959999084472656,27.670000076293945,21.51276969909668,2769500.0
XEL,2012-06-27,28.09000015258789,27.790000915527344,21.70636749267578,2162600.0
XEL,2012-06-28,28.06999969482422,27.75,21.72960090637207,2756300.0
XEL,2012-06-29,28.59000015258789,28.239999771118164,22.000640869140625,4709900.0
XEL,2012-07-02,28.850000381469727,28.360000610351562,22.248451232910156,3259100.0
XEL,2012-07-03,28.899999618530273,28.610000610351562,22.24070167541504,1647100.0
XEL,2012-07-05,28.760000228881836,28.559999465942383,22.178754806518555,1727500.0
XEL,2012-07-06,28.68000030517578,28.34000015258789,22.14003562927246,1864000.0
XEL,2012-07-09,28.75,28.469999313354492,22.186494827270508,3428800.0
XEL,2012-07-10,28.799999237060547,28.56999969482422,22.178754806518555,1934800.0
XEL,2012-07-11,28.81999969482422,28.559999465942383,22.302658081054688,2155300.0
XEL,2012-07-12,28.860000610351562,28.579999923706055,22.271678924560547,2594900.0
XEL,2012-07-13,28.979999542236328,28.729999542236328,22.37234878540039,2719000.0
XEL,2012-07-16,28.979999542236328,28.790000915527344,22.36461067199707,2034000.0
XEL,2012-07-17,29.079999923706055,28.780000686645508,22.488506317138672,2511500.0
