,,high,low,adjclose,volume
Y,2012-01-03,287.9700012207031,284.8599853515625,280.063232421875,75100.0
Y,2012-01-04,286.3999938964844,284.5799865722656,280.2008972167969,26800.0
Y,2012-01-05,285.9200134277344,281.510009765625,281.10540771484375,21400.0
Y,2012-01-06,286.45001220703125,283.6600036621094,281.6264953613281,85200.0
Y,2012-01-09,286.45001220703125,284.2099914550781,280.1517333984375,15200.0
Y,2012-01-10,286.95001220703125,284.70001220703125,281.1840515136719,39100.0
Y,2012-01-11,286.79998779296875,285.7900085449219,281.6461486816406,25100.0
Y,2012-01-12,287.3999938964844,285.6099853515625,281.46917724609375,29900.0
Y,2012-01-13,289.3500061035156,283.0299987792969,279.4635314941406,35100.0
Y,2012-01-17,286.2200012207031,284.95001220703125,281.1840515136719,38800.0
Y,2012-01-18,286.6600036621094,285.0299987792969,281.83294677734375,27400.0
Y,2012-01-19,286.5,285.3900146484375,281.1840515136719,28000.0
Y,2012-01-20,286.3399963378906,285.5199890136719,281.4298400878906,47000.0
Y,2012-01-23,287.4700012207031,285.57000732421875,282.6194763183594,75700.0
Y,2012-01-24,287.2300109863281,285.8599853515625,282.1672058105469,47300.0
Y,2012-01-25,287.239990234375,286.32000732421875,282.2261962890625,53000.0
Y,2012-01-26,287.5299987792969,286.92999267578125,282.1672058105469,110200.0
Y,2012-01-27,288.3900146484375,285.20001220703125,283.19952392578125,40500.0
Y,2012-01-30,287.8900146484375,285.3699951171875,282.1672058105469,43900.0
Y,2012-01-31,290.3999938964844,287.0,284.4776611328125,50200.0
Y,2012-02-01,296.7699890136719,288.8999938964844,290.5535888671875,88000.0
Y,2012-02-02,298.70001220703125,296.1700134277344,293.67022705078125,62100.0
Y,2012-02-03,303.5299987792969,297.8399963378906,298.4188537597656,106600.0
Y,2012-02-06,302.8399963378906,299.32000732421875,297.1604309082031,92900.0
Y,2012-02-07,306.4800109863281,301.0,300.0509033203125,33600.0
Y,2012-02-08,305.9100036621094,303.4700012207031,300.6211242675781,51500.0
Y,2012-02-09,307.9599914550781,303.6000061035156,301.958251953125,85600.0
Y,2012-02-10,306.6700134277344,304.5199890136719,300.8472900390625,35800.0
Y,2012-02-13,308.1000061035156,305.17999267578125,301.49615478515625,16400.0
Y,2012-02-14,306.9200134277344,302.8999938964844,298.5073547363281,19300.0
Y,2012-02-15,304.760009765625,302.05999755859375,298.1632385253906,17900.0
Y,2012-02-16,303.5199890136719,299.7799987792969,295.8135070800781,27700.0
Y,2012-02-17,302.0,300.010009765625,295.93145751953125,74900.0
Y,2012-02-21,303.5,300.7799987792969,298.3893737792969,28600.0
Y,2012-02-22,305.3399963378906,299.9200134277344,295.93145751953125,60700.0
Y,2012-02-23,302.5299987792969,299.67999267578125,297.4356994628906,57800.0
Y,2012-02-24,317.2300109863281,303.2099914550781,308.4471130371094,118600.0
Y,2012-02-27,320.0,309.5400085449219,314.2772521972656,99300.0
Y,2012-02-28,323.0,308.8900146484375,311.42608642578125,107000.0
Y,2012-02-29,326.55999755859375,318.8999938964844,319.17340087890625,206500.0
Y,2012-03-01,324.6400146484375,322.1400146484375,317.4135437011719,117000.0
Y,2012-03-02,328.989990234375,322.1600036621094,322.9684143066406,321900.0
Y,2012-03-05,330.0,319.0899963378906,319.77313232421875,2132600.0
Y,2012-03-06,324.8699951171875,321.32000732421875,317.0694274902344,141300.0
Y,2012-03-07,325.0,315.4200134277344,312.5567321777344,146500.0
Y,2012-03-08,323.30999755859375,317.010009765625,317.86578369140625,91700.0
Y,2012-03-09,330.6099853515625,322.0,325.0428466796875,209900.0
Y,2012-03-12,331.79998779296875,324.1000061035156,326.21282958984375,164800.0
Y,2012-03-13,331.260009765625,323.239990234375,323.9613952636719,298900.0
Y,2012-03-14,330.0,326.8500061035156,324.4431457519531,125500.0
Y,2012-03-15,338.95001220703125,329.0,333.0949401855469,138500.0
Y,2012-03-16,335.9800109863281,330.010009765625,325.8785400390625,248600.0
Y,2012-03-19,331.3399963378906,327.5,325.0821838378906,107500.0
Y,2012-03-20,332.3500061035156,328.260009765625,326.0162048339844,138900.0
Y,2012-03-21,333.6000061035156,328.9599914550781,323.420654296875,67200.0
Y,2012-03-22,329.0799865722656,324.8599853515625,322.79144287109375,58500.0
Y,2012-03-23,330.6099853515625,326.489990234375,323.8630676269531,79100.0
Y,2012-03-26,334.1600036621094,328.0199890136719,327.5597839355469,140300.0
Y,2012-03-27,334.3399963378906,329.6099853515625,325.4951171875,41200.0
Y,2012-03-28,333.1099853515625,327.8900146484375,325.59344482421875,64900.0
Y,2012-03-29,331.8299865722656,325.95001220703125,325.56396484375,101100.0
Y,2012-03-30,333.0,329.1000061035156,323.55828857421875,99500.0
Y,2012-04-02,334.79998779296875,329.3900146484375,325.7998962402344,75900.0
Y,2012-04-03,335.7799987792969,330.1300048828125,329.8898620605469,115100.0
Y,2012-04-04,336.75,333.2699890136719,328.39544677734375,68500.0
Y,2012-04-05,335.7799987792969,331.75,329.1918029785156,51800.0
Y,2012-04-09,333.5299987792969,329.6000061035156,326.5176086425781,72000.0
Y,2012-04-10,332.0799865722656,327.510009765625,323.28302001953125,51500.0
Y,2012-04-11,333.6000061035156,328.739990234375,327.19598388671875,48300.0
Y,2012-04-12,337.0400085449219,332.4200134277344,331.3645935058594,33800.0
Y,2012-04-13,338.3900146484375,331.8500061035156,326.2619934082031,52900.0
Y,2012-04-16,336.44000244140625,331.7799987792969,328.47412109375,82300.0
Y,2012-04-17,339.79998779296875,335.70001220703125,332.41656494140625,49400.0
Y,2012-04-18,337.1300048828125,334.6099853515625,330.94183349609375,42900.0
Y,2012-04-19,338.94000244140625,334.1000061035156,331.8561706542969,33300.0
Y,2012-04-20,339.1099853515625,334.7300109863281,329.83087158203125,28000.0
Y,2012-04-23,337.3399963378906,328.6600036621094,330.7255554199219,71600.0
Y,2012-04-24,339.4700012207031,334.9700012207031,332.90814208984375,39900.0
Y,2012-04-25,340.9800109863281,338.05999755859375,333.4390563964844,35700.0
Y,2012-04-26,341.0,336.5799865722656,334.550048828125,50700.0
Y,2012-04-27,341.8800048828125,337.79998779296875,335.6020202636719,46300.0
Y,2012-04-30,344.2200012207031,339.4700012207031,337.12591552734375,54000.0
Y,2012-05-01,346.70001220703125,341.6199951171875,338.2073974609375,30100.0
Y,2012-05-02,345.6099853515625,339.6700134277344,337.25372314453125,36000.0
Y,2012-05-03,344.989990234375,340.010009765625,334.8646545410156,46000.0
Y,2012-05-04,342.989990234375,335.5199890136719,332.3182678222656,42000.0
Y,2012-05-07,339.5799865722656,334.1600036621094,333.86181640625,55000.0
Y,2012-05-08,341.67999267578125,335.1499938964844,334.7663269042969,58100.0
Y,2012-05-09,343.3399963378906,336.2200012207031,333.5865173339844,59000.0
Y,2012-05-10,343.1400146484375,339.6600036621094,334.9137878417969,35300.0
Y,2012-05-11,342.17999267578125,334.04998779296875,335.5725402832031,29000.0
Y,2012-05-14,340.4100036621094,336.8900146484375,332.65252685546875,23500.0
Y,2012-05-15,339.6099853515625,334.79998779296875,330.1847839355469,56000.0
Y,2012-05-16,337.9200134277344,327.5,321.9852294921875,63600.0
Y,2012-05-17,330.1499938964844,326.6400146484375,321.7787780761719,63400.0
Y,2012-05-18,328.7900085449219,322.9700012207031,321.49365234375,73700.0
Y,2012-05-21,327.3599853515625,323.1199951171875,319.1832275390625,74500.0
Y,2012-05-22,326.4800109863281,324.29998779296875,320.8349304199219,57000.0
Y,2012-05-23,327.989990234375,323.1099853515625,322.08355712890625,52000.0
Y,2012-05-24,333.0,325.8299865722656,327.3926086425781,44900.0
Y,2012-05-25,333.0,329.0,323.9515686035156,44400.0
Y,2012-05-29,332.3900146484375,328.3599853515625,323.82373046875,41300.0
Y,2012-05-30,330.3500061035156,327.1000061035156,323.4599914550781,39200.0
Y,2012-05-31,329.0,324.2900085449219,323.4599914550781,76900.0
Y,2012-06-01,327.8399963378906,322.8699951171875,318.44586181640625,54400.0
Y,2012-06-04,329.4100036621094,319.0799865722656,315.3783874511719,37100.0
