,,high,low,adjclose,volume
ZBH,2017-11-01,117.12999725341797,110.79000091552734,113.65001678466797,4570000.0
ZBH,2017-11-02,115.16000366210938,111.29000091552734,110.9146728515625,3478300.0
ZBH,2017-11-03,111.0,108.54000091552734,107.88308715820312,3918700.0
ZBH,2017-11-06,110.5199966430664,108.94999694824219,107.97196197509766,2481200.0
ZBH,2017-11-07,,,,
ZBH,2017-11-08,,,,
ZBH,2017-11-09,,,,
ZBH,2017-11-10,,,,
ZBH,2017-11-13,,,,
ZBH,2017-11-14,,,,
ZBH,2017-11-15,,,,
ZBH,2017-11-16,,,,
ZBH,2017-11-17,,,,
ZBH,2017-11-20,,,,
ZBH,2017-11-21,,,,
ZBH,2017-11-22,,,,
ZBH,2017-11-24,,,,
ZBH,2017-11-27,,,,
ZBH,2017-11-28,,,,
ZBH,2017-11-29,,,,
ZBH,2017-11-30,,,,
ZBH,2017-12-01,,,,
ZBH,2017-12-04,,,,
ZBH,2017-12-05,,,,
ZBH,2017-12-06,,,,
ZBH,2017-12-07,,,,
ZBH,2017-12-08,,,,
ZBH,2017-12-11,,,,
ZBH,2017-12-12,,,,
ZBH,2017-12-13,,,,
ZBH,2017-12-14,,,,
ZBH,2017-12-15,,,,
ZBH,2017-12-18,,,,
ZBH,2017-12-19,,,,
ZBH,2017-12-20,,,,
ZBH,2017-12-21,,,,
ZBH,2017-12-22,,,,
ZBH,2017-12-26,,,,
ZBH,2017-12-27,,,,
ZBH,2017-12-28,,,,
ZBH,2017-12-29,,,,
ZBH,2018-01-02,124.2699966430664,120.55999755859375,122.50778198242188,1765300.0
ZBH,2018-01-03,125.4000015258789,123.94999694824219,123.3570327758789,1328800.0
ZBH,2018-01-04,126.70999908447266,123.41000366210938,123.17928314208984,1073200.0
ZBH,2018-01-05,126.20999908447266,124.30999755859375,124.40377044677734,1063400.0
ZBH,2018-01-08,126.70999908447266,125.0999984741211,124.6407699584961,1249500.0
ZBH,2018-01-09,127.0199966430664,124.05000305175781,122.63616180419922,1999200.0
ZBH,2018-01-10,124.4000015258789,120.7699966430664,120.9969253540039,1956700.0
ZBH,2018-01-11,123.13999938964844,121.19999694824219,120.75992584228516,1304800.0
ZBH,2018-01-12,123.04000091552734,121.58000183105469,120.57231140136719,1014400.0
ZBH,2018-01-16,123.05000305175781,121.08999633789062,120.15756225585938,1396500.0
