,,high,low,adjclose,volume
ZEN,2014-05-15,13.920000076293945,11.0600004196167,13.430000305175781,8421300.0
ZEN,2014-05-16,15.75,13.4399995803833,15.25,1867700.0
ZEN,2014-05-19,17.940000534057617,15.989999771118164,16.5,1529200.0
ZEN,2014-05-20,18.170000076293945,15.670000076293945,16.950000762939453,877700.0
ZEN,2014-05-21,17.329999923706055,16.299999237060547,17.190000534057617,386800.0
ZEN,2014-05-22,17.299999237060547,15.949999809265137,16.149999618530273,1321100.0
ZEN,2014-05-23,16.459999084472656,14.800000190734863,16.360000610351562,942200.0
ZEN,2014-05-27,16.700000762939453,15.920000076293945,16.100000381469727,115700.0
ZEN,2014-05-28,18.450000762939453,16.170000076293945,17.3799991607666,501200.0
ZEN,2014-05-29,18.05900001525879,17.290000915527344,17.489999771118164,272100.0
ZEN,2014-05-30,17.899999618530273,15.829999923706055,15.979999542236328,219200.0
ZEN,2014-06-02,15.960000038146973,14.170000076293945,15.0,346100.0
ZEN,2014-06-03,16.0,14.770000457763672,15.0600004196167,293800.0
ZEN,2014-06-04,15.510000228881836,14.3100004196167,15.300000190734863,180100.0
ZEN,2014-06-05,15.619999885559082,14.729999542236328,15.220000267028809,174400.0
ZEN,2014-06-06,15.59000015258789,15.0,15.390000343322754,223100.0
ZEN,2014-06-09,17.56999969482422,14.760000228881836,17.31999969482422,438400.0
ZEN,2014-06-10,18.1200008392334,16.5,16.5,244300.0
ZEN,2014-06-11,18.75,16.229999542236328,18.489999771118164,419000.0
ZEN,2014-06-12,18.440000534057617,17.34000015258789,17.889999389648438,231600.0
ZEN,2014-06-13,18.09000015258789,16.0,16.75,426200.0
ZEN,2014-06-16,18.25,16.190000534057617,17.239999771118164,271600.0
ZEN,2014-06-17,18.0,17.239999771118164,17.700000762939453,88600.0
ZEN,2014-06-18,18.110000610351562,17.309999465942383,17.610000610351562,142600.0
ZEN,2014-06-19,18.010000228881836,17.520000457763672,18.0,221900.0
ZEN,2014-06-20,18.290000915527344,16.969999313354492,17.559999465942383,324900.0
ZEN,2014-06-23,18.399999618530273,17.209999084472656,17.989999771118164,135300.0
ZEN,2014-06-24,18.024999618530273,17.530000686645508,17.809999465942383,106300.0
ZEN,2014-06-25,18.020000457763672,17.5,17.940000534057617,99800.0
