Date,High,Low,Open,Close,Volume,Adj Close
1994-03-04,24.0,22.875,24.0,24.0,17900.0,24.0
1994-03-07,25.375,23.5,23.5,25.375,68100.0,25.375
1994-03-08,25.25,24.0,24.5,24.75,9200.0,24.75
1994-03-09,24.0,24.0,24.0,24.0,100.0,24.0
1994-03-10,24.5,24.0,24.0,24.5,14300.0,24.5
1994-03-11,24.5,24.0,24.0,24.5,1300.0,24.5
1994-03-14,24.5,24.5,24.5,24.5,0.0,24.5
1994-03-15,24.0,24.0,24.0,24.0,0.0,24.0
1994-03-16,24.125,24.0,24.0,24.125,3600.0,24.125
1994-03-17,24.0,24.0,24.0,24.0,200.0,24.0
1994-03-18,24.5,24.5,24.5,24.5,100.0,24.5
1994-03-21,24.5,24.0,24.25,24.0,900.0,24.0
1994-03-22,24.5,24.0,24.0,24.0,2400.0,24.0
1994-03-23,25.5,24.0,24.0,25.5,3400.0,25.5
1994-03-24,24.5,24.0,24.5,24.0,2200.0,24.0
1994-03-25,25.0,24.0,25.0,24.0,400.0,24.0
1994-03-28,24.0,24.0,24.0,24.0,0.0,24.0
1994-03-29,24.0,24.0,24.0,24.0,200.0,24.0
1994-03-30,24.5,24.0,24.0,24.0,1000.0,24.0
1994-03-31,25.5,24.0,25.5,24.0,200.0,24.0
1994-04-04,24.25,24.0,24.0,24.25,700.0,24.25
1994-04-05,24.0,24.0,24.0,24.0,200.0,24.0
1994-04-06,25.5,24.0,25.5,24.0,300.0,24.0
1994-04-07,24.0,24.0,24.0,24.0,100.0,24.0
1994-04-08,24.0,24.0,24.0,24.0,1600.0,24.0
1994-04-11,25.25,24.0,24.0,25.25,600.0,25.25
1994-04-12,25.25,24.0,25.25,25.25,600.0,25.25
1994-04-13,25.25,24.0,25.25,25.25,1300.0,25.25
1994-04-14,25.5,24.0,25.25,25.25,1400.0,25.25
1994-04-15,25.25,24.0,25.25,24.0,900.0,24.0
1994-04-18,25.25,24.0,25.25,25.25,4800.0,25.25
1994-04-19,25.5,25.25,25.25,25.25,4900.0,25.25
1994-04-20,25.5,24.0,25.25,24.5,12400.0,24.5
1994-04-21,25.5,24.0,25.25,25.25,7000.0,25.25
1994-04-22,25.5,24.0,25.25,25.5,2800.0,25.5
1994-04-25,25.5,24.0,25.5,25.5,2500.0,25.5
1994-04-26,25.0,24.5,25.0,25.0,1000.0,25.0
1994-04-28,25.0,24.0,25.0,24.0,1200.0,24.0
1994-04-29,25.0,25.0,25.0,25.0,800.0,25.0
1994-05-02,25.5,24.0,25.0,25.5,3700.0,25.5
1994-05-03,25.25,24.5,25.25,24.5,600.0,24.5
1994-05-04,25.5,24.5,24.5,24.5,800.0,24.5
1994-05-05,26.0,24.5,24.5,26.0,700.0,26.0
1994-05-06,24.75,24.5,24.5,24.75,400.0,24.75
1994-05-09,26.0,24.5,26.0,24.5,700.0,24.5
1994-05-10,24.5,24.5,24.5,24.5,800.0,24.5
1994-05-11,26.75,24.5,24.5,25.5,1800.0,25.5
1994-05-12,27.0,25.5,25.5,26.5,800.0,26.5
1994-05-13,25.75,25.5,25.75,25.5,600.0,25.5
1994-05-16,25.5,25.5,25.5,25.5,300.0,25.5
1994-05-17,26.5,25.5,25.5,25.5,1400.0,25.5
1994-05-18,26.5,25.5,25.5,25.5,300.0,25.5
1994-05-19,25.5,25.5,25.5,25.5,0.0,25.5
1994-05-20,25.5,25.5,25.5,25.5,400.0,25.5
1994-05-23,25.5,25.5,25.5,25.5,0.0,25.5
1994-05-24,25.5,25.5,25.5,25.5,600.0,25.5
1994-05-25,26.5,25.5,26.5,25.5,1100.0,25.5
1994-05-26,25.75,25.5,25.5,25.5,3300.0,25.5
1994-05-27,25.5,25.5,25.5,25.5,400.0,25.5
1994-05-31,26.5,25.5,25.5,25.5,2200.0,25.5
1994-06-01,26.5,25.5,26.5,25.5,100.0,25.5
