Date,High,Low,Open,Close,Volume,Adj Close
1990-01-02,34.5,34.0,34.5,34.0,700.0,11.460841178894043
1990-01-03,35.0,34.0,34.0,35.0,11400.0,11.797920227050781
1990-01-04,35.75,35.0,35.0,35.25,7200.0,11.882193565368652
1990-01-05,35.75,35.25,35.25,35.25,7400.0,11.882193565368652
1990-01-08,35.75,35.5,35.5,35.75,3100.0,12.050738334655762
1990-01-09,35.5,35.25,35.5,35.25,6100.0,11.882193565368652
1990-01-10,35.75,35.25,35.25,35.75,10500.0,12.050738334655762
1990-01-11,35.25,35.25,35.25,35.25,1400.0,11.882193565368652
1990-01-12,35.0,34.5,35.0,34.5,4200.0,11.629378318786621
1990-01-15,34.75,34.25,34.5,34.25,6100.0,11.545108795166016
1990-01-16,34.5,34.0,34.25,34.375,1500.0,11.587250709533691
1990-01-17,34.25,34.0,34.25,34.25,4000.0,11.545108795166016
1990-01-18,34.5,34.5,34.5,34.5,3000.0,11.629378318786621
1990-01-19,34.25,34.25,34.25,34.25,200.0,11.545108795166016
1990-01-22,34.5,34.25,34.25,34.5,1200.0,11.629378318786621
1990-01-23,34.25,34.0,34.25,34.25,84900.0,11.545108795166016
1990-01-24,34.0,33.5,34.0,34.0,4300.0,11.460841178894043
1990-01-25,34.0,34.0,34.0,34.0,0.0,11.460841178894043
1990-01-26,34.0,33.5,34.0,34.0,900.0,11.460841178894043
1990-01-29,33.25,33.25,33.25,33.25,800.0,11.208024978637695
1990-01-30,33.25,33.25,33.25,33.25,0.0,11.208024978637695
1990-01-31,33.5,33.25,33.25,33.25,7400.0,11.208024978637695
1990-02-01,34.0,33.25,33.25,33.375,7200.0,11.250161170959473
1990-02-02,34.0,33.5,33.5,33.5,18300.0,11.2922945022583
1990-02-05,34.25,34.25,34.25,34.25,600.0,11.545108795166016
1990-02-06,34.125,33.5,34.125,33.5,4500.0,11.2922945022583
1990-02-07,34.25,33.5,33.5,34.25,700.0,11.545108795166016
1990-02-08,34.25,34.25,34.25,34.25,100.0,11.545108795166016
1990-02-09,34.0,33.5,34.0,34.0,3500.0,11.460841178894043
1990-02-12,33.75,33.5,33.75,33.5,42000.0,11.2922945022583
1990-02-13,34.0,33.5,33.5,34.0,19400.0,11.460841178894043
1990-02-14,34.0,33.5,34.0,34.0,500.0,11.460841178894043
1990-02-15,34.0,34.0,34.0,34.0,0.0,11.460841178894043
1990-02-16,34.0,33.5,34.0,33.5,2600.0,11.2922945022583
1990-02-20,34.0,33.5,33.5,34.0,61800.0,11.460841178894043
1990-02-21,33.5,33.5,33.5,33.5,800.0,11.2922945022583
1990-02-22,34.0,33.5,33.5,33.5,1100.0,11.2922945022583
1990-02-23,34.0,33.5,33.5,34.0,42600.0,11.460841178894043
1990-02-26,34.0,33.5,34.0,34.0,48700.0,11.460841178894043
1990-02-27,33.5,33.5,33.5,33.5,600.0,11.2922945022583
1990-02-28,34.0,33.5,33.5,33.5,36200.0,11.2922945022583
1990-03-01,33.875,33.5,33.5,33.625,900.0,11.334430694580078
1990-03-02,34.0,33.5,33.625,34.0,40700.0,11.460841178894043
1990-03-05,33.5,33.5,33.5,33.5,200.0,11.426729202270508
1990-03-06,34.0,33.5,33.5,33.5,50800.0,11.426729202270508
1990-03-07,33.75,33.5,33.5,33.5,36400.0,11.426729202270508
1990-03-08,34.25,33.5,33.5,34.25,1000.0,11.682548522949219
1990-03-09,34.25,33.5,34.25,34.0,131400.0,11.597272872924805
1990-03-12,34.25,33.5,34.0,34.25,8100.0,11.682548522949219
1990-03-13,34.25,34.25,34.25,34.25,0.0,11.682548522949219
1990-03-14,33.75,33.75,33.75,33.75,1200.0,11.512002944946289
1990-03-15,33.75,33.75,33.75,33.75,0.0,11.512002944946289
1990-03-16,34.5,33.75,33.75,34.5,4300.0,11.767826080322266
1990-03-19,34.25,34.0,34.25,34.0,2700.0,11.597272872924805
1990-03-20,34.0,34.0,34.0,34.0,700.0,11.597272872924805
1990-03-21,34.25,34.0,34.0,34.25,20500.0,11.682548522949219
1990-03-22,34.25,34.0,34.25,34.125,61100.0,11.639915466308594
1990-03-23,34.25,34.0,34.125,34.25,34300.0,11.682548522949219
1990-03-26,34.25,34.0,34.25,34.0,26800.0,11.597272872924805
1990-03-27,34.0,34.0,34.0,34.0,500.0,11.597272872924805
1990-03-28,35.75,34.5,34.5,35.75,4600.0,12.194199562072754
1990-03-29,36.75,35.75,35.75,36.25,5900.0,12.364742279052734
1990-03-30,36.25,35.75,36.25,36.25,9300.0,12.364742279052734
1990-04-02,35.75,34.5,35.75,34.5,12800.0,11.767826080322266
1990-04-03,34.75,34.25,34.5,34.25,4300.0,11.682548522949219
1990-04-04,34.25,34.25,34.25,34.25,0.0,11.682548522949219
1990-04-05,34.0,34.0,34.0,34.0,2200.0,11.597272872924805
1990-04-06,34.5,34.0,34.0,34.25,37400.0,11.682548522949219
1990-04-09,34.25,34.25,34.25,34.25,0.0,11.682548522949219
1990-04-10,34.0,34.0,34.0,34.0,300.0,11.597272872924805
1990-04-11,34.0,34.0,34.0,34.0,200.0,11.597272872924805
1990-04-12,34.125,34.0,34.0,34.125,80000.0,11.639915466308594
1990-04-16,34.5,34.5,34.5,34.5,200.0,11.767826080322266
1990-04-17,34.5,34.0,34.5,34.0,1200.0,11.597272872924805
1990-04-18,34.25,34.25,34.25,34.25,100.0,11.682548522949219
1990-04-19,34.75,34.0,34.25,34.75,900.0,11.85309886932373
1990-04-20,34.75,34.75,34.75,34.75,100.0,11.85309886932373
1990-04-23,34.25,34.0,34.25,34.0,8500.0,11.597272872924805
1990-04-24,34.5,34.0,34.0,34.5,10200.0,11.767826080322266
