Date,High,Low,Open,Close,Volume,Adj Close
2000-06-23,23.625,18.5,19.5,22.0,7986500,22.0
2000-06-26,21.875,20.875,21.75,21.875,1005000,21.875
2000-06-27,21.9375,21.125,21.9375,21.5625,421000,21.5625
2000-06-28,21.6875,20.625,21.625,21.5625,567500,21.5625
2000-06-29,21.5,21.1875,21.5,21.1875,140300,21.1875
2000-06-30,22.75,20.875,21.1875,22.1875,528300,22.1875
2000-07-03,22.25,21.75,22.1875,22.1875,81800,22.1875
2000-07-05,24.25,21.5,22.0,22.4375,198800,22.4375
2000-07-06,23.75,22.0,22.5,23.75,155000,23.75
2000-07-07,24.5,23.0,23.75,23.625,302900,23.625
2000-07-10,24.8125,23.25,23.375,24.75,65200,24.75
2000-07-11,26.875,24.6875,25.0,25.25,325000,25.25
2000-07-12,26.5,24.75,25.5,24.875,244500,24.875
2000-07-13,26.375,24.4375,25.0,26.25,199100,26.25
2000-07-14,26.0,24.1875,26.0,24.25,93900,24.25
2000-07-17,24.625,23.3125,24.5,23.6875,499600,23.6875
2000-07-18,25.0,23.6875,23.6875,24.75,299500,24.75
2000-07-19,25.6875,24.75,24.875,24.875,202700,24.875
2000-07-20,24.875,24.5,24.875,24.5625,25900,24.5625
2000-07-21,24.5,24.0,24.5,24.1875,69400,24.1875
2000-07-24,26.375,24.1875,24.1875,25.5,366400,25.5
2000-07-25,25.5,24.8125,25.5,24.8125,82200,24.8125
2000-07-26,27.375,24.625,24.75,27.25,196700,27.25
2000-07-27,28.625,27.3125,27.3125,28.25,212200,28.25
2000-07-28,28.1875,27.5,28.1875,27.5625,109000,27.5625
2000-07-31,30.1875,27.3125,27.4375,30.1875,437600,30.1875
2000-08-01,30.0,27.875,30.0,28.5,170000,28.5
2000-08-02,28.5,28.125,28.4375,28.1875,54500,28.1875
2000-08-03,30.5,28.5,28.5,30.375,351900,30.375
2000-08-04,31.0,29.25,30.625,29.875,91700,29.875
2000-08-07,33.5,29.75,29.75,33.0,422500,33.0
2000-08-08,33.5,32.8125,33.0,33.0625,138100,33.0625
2000-08-09,33.1875,31.375,33.1875,31.6875,126100,31.6875
