Date,High,Low,Open,Close,Volume,Adj Close
1997-07-17,29.1875,27.125,28.0,28.8125,2733000.0,26.315990447998047
1997-07-18,29.75,27.6875,28.0,29.5625,496900.0,27.001005172729492
1997-07-21,29.625,28.6875,29.375,29.5,230100.0,26.94392204284668
1997-07-22,29.625,28.25,29.375,29.5,189100.0,26.94392204284668
1997-07-23,29.375,28.4375,29.375,28.75,231400.0,26.258907318115234
1997-07-24,28.875,28.0,28.75,28.5,113200.0,26.03056526184082
1997-07-25,28.4375,28.125,28.4375,28.4375,40400.0,25.973478317260742
1997-07-28,28.375,27.5,28.375,27.9375,125500.0,25.516801834106445
1997-07-29,28.375,27.75,27.8125,28.25,26600.0,25.802230834960938
1997-07-30,29.125,28.0625,28.0625,29.125,57200.0,26.60141372680664
1997-07-31,30.8125,29.125,29.3125,29.875,104900.0,27.286428451538086
1997-08-01,30.8125,30.25,30.25,30.5,59200.0,27.857267379760742
1997-08-04,30.375,30.125,30.375,30.375,18900.0,27.74310302734375
1997-08-05,30.25,29.875,30.25,29.875,39900.0,27.286428451538086
1997-08-06,29.875,28.9375,29.875,28.9375,62700.0,26.430164337158203
1997-08-07,29.0,28.5,29.0,28.75,83600.0,26.258907318115234
1997-08-08,29.5,28.6875,28.75,29.1875,65900.0,26.658496856689453
1997-08-11,29.0,28.125,28.875,28.8125,77800.0,26.315990447998047
1997-08-12,29.625,27.9375,29.5,28.0,97100.0,25.57389259338379
1997-08-13,28.625,27.75,27.9375,28.5,129600.0,26.03056526184082
1997-08-14,28.625,28.3125,28.5,28.5,26100.0,26.03056526184082
1997-08-15,29.4375,28.125,28.375,29.375,23900.0,26.829753875732422
1997-08-18,29.6875,28.875,29.6875,29.0,34700.0,26.487245559692383
1997-08-19,28.9375,28.125,28.875,28.4375,49800.0,25.973478317260742
1997-08-20,28.5,28.25,28.3125,28.5,74200.0,26.03056526184082
1997-08-21,28.5,27.875,28.4375,27.875,19500.0,25.4597225189209
1997-08-22,27.75,27.375,27.75,27.375,11700.0,25.00304412841797
1997-08-25,28.625,27.625,27.625,28.125,109100.0,25.688060760498047
1997-08-26,30.0,28.1875,28.1875,29.875,73500.0,27.286428451538086
1997-08-27,30.75,29.9375,30.0,30.0625,55600.0,27.457679748535156
1997-08-28,30.0,29.625,29.9375,29.625,30300.0,27.058088302612305
1997-08-29,29.75,29.375,29.5,29.75,23500.0,27.17226219177246
1997-09-02,30.625,29.9375,30.0,30.4375,7500.0,27.800189971923828
1997-09-03,33.125,30.625,30.625,32.625,50100.0,29.798147201538086
1997-09-04,34.0,33.1875,34.0,33.1875,126600.0,30.311912536621094
1997-09-05,33.25,33.0,33.25,33.0625,5400.0,30.197738647460938
1997-09-08,33.125,32.75,33.0,32.75,77800.0,29.912321090698242
1997-09-09,32.875,32.6875,32.75,32.875,124000.0,30.026485443115234
1997-09-10,33.8125,32.8125,32.8125,33.75,54100.0,30.825666427612305
1997-09-11,33.9375,33.8125,33.8125,33.9375,24400.0,30.996919631958008
