Date,High,Low,Open,Close,Volume,Adj Close
1998-06-03,14.0,13.5,13.5,13.5,4800.0,7.813537120819092
1998-06-04,14.0,13.25,13.25,14.0,7800.0,8.10292911529541
1998-06-05,14.406200408935547,14.0,14.406200408935547,14.0,4600.0,8.10292911529541
1998-06-08,14.875,14.0,14.0,14.125,13100.0,8.175273895263672
1998-06-09,15.0,14.125,15.0,15.0,8700.0,8.681706428527832
1998-06-10,15.0,14.625,15.0,14.625,3100.0,8.464666366577148
1998-06-11,14.75,14.75,14.75,14.75,1000.0,8.537012100219727
1998-06-12,14.75,14.75,14.75,14.75,900.0,8.537012100219727
1998-06-15,14.75,14.25,14.75,14.25,1700.0,8.2476224899292
1998-06-16,14.75,13.5,14.75,13.5,3600.0,7.813537120819092
1998-06-17,14.375,14.375,14.375,14.375,300.0,8.319973945617676
1998-06-18,14.375,14.375,14.375,14.375,7500.0,8.319973945617676
1998-06-19,14.375,14.375,14.375,14.375,0.0,8.319973945617676
1998-06-22,14.375,14.375,14.375,14.375,0.0,8.319973945617676
1998-06-23,14.25,14.0,14.0,14.25,2900.0,8.2476224899292
1998-06-24,14.375,13.375,14.375,14.0,1700.0,8.10292911529541
1998-06-25,14.25,14.25,14.25,14.25,500.0,8.2476224899292
1998-06-26,14.375,14.25,14.25,14.375,1700.0,8.334596633911133
1998-06-29,14.375,14.375,14.375,14.375,0.0,8.334596633911133
1998-06-30,14.25,14.0,14.0,14.0,2700.0,8.117167472839355
1998-07-01,14.375,13.75,14.0,14.375,6600.0,8.334596633911133
1998-07-02,14.25,13.5,13.75,13.5,2800.0,7.827270984649658
1998-07-06,13.875,13.375,13.875,13.375,2300.0,7.754793167114258
1998-07-07,14.375,13.375,14.375,14.0,3800.0,8.117167472839355
1998-07-08,14.0,14.0,14.0,14.0,200.0,8.117167472839355
1998-07-09,14.0,12.875,14.0,12.875,5500.0,7.4648966789245605
1998-07-10,13.125,12.75,12.75,12.75,5100.0,7.392419815063477
1998-07-13,13.0,12.75,13.0,12.75,900.0,7.392419815063477
1998-07-14,13.125,12.75,13.125,12.75,5700.0,7.392419815063477
1998-07-15,13.5,12.75,13.125,13.25,4300.0,7.682316780090332
1998-07-16,14.125,13.375,14.125,13.5,1000.0,7.827270984649658
1998-07-17,14.375,13.75,14.25,13.75,2700.0,7.9722208976745605
1998-07-20,14.375,13.75,14.375,14.0,2800.0,8.117167472839355
1998-07-21,14.0,13.75,14.0,13.75,6500.0,7.9722208976745605
1998-07-22,13.75,13.75,13.75,13.75,600.0,7.9722208976745605
1998-07-23,14.0,13.5,13.75,13.5,4100.0,7.827270984649658
1998-07-24,13.375,13.375,13.375,13.375,2000.0,7.754793167114258
1998-07-27,13.5625,13.5,13.5,13.5625,1700.0,7.863504886627197
1998-07-28,13.875,13.875,13.875,13.875,500.0,8.044692993164062
1998-07-29,14.0,13.25,13.75,14.0,14400.0,8.117167472839355
1998-07-30,13.75,13.25,13.5,13.3125,5500.0,7.7185564041137695
1998-07-31,13.5,13.375,13.375,13.5,800.0,7.827270984649658
1998-08-03,13.5,13.5,13.5,13.5,0.0,7.827270984649658
1998-08-04,13.125,12.5,13.125,12.5625,4200.0,7.283710956573486
1998-08-05,12.5,12.0,12.25,12.375,2300.0,7.174996852874756
1998-08-06,12.0,12.0,12.0,12.0,2000.0,6.957574367523193
1998-08-07,12.25,12.0,12.0625,12.0,2000.0,6.957574367523193
1998-08-10,12.25,12.0,12.1875,12.0625,15100.0,6.993808269500732
1998-08-11,12.0,12.0,12.0,12.0,1000.0,6.957574367523193
1998-08-12,12.25,12.0,12.25,12.0,1500.0,6.957574367523193
1998-08-13,12.125,11.875,12.0,11.875,12000.0,6.885096549987793
1998-08-14,11.875,11.875,11.875,11.875,2300.0,6.885096549987793
1998-08-17,12.125,11.75,12.125,11.875,50700.0,6.885096549987793
1998-08-18,12.125,11.75,12.0625,11.75,1700.0,6.812623977661133
1998-08-19,11.9375,11.75,11.9375,11.75,4700.0,6.812623977661133
1998-08-20,11.625,11.0,11.625,11.0,12300.0,6.377774238586426
1998-08-21,12.0,10.25,11.75,10.625,9900.0,6.160350322723389
1998-08-24,11.375,10.625,11.0,11.0,4600.0,6.377774238586426
1998-08-25,11.125,10.625,10.9375,10.625,1400.0,6.160350322723389
1998-08-26,11.25,10.625,11.25,10.75,7700.0,6.232822418212891
1998-08-27,10.5,9.875,10.5,10.375,20600.0,6.01540470123291
1998-08-28,10.5,9.5,9.5,10.5,400.0,6.0878753662109375
1998-08-31,9.625,7.75,9.5,7.75,17100.0,4.493433475494385
1998-09-01,10.0,7.75,8.75,9.75,24500.0,5.653027534484863
1998-09-02,10.5,9.75,10.0,9.75,16100.0,5.653027534484863
1998-09-03,9.75,9.5,9.5,9.5,6000.0,5.508078575134277
1998-09-04,10.0,9.375,9.875,9.375,11600.0,5.435606002807617
1998-09-08,10.0,9.125,9.5,9.625,77400.0,5.580552101135254
1998-09-09,9.5,9.0625,9.25,9.0625,5000.0,5.254416465759277
1998-09-10,9.5,9.125,9.5,9.125,4400.0,5.290655136108398
1998-09-11,9.25,9.0,9.25,9.0,1500.0,5.21818208694458
1998-09-14,8.875,8.0625,8.75,8.25,10000.0,4.783331394195557
1998-09-15,9.125,8.5,9.125,9.125,2800.0,5.290655136108398
1998-09-16,9.25,8.5,8.5,9.25,1100.0,5.363129615783691
1998-09-17,9.125,8.6875,9.125,8.6875,1600.0,5.036993026733398
